Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA RIVAS POMEROL',Fase 01,4.0,22.25,5.0,1.25,2.25,0.56,0.75,1.0,0.75,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.73,0.74,2.62,1.92,2.1,1.25,62.69,1.46,0.0,0.0,0.0,0.0,3.5,9.21,0.0,0.5,153.85,87.94,65.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2.0,3.25,0.62,12.0
b'ADRIA RIVAS POMEROL',Fase 02,4.0,22.75,3.5,1.0,1.75,0.57,0.25,1.25,0.2,0.75,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.46,0.48,0.6,6.25,1.7,1.9,47.22,0.92,0.0,0.0,0.0,0.0,4.56,9.35,0.0,-1.5,107.69,91.38,16.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.25,3.0,0.42,12.0
b'ALEX FAYOS PEREZ',Fase 01,5.0,17.4,7.0,0.8,2.6,0.31,1.6,3.8,0.42,0.6,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.51,2.04,1.88,2.76,4.12,40.12,1.0,0.0,0.0,0.0,0.0,7.54,23.56,0.0,-1.5,106.06,89.86,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,2.4,6.4,0.38,8.0
b'ALEX FAYOS PEREZ',Fase 02,5.0,11.4,3.8,0.0,0.6,0.0,0.6,2.2,0.27,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.32,0.46,1.12,14.29,1.67,2.33,41.67,0.64,0.0,0.0,0.0,0.0,6.02,21.31,0.0,-1.2,100.0,92.15,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.6,2.8,0.21,8.0
b'CARLES BUJ MONTSERRAT',Fase 01,5.0,21.0,4.0,1.0,2.8,0.36,0.4,3.0,0.13,0.8,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.28,0.32,-0.3,2.76,1.78,4.42,28.77,0.55,0.0,0.0,0.0,0.0,6.75,17.58,0.0,-3.2,66.67,90.33,-23.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.4,5.8,0.24,77.0
b'CARLES BUJ MONTSERRAT',Fase 02,5.0,22.8,11.8,2.2,4.6,0.48,2.0,5.6,0.36,1.4,2.2,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.51,0.53,5.06,2.75,4.96,6.12,44.8,1.02,0.0,0.0,0.0,0.0,12.56,28.88,0.0,-0.7,109.26,92.25,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,4.2,10.2,0.41,77.0
b'GREGORIO BOHO SILA',Fase 01,5.0,21.4,10.2,4.0,6.2,0.65,0.0,0.6,0.0,2.2,3.4,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.59,0.61,5.44,6.47,5.19,2.97,63.61,1.18,0.0,0.0,0.0,0.0,10.02,22.94,0.0,0.3,130.77,90.08,40.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,4.0,6.8,0.59,1.0
b'GREGORIO BOHO SILA',Fase 02,5.0,17.0,5.8,1.2,3.6,0.33,1.0,1.8,0.56,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.5,0.5,1.46,1.48,2.44,3.28,42.66,1.0,0.0,0.0,0.0,0.0,6.26,19.95,0.0,-1.6,103.57,91.79,11.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.2,5.4,0.41,1.0
b'JOAQUIM FRANCH DE PABLO',Fase 01,5.0,30.4,13.6,3.6,6.6,0.55,0.8,2.8,0.29,4.0,6.2,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.51,0.56,7.02,8.51,6.57,5.31,55.28,1.02,0.0,0.0,0.0,0.0,15.28,23.6,0.0,0.0,117.24,90.4,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.4,9.4,0.47,13.0
b'JOAQUIM FRANCH DE PABLO',Fase 02,5.0,30.4,10.6,3.4,6.4,0.53,0.4,2.8,0.14,2.6,5.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.43,0.46,4.08,5.65,5.36,5.92,47.52,0.87,0.0,0.0,0.0,0.0,14.78,22.28,0.0,-1.9,96.36,92.58,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.8,9.2,0.41,13.0
