Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ADRIA RIVAS POMEROL',Jornada 01,1.0,22.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.25,-1.6,0.0,1.0,3.0,25.0,0.5,0.0,0.0,0.0,0.0,4.0,11.47,0.0,-3.5,50.0,77.56,-27.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,12.0,MARISTES ADEMAR,TERRA ENDINS CB VILATORRADA,Ganado,15,False
b'ADRIA RIVAS POMEROL',Jornada 02,1.0,26.0,9.0,4.0,5.0,0.8,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.7,5.6,16.67,4.4,2.0,68.75,1.33,0.0,0.0,0.0,0.0,6.67,14.19,0.0,1.5,150.0,93.97,56.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,4.0,6.0,0.67,12.0,C.B. VIC - UNIVERSITAT DE VIC 2,MARISTES ADEMAR,Perdido,-7,False
b'ADRIA RIVAS POMEROL',Jornada 03,1.0,17.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,2.3,0.0,1.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0,1.0,3.77,0.0,1.5,300.0,92.81,207.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,MARISTES ADEMAR,CB.CIUTAT VELLA,Ganado,9,False
b'ADRIA RIVAS POMEROL',Jornada 05,1.0,24.0,6.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,1.5,4.2,0.0,2.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0,2.0,4.99,0.0,2.5,300.0,86.66,213.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,12.0,MARISTES ADEMAR,A.E. MINGUELLA A - DRIVIM,Ganado,8,False
b'ADRIA RIVAS POMEROL',Jornada 06,1.0,21.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.53,0.5,200.0,0.8,1.0,44.44,0.0,0.0,0.0,0.0,0.0,3.08,5.51,0.0,-1.0,200.0,89.42,110.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,CB ADEPAF TXOT'S,MARISTES ADEMAR,Ganado,6,False
b'ADRIA RIVAS POMEROL',Jornada 07,1.0,19.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.75,0.53,1.0,50.0,1.7,1.9,47.22,1.5,0.0,0.0,0.0,0.0,6.21,11.58,0.0,-1.0,200.0,91.4,108.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,0.5,12.0,MARISTES ADEMAR,BASQUET SAFA CLAROR A,Ganado,1,False
b'ADRIA RIVAS POMEROL',Jornada 09,1.0,25.0,2.0,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.25,-1.2,0.0,1.0,3.0,25.0,0.5,0.0,0.0,0.0,0.0,4.0,9.42,0.0,-3.0,50.0,91.91,-41.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.25,12.0,MARISTES ADEMAR,U.E. CLARET A,Ganado,4,False
b'ADRIA RIVAS POMEROL',Jornada 10,1.0,26.0,6.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.6,0.6,2.1,0.0,3.0,2.0,60.0,1.2,0.0,0.0,0.0,0.0,5.0,10.39,0.0,-1.0,120.0,92.63,27.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,5.0,0.6,12.0,UE MATARO  - TC,MARISTES ADEMAR,Perdido,-6,False
b'ALEX FAYOS PEREZ',Jornada 01,1.0,18.0,12.0,0.0,1.0,0.0,4.0,7.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.75,0.75,6.8,0.0,4.0,4.0,50.0,1.5,0.0,0.0,0.0,0.0,8.0,28.04,0.0,2.5,150.0,77.54,72.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,4.0,8.0,0.5,8.0,MARISTES ADEMAR,TERRA ENDINS CB VILATORRADA,Ganado,15,False
b'ALEX FAYOS PEREZ',Jornada 02,1.0,10.0,2.0,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.33,0.33,-0.9,0.0,1.0,2.0,33.33,0.67,0.0,0.0,0.0,0.0,3.0,17.18,0.0,-2.5,66.67,92.56,-25.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.33,8.0,C.B. VIC - UNIVERSITAT DE VIC 2,MARISTES ADEMAR,Perdido,-7,False
