Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ADRIA VERDAGUER MATAS',Jornada 01,1.0,15.0,8.0,1.0,3.0,0.33,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.57,0.57,3.5,0.0,3.0,4.0,42.86,1.14,0.0,0.0,0.0,0.0,7.0,26.4,0.0,0.0,114.29,90.09,24.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,3.0,7.0,0.43,2.0,UB SANT ADRIA A,CB ADEPAF TXOT'S,Perdido,-10,False
b'ADRIA VERDAGUER MATAS',Jornada 02,1.0,15.0,4.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.58,1.9,33.33,1.4,2.0,41.18,1.0,0.0,0.0,0.0,0.0,4.27,14.2,0.0,0.0,133.33,116.58,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.0,0.33,2.0,CB ADEPAF TXOT'S,U.E. CLARET A,Perdido,-20,False
b'ADRIA VERDAGUER MATAS',Jornada 03,1.0,12.0,13.0,2.0,2.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.08,1.08,10.0,0.0,5.0,1.0,83.33,2.17,0.0,0.0,0.0,0.0,6.0,27.26,0.0,6.0,216.67,100.13,116.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,5.0,6.0,0.83,2.0,UE MATARO  - TC,CB ADEPAF TXOT'S,Ganado,1,False
b'ADRIA VERDAGUER MATAS',Jornada 05,1.0,10.0,4.0,1.0,3.0,0.33,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.41,1.2,50.0,1.8,3.0,37.5,0.5,0.0,0.0,0.0,0.0,6.0,26.95,0.0,-1.5,100.0,75.72,24.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,4.0,0.25,2.0,BASQUET GIRONA,CB ADEPAF TXOT'S,Ganado,4,False
b'ADRIA VERDAGUER MATAS',Jornada 06,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,89.64,98.9,-9.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,CB ADEPAF TXOT'S,MARISTES ADEMAR,Perdido,-6,False
b'ADRIA VERDAGUER MATAS',Jornada 07,1.0,7.0,3.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.9,0.0,1.0,2.0,33.33,1.0,0.0,0.0,0.0,0.0,3.0,26.9,0.0,-0.5,100.0,75.59,24.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.0,0.33,2.0,TERRA ENDINS CB VILATORRADA,CB ADEPAF TXOT'S,Ganado,12,False
b'ADRIA VERDAGUER MATAS',Jornada 08,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.78,0.0,-2.0,87.13,102.64,-15.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,CB ADEPAF TXOT'S,C.B. VIC - UNIVERSITAT DE VIC 2,Perdido,-9,False
b'ADRIA VERDAGUER MATAS',Jornada 09,1.0,9.0,5.0,0.0,1.0,0.0,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.64,2.5,66.67,1.8,2.0,47.37,1.0,0.0,0.0,0.0,0.0,5.0,23.65,0.0,0.0,166.67,101.59,65.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.0,0.33,2.0,CB.CIUTAT VELLA,CB ADEPAF TXOT'S,Perdido,-7,False
b'ADRIA VERDAGUER MATAS',Jornada 10,1.0,17.0,13.0,0.0,1.0,0.0,4.0,8.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.67,0.66,6.3,11.11,4.6,5.2,46.94,1.33,0.0,0.0,0.0,0.0,11.4,34.91,0.0,1.0,144.44,136.84,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,4.0,9.0,0.44,2.0,CB ADEPAF TXOT'S,IBERSOFAS - CB ARGENTONA  A,Perdido,-30,False
b'ADRIA VERDAGUER MATAS',Jornada 11,1.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.56,0.0,-3.0,88.37,98.46,-10.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,3.0,0.0,2.0,A.E. MINGUELLA A - DRIVIM,CB ADEPAF TXOT'S,Perdido,-8,False
