Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'DIDAC RODRIGUEZ ROLDAN',Fase 01,3.0,19.0,10.0,2.33,5.67,0.41,1.0,3.67,0.27,2.33,2.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.41,0.48,3.6,8.33,4.27,6.0,41.56,0.82,0.0,0.0,0.0,0.0,11.8,29.29,0.0,-2.0,100.0,90.47,9.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,3.33,9.33,0.36,6.0
b'IGNACIO SAINZ MORALES',Fase 01,3.0,22.67,8.33,0.67,1.67,0.4,1.67,3.67,0.45,2.0,3.33,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.59,0.61,4.33,12.5,3.45,3.21,51.8,1.19,0.0,0.0,0.0,0.0,8.86,16.12,0.0,0.5,131.58,91.23,40.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,2.33,5.33,0.44,17.0
b'IZAN VILLAR CANTERO',Fase 01,3.0,13.0,3.67,0.33,1.67,0.2,0.33,3.0,0.11,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.18,0.31,0.13,14.29,1.73,4.13,29.55,0.36,0.0,0.0,0.0,0.0,7.84,24.74,0.0,-2.67,64.71,91.67,-26.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.67,4.67,0.14,7.0
b'JAUME RIBAS FERNANDEZ',Fase 01,3.0,21.67,2.33,1.0,3.33,0.3,0.0,0.0,0.0,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.32,-0.93,3.33,1.2,2.4,33.33,0.6,0.0,0.0,0.0,0.0,4.04,8.99,0.0,-2.83,70.0,90.65,-20.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.33,0.3,4.0
b'JORDI BERTRAN DIAZ',Fase 01,3.0,12.33,1.0,0.0,0.0,0.0,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.75,0.75,-0.27,0.0,0.33,0.33,50.0,1.5,0.0,0.0,0.0,0.0,0.67,2.9,0.0,-0.83,150.0,90.19,59.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.67,0.5,33.0
b'LLUS MARTN LLAVERA',Fase 01,3.0,24.0,10.0,2.0,4.0,0.5,1.67,4.33,0.38,1.0,1.67,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.54,0.55,4.3,4.0,4.23,4.77,46.96,1.08,0.0,0.0,0.0,0.0,10.1,20.3,0.0,-0.5,115.38,90.9,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,3.67,8.33,0.44,14.0
b'MARC QUILES GMEZ',Fase 01,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.54,1.5,300.0,1.5,1.1,57.69,0.0,0.0,0.0,0.0,0.0,5.0,28.19,0.0,-0.5,150.0,92.41,57.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,77.0
b'NARCIS ARAGALL VARGAS',Fase 01,3.0,22.0,16.67,3.0,7.67,0.39,2.33,6.67,0.35,3.67,5.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.45,0.5,7.43,8.53,7.19,9.14,44.03,0.91,0.0,0.0,0.0,0.0,19.62,40.38,0.0,-1.17,104.17,91.08,13.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,5.33,14.33,0.37,1.0
b'SEAN GALINDO HERASME',Fase 01,1.0,18.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.4,0.0,2.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,2.0,5.19,0.0,2.0,200.0,81.57,118.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,20.0
b'SERGI PIERO GARCIA',Fase 01,3.0,27.33,7.0,0.67,2.0,0.33,1.0,6.0,0.17,2.67,4.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.27,0.36,0.87,11.11,3.09,6.51,32.18,0.54,0.0,0.0,0.0,0.0,12.23,19.18,0.0,-3.83,75.0,91.35,-16.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.67,8.0,0.21,10.0
b'SOULEYMANE SOW',Fase 01,3.0,7.67,1.67,0.67,1.67,0.4,0.0,0.0,0.0,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.43,0.23,6.67,0.87,1.07,44.83,0.8,0.0,0.0,0.0,0.0,2.37,13.73,0.0,-0.83,100.0,90.72,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,0.4,24.0
b'TON PRAT FERRAZ',Fase 01,3.0,22.67,7.0,3.0,6.67,0.45,0.33,1.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.46,0.43,1.23,0.0,3.33,4.73,41.32,0.91,0.0,0.0,0.0,0.0,8.72,19.21,0.0,-2.83,87.5,90.57,-3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,3.33,7.67,0.43,8.0
