Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'DIDAC RODRIGUEZ ROLDAN',Jornada 01,1.0,18.0,7.0,1.0,3.0,0.33,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.6,3.5,40.0,2.8,3.0,48.28,1.0,0.0,0.0,0.0,0.0,7.27,16.01,0.0,0.0,140.0,83.89,56.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,5.0,0.4,6.0,UB SANT ADRIA A,CB ADEPAF TXOT'S,Ganado,10,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 02,1.0,31.0,13.0,3.0,11.0,0.27,1.0,5.0,0.2,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28,0.36,2.6,25.0,5.92,12.08,32.89,0.56,0.0,0.0,0.0,0.0,20.26,27.32,0.0,-6.0,76.47,91.16,-14.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,4.0,16.0,0.25,6.0,BASQUET SAFA CLAROR A,UB SANT ADRIA A,Perdido,-14,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 03,1.0,10.0,3.0,1.0,3.0,0.33,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.33,0.39,0.1,33.33,1.6,2.2,42.11,0.67,0.0,0.0,0.0,0.0,4.92,22.31,0.0,-2.0,100.0,99.36,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.33,6.0,CB SANTA COLOMA A,UB SANT ADRIA A,Perdido,-4,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 04,1.0,18.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.26,-0.9,66.67,0.8,3.0,21.05,0.0,0.0,0.0,0.0,0.0,4.84,14.06,0.0,-3.0,66.67,91.04,-24.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,UB SANT ADRIA A,U.E. CLARET A,Perdido,-5,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 05,1.0,18.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,-2.0,50.0,0.8,4.0,16.67,0.0,0.0,0.0,0.0,0.0,6.0,14.94,0.0,-4.5,50.0,119.14,-69.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,0.0,6.0,UE MATARO  - TC,UB SANT ADRIA A,Perdido,-27,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 06,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,74.53,109.74,-35.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,UB SANT ADRIA A,GRUP VIA - CB ARTES,Perdido,-26,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 07,1.0,19.0,10.0,4.0,8.0,0.5,0.0,2.0,0.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.44,2.2,20.0,5.07,6.13,45.24,0.8,0.0,0.0,0.0,0.0,12.5,30.09,0.0,-4.0,90.91,91.37,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,10.0,0.4,6.0,BASQUET GIRONA,UB SANT ADRIA A,Perdido,-7,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 08,1.0,17.0,7.0,1.0,4.0,0.25,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.6,3.1,40.0,2.8,3.0,48.28,1.0,0.0,0.0,0.0,0.0,7.0,17.78,0.0,-0.5,140.0,67.76,72.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,5.0,0.4,6.0,UB SANT ADRIA A,MARISTES ADEMAR,Ganado,25,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 09,1.0,19.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.64,2.5,33.33,2.6,1.2,68.42,1.33,0.0,0.0,0.0,0.0,4.53,11.68,0.0,0.0,166.67,80.68,85.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,3.0,0.67,6.0,TERRA ENDINS CB VILATORRADA,UB SANT ADRIA A,Ganado,8,False
b'DIDAC RODRIGUEZ ROLDAN',Jornada 10,1.0,19.0,5.0,0.0,2.0,0.0,1.0,3.0,0.33,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.43,0.7,40.0,1.8,4.0,31.03,0.6,0.0,0.0,0.0,0.0,7.11,17.45,0.0,-2.5,100.0,96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,5.0,0.2,6.0,UB SANT ADRIA A,C.B. VIC - UNIVERSITAT DE VIC 2,Ganado,11,False
