Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'A.O.N.',Fase 01,2.0,5.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.33,0.33,-0.65,0.0,0.5,1.0,33.33,0.67,0.0,0.0,0.0,0.0,1.5,16.01,0.0,-1.5,66.67,90.8,-24.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.5,1.5,0.33,21.0
b'A.O.N.',Fase 02,4.0,9.5,1.5,0.25,0.75,0.33,0.25,1.25,0.2,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31,0.34,-0.2,3.12,0.65,1.55,29.55,0.62,0.0,0.0,0.0,0.0,2.63,13.7,0.0,-1.25,75.0,94.14,-19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.5,2.0,0.25,21.0
b'A.O.N.',Fase 03,2.0,7.5,2.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.58,0.65,33.34,1.03,1.06,49.21,1.0,0.0,0.0,0.0,0.0,2.97,13.86,0.0,-0.75,125.0,93.69,31.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.5,1.5,0.33,21.0
b'ALEJANDRO CARRERAS ZAHINO',Fase 02,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.38,0.0,-2.5,96.92,89.21,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0
b'ALEJANDRO CARRERAS ZAHINO',Fase 03,1.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.82,0.0,-3.0,90.14,85.25,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,3.0,0.0,10.0
b'BARTOMEU MARTINEZ BENITEZ',Fase 04,4.0,16.5,5.0,0.25,1.0,0.25,1.25,5.0,0.25,0.75,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.35,0.38,0.2,3.12,1.95,4.65,29.55,0.71,0.0,0.0,0.0,0.0,7.76,22.1,0.0,-2.88,80.0,101.4,-21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.5,6.0,0.25,91.0
b'BARTOMEU MARTINEZ BENITEZ',Fase 05,4.0,15.0,1.75,0.25,1.25,0.2,0.25,2.5,0.1,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.17,0.22,-1.27,3.33,0.7,3.25,17.72,0.33,0.0,0.0,0.0,0.0,4.21,15.58,0.0,-3.0,46.67,97.59,-50.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.5,3.75,0.13,91.0
b'BARTOMEU MARTINEZ BENITEZ',Fase 06,1.0,16.0,8.0,0.0,1.0,0.0,2.0,3.0,0.67,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.82,5.6,50.0,2.8,2.0,58.33,1.5,0.0,0.0,0.0,0.0,6.1,15.59,0.0,2.5,200.0,81.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,4.0,0.5,91.0
b'CARLOS MONTERO MECA',Fase 01,4.0,10.5,2.75,0.5,1.75,0.29,0.25,1.75,0.14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.25,0.35,0.0,7.14,1.15,2.75,29.49,0.5,0.0,0.0,0.0,0.0,4.6,20.69,0.0,-2.0,73.33,97.99,-24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,3.5,0.21,91.0
b'CARLOS MONTERO MECA',Fase 02,1.0,14.0,4.0,2.0,4.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.29,0.29,-2.1,0.0,2.0,5.0,28.57,0.57,0.0,0.0,0.0,0.0,7.0,27.06,0.0,-5.5,57.14,106.1,-48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,2.0,7.0,0.29,2.0
