Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ABRIL CODINA FERNANDEZ',Fase 01,5.0,23.6,3.6,0.8,2.0,0.4,0.2,2.2,0.09,1.4,3.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.26,0.33,0.18,6.67,1.86,3.54,34.42,0.52,0.0,0.0,0.0,0.0,7.35,14.11,0.0,-2.4,69.23,69.34,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,4.2,0.24,53.0
b'ABRIL CODINA FERNANDEZ',Fase 02,5.0,20.0,0.8,0.2,2.4,0.08,0.0,1.8,0.0,0.4,1.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.05,0.08,-2.46,1.9,0.47,4.21,9.97,0.1,0.0,0.0,0.0,0.0,5.25,14.2,0.0,-4.1,17.39,83.85,-66.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.2,4.2,0.05,53.0
b'ABRIL CODINA FERNANDEZ',Fase 03,3.0,19.33,3.67,0.67,3.0,0.22,0.67,3.67,0.18,0.33,1.33,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.25,0.25,-1.0,1.67,1.57,5.63,21.76,0.5,0.0,0.0,0.0,0.0,7.86,19.54,0.0,-3.83,55.0,73.13,-18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.33,6.67,0.2,53.0
b'ANNA VILCHEZ MARTI',Fase 03,2.0,13.5,5.5,1.5,4.0,0.38,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45,0.51,2.4,10.0,2.4,3.0,44.44,0.9,0.0,0.0,0.0,0.0,5.81,21.16,0.0,-0.5,110.0,80.73,29.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,5.0,0.4,20.0
b'ARWA SABER DURAN',Fase 01,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.61,0.0,-1.25,67.25,62.47,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,4.0
b'BET TOST SANCHEZ',Fase 01,2.0,15.0,2.0,0.5,1.0,0.5,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.12,0.23,-1.4,12.5,0.9,3.5,20.45,0.25,0.0,0.0,0.0,0.0,5.04,18.8,0.0,-3.5,50.0,63.74,-13.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,4.0,0.12,15.0
b'BET TOST SANCHEZ',Fase 02,5.0,11.0,3.0,0.0,0.6,0.0,0.6,1.4,0.43,1.2,2.2,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.45,0.51,0.96,12.0,1.3,1.58,45.08,0.9,0.0,0.0,0.0,0.0,3.92,16.21,0.0,-0.7,115.38,82.86,32.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,2.0,0.3,15.0
b'BET TOST SANCHEZ',Fase 03,3.0,11.67,4.33,0.67,1.33,0.5,1.0,3.33,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.46,0.46,1.2,0.0,1.67,3.0,35.71,0.93,0.0,0.0,0.0,0.0,4.67,20.84,0.0,-1.0,92.86,72.05,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.67,4.67,0.36,15.0
b'JANA LLOBERA GONZLEZ',Fase 01,3.0,19.0,8.67,3.33,4.67,0.71,0.67,2.67,0.25,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.59,0.57,4.33,0.0,4.0,3.6,52.63,1.18,0.0,0.0,0.0,0.0,8.04,23.37,0.0,0.33,118.18,71.58,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,4.0,7.33,0.55,9.0
b'JANA LLOBERA GONZLEZ',Fase 02,5.0,20.0,4.6,1.0,2.8,0.36,0.6,5.4,0.11,0.8,1.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.23,0.26,-1.22,1.95,2.03,6.65,23.35,0.46,0.0,0.0,0.0,0.0,9.25,26.22,0.0,-4.9,53.49,83.25,-29.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.6,8.2,0.2,9.0
