Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT VALLVERDU CORTADA',Fase 01,1.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.2,0.0,1.0,3.0,25.0,0.75,0.0,0.0,0.0,0.0,4.0,29.83,0.0,-1.5,75.0,73.72,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.25,23.0
b'ALEJANDRO CODOER ORDOEZ',Fase 01,5.0,25.2,8.8,3.2,5.8,0.55,0.6,1.4,0.43,0.6,2.2,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.57,0.54,3.36,1.67,4.21,3.87,52.16,1.14,0.0,0.0,0.0,0.0,9.06,17.49,0.0,-1.1,110.0,86.07,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,3.8,7.2,0.53,3.0
b'ALEJANDRO CODOER ORDOEZ',Fase 02,5.0,19.4,4.8,1.8,4.2,0.43,0.2,1.8,0.11,0.6,1.6,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.35,0.36,0.28,2.0,2.39,4.25,35.99,0.7,0.0,0.0,0.0,0.0,7.67,16.82,0.0,-2.9,75.0,89.7,-14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,6.0,0.33,13.0
b'ALEJANDRO CODOER ORDOEZ',Fase 03,1.0,21.0,9.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.58,0.58,4.0,33.33,4.2,3.4,55.26,1.17,0.0,0.0,0.0,0.0,9.45,21.19,0.0,-0.5,128.57,86.37,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.0,6.0,0.5,13.0
b'ARNAU GARRABE TOSQUELLA',Fase 01,5.0,23.6,12.6,1.8,6.0,0.3,1.8,2.4,0.75,3.6,6.6,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.54,0.56,5.2,8.57,5.69,5.35,51.58,1.07,0.0,0.0,0.0,0.0,13.97,25.84,0.0,-1.3,116.67,85.66,31.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,3.6,8.4,0.43,22.0
b'ARNAU GARRABE TOSQUELLA',Fase 02,4.0,21.0,7.25,2.0,6.0,0.33,0.5,3.5,0.14,1.75,2.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.29,0.35,0.3,4.61,3.29,7.01,31.92,0.58,0.0,0.0,0.0,0.0,11.53,24.47,0.0,-4.75,70.73,89.89,-19.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2.5,9.5,0.26,22.0
b'ARNAU GARRABE TOSQUELLA',Fase 03,1.0,29.0,15.0,1.0,2.0,0.5,3.0,7.0,0.43,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.61,0.64,7.9,44.44,6.13,5.27,53.8,1.22,0.0,0.0,0.0,0.0,14.17,23.01,0.0,1.0,136.36,86.39,49.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,4.0,9.0,0.44,22.0
b'DAVID CASTELLNOU TEIXIDO',Fase 01,4.0,26.0,7.75,3.0,8.25,0.36,0.25,1.0,0.25,1.0,2.75,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.36,0.37,0.88,2.7,3.9,6.45,37.73,0.73,0.0,0.0,0.0,0.0,11.69,22.18,0.0,-4.12,77.5,84.93,-7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,3.25,9.25,0.35,8.0
b'DAVID CASTELLNOU TEIXIDO',Fase 02,5.0,33.0,11.8,5.0,8.8,0.57,0.4,1.2,0.33,0.6,2.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.56,0.53,5.04,1.2,5.82,5.14,53.1,1.12,0.0,0.0,0.0,0.0,12.5,16.31,0.0,-0.9,109.26,89.71,19.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,5.4,10.0,0.54,24.0
b'DAVID CASTELLNOU TEIXIDO',Fase 03,1.0,37.0,15.0,5.0,11.0,0.45,1.0,2.0,0.5,2.0,6.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.48,5.1,15.38,7.33,8.07,47.62,1.0,0.0,0.0,0.0,0.0,18.17,24.24,0.0,-3.0,100.0,86.49,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,6.0,13.0,0.46,24.0
b'EDGAR SOLSONA LERI',Fase 01,4.0,27.5,9.5,3.0,5.5,0.55,0.0,1.25,0.0,3.5,4.25,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.44,0.55,4.88,12.96,4.65,3.8,54.99,0.89,0.0,0.0,0.0,0.0,10.27,17.26,0.0,-0.38,115.15,86.35,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,3.0,6.75,0.44,9.0
