Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ALBERT VALLVERDU CORTADA',Jornada 01,1.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.2,0.0,1.0,3.0,25.0,0.75,0.0,0.0,0.0,0.0,4.0,29.83,0.0,-1.5,75.0,73.72,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.25,23.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,COCHESINTERNET.NET CB ALPICAT,Ganado,31,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 01,1.0,29.0,10.0,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.45,0.45,3.5,0.0,5.0,6.0,45.45,0.91,0.0,0.0,0.0,0.0,11.0,22.63,0.0,-2.0,90.91,74.05,16.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,5.0,11.0,0.45,3.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,COCHESINTERNET.NET CB ALPICAT,Ganado,31,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 02,1.0,19.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.67,0.52,0.3,0.0,2.0,1.8,52.63,1.33,0.0,0.0,0.0,0.0,4.62,11.97,0.0,-2.0,133.33,91.56,41.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,3.0,0.67,3.0,COCHESINTERNET.NET CB ALPICAT,C.B.CASTELLAR A,Ganado,10,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 03,1.0,31.0,17.0,5.0,7.0,0.71,2.0,2.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.89,0.86,11.1,11.11,7.6,2.2,77.55,1.78,0.0,0.0,0.0,0.0,10.83,15.91,0.0,4.5,188.89,86.37,102.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,7.0,9.0,0.78,3.0,TERRA ENDINS CB VILATORRADA,COCHESINTERNET.NET CB ALPICAT,Perdido,-7,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 04,1.0,23.0,6.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.48,2.0,50.0,3.28,2.72,54.67,1.0,0.0,0.0,0.0,0.0,8.31,14.42,0.0,-1.5,120.0,86.55,33.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,3.0,COCHESINTERNET.NET CB ALPICAT,CLUB NATACIO TERRASSA A,Ganado,4,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 05,1.0,24.0,7.0,2.0,6.0,0.33,1.0,3.0,0.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.39,0.35,-0.1,0.0,3.0,6.8,30.61,0.78,0.0,0.0,0.0,0.0,10.45,20.45,0.0,-4.5,77.78,90.34,-12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.0,9.0,0.33,13.0,CB IPSI A,COCHESINTERNET.NET CB ALPICAT,Ganado,1,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 06,1.0,22.0,12.0,4.0,7.0,0.57,1.0,2.0,0.5,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.61,0.58,5.3,11.11,5.67,4.53,55.56,1.22,0.0,0.0,0.0,0.0,12.75,23.15,0.0,-0.5,133.33,85.83,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,5.0,9.0,0.56,13.0,COCHESINTERNET.NET CB ALPICAT,VEDRUNA GRACIA A,Ganado,18,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 07,1.0,10.0,2.0,1.0,3.0,0.33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.23,-1.6,0.0,1.0,3.4,22.73,0.5,0.0,0.0,0.0,0.0,5.2,20.27,0.0,-3.5,50.0,86.66,-36.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,4.0,0.25,13.0,PUJOL CB MOLLERUSSA,COCHESINTERNET.NET CB ALPICAT,Ganado,4,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 08,1.0,28.0,5.0,2.0,6.0,0.33,0.0,4.0,0.0,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.22,-2.8,10.0,2.67,8.53,23.81,0.4,0.0,0.0,0.0,0.0,12.68,19.41,0.0,-7.5,50.0,104.59,-54.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,10.0,0.2,13.0,COCHESINTERNET.NET CB ALPICAT,NOU BASQUET OLESA A,Ganado,6,False
b'ALEJANDRO CODOER ORDOEZ',Jornada 09,1.0,17.0,5.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.56,3.0,25.0,2.4,2.0,54.55,1.0,0.0,0.0,0.0,0.0,5.11,13.68,0.0,0.5,125.0,100.75,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,13.0,LA SALLE MANRESA S.GOL,COCHESINTERNET.NET CB ALPICAT,Ganado,8,False
