Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ADRI TENA MASSAGUER',Jornada 01,1.0,34.0,12.0,1.0,9.0,0.11,0.0,1.0,0.0,10.0,12.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.39,3.0,100.0,5.67,9.13,38.29,0.2,0.0,0.0,0.0,0.0,22.0,22.63,0.0,-6.0,85.71,98.61,-12.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,10.0,0.1,5.0,BASQUET GIRONA,BLANCOMORA ADVOCATS- CB. ARGENTONA,Perdido,-14,False
b'ADRI TENA MASSAGUER',Jornada 02,1.0,25.0,6.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.44,1.7,40.0,3.2,3.4,48.48,0.8,0.0,0.0,0.0,0.0,10.43,15.87,0.0,-2.0,100.0,110.59,-10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,5.0,0.4,5.0,BLANCOMORA ADVOCATS- CB. ARGENTONA,PIZZERIA CLASSIC-AECAM MALGRAT,Ganado,2,False
b'ADRI TENA MASSAGUER',Jornada 03,1.0,26.0,23.0,10.0,14.0,0.71,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.71,0.75,15.6,21.43,11.2,4.0,73.68,1.43,0.0,0.0,0.0,0.0,16.52,33.67,0.0,5.5,153.33,86.25,67.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.71,5.0,C.B. CABRERA,BLANCOMORA ADVOCATS- CB. ARGENTONA,Ganado,8,False
b'ADRI TENA MASSAGUER',Jornada 04,1.0,20.0,6.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.51,2.5,40.0,2.8,3.0,48.28,0.8,0.0,0.0,0.0,0.0,7.35,16.69,0.0,-1.0,120.0,87.63,32.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,5.0,BLANCOMORA ADVOCATS- CB. ARGENTONA,TRIOMF - UB MIR,Ganado,29,False
b'ADRI TENA MASSAGUER',Jornada 05,1.0,24.0,9.0,3.0,8.0,0.38,0.0,2.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.38,0.8,30.0,4.5,7.1,38.79,0.6,0.0,0.0,0.0,0.0,12.92,23.82,0.0,-5.5,81.82,111.12,-29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,10.0,0.3,5.0,CB ADEPAF TXOT'S,BLANCOMORA ADVOCATS- CB. ARGENTONA,Perdido,-4,False
b'ADRI TENA MASSAGUER',Jornada 06,1.0,22.0,12.0,4.0,10.0,0.4,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.51,5.4,40.0,5.6,6.0,48.28,0.8,0.0,0.0,0.0,0.0,13.8,24.35,0.0,-1.5,109.09,79.91,29.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.4,15.0,BLANCOMORA ADVOCATS- CB. ARGENTONA,EL MASNOU BASQUETBOL,Ganado,36,False
b'ADRI TENA MASSAGUER',Jornada 07,1.0,35.0,11.0,4.0,9.0,0.44,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.44,0.51,4.7,33.33,5.5,5.1,51.89,0.89,0.0,0.0,0.0,0.0,13.89,15.99,0.0,-1.5,110.0,88.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.44,15.0,CESET,BLANCOMORA ADVOCATS- CB. ARGENTONA,Perdido,-2,False
b'ADRI TENA MASSAGUER',Jornada 08,1.0,22.0,13.0,4.0,5.0,0.8,0.0,0.0,0.0,5.0,9.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,0.73,8.3,100.0,6.89,1.71,80.1,1.6,0.0,0.0,0.0,0.0,15.89,23.49,0.0,2.0,185.71,115.95,69.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.8,15.0,BLANCOMORA ADVOCATS- CB. ARGENTONA,CB QUART REALE SEGUROS,Ganado,3,False
b'ADRI TENA MASSAGUER',Jornada 09,1.0,23.0,8.0,2.0,4.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5,0.69,4.0,100.0,3.6,2.0,64.29,1.0,0.0,0.0,0.0,0.0,8.24,13.45,0.0,-0.5,160.0,70.83,89.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,15.0,BLANCOMORA ADVOCATS- CB. ARGENTONA,RIPOTRANS CB LLICA D'AMUNT,Ganado,9,False
b'ADRI TENA MASSAGUER',Jornada 10,1.0,23.0,11.0,2.0,5.0,0.4,0.0,1.0,0.0,7.0,8.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.33,0.58,5.2,116.67,5.15,4.05,55.98,0.67,0.0,0.0,0.0,0.0,13.3,23.28,0.0,-1.5,122.22,105.98,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.0,6.0,0.33,15.0,BLANCOMORA ADVOCATS- CB. ARGENTONA,CB SALT A,Perdido,-10,False
