Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRI TENA MASSAGUER',Fase 01,1.0,27.0,11.0,4.0,5.0,0.8,1.0,3.0,0.33,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.69,0.59,5.4,0.0,5.0,4.2,54.35,1.38,0.0,0.0,0.0,0.0,11.95,18.32,0.0,0.5,122.22,92.82,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,5.0,8.0,0.62,15.0
b'AITOR GONZALEZ TORRES',Fase 01,1.0,19.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.11,-3.4,25.0,0.4,4.0,9.09,0.0,0.0,0.0,0.0,0.0,5.32,12.4,0.0,-5.5,25.0,89.99,-64.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,4.0,0.0,11.0
b'EDGAR ABAD AMANCIO',Fase 01,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.57,0.2,0.0,0.6,0.2,75.0,0.0,0.0,0.0,0.0,0.0,2.63,4.67,0.0,-0.5,99.73,92.28,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
b'ELOI MARIN BONAMUSA',Fase 01,1.0,30.0,19.0,7.0,10.0,0.7,1.0,1.0,1.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.77,0.77,13.3,18.18,9.07,3.13,74.32,1.55,0.0,0.0,0.0,0.0,14.95,21.8,0.0,5.5,158.33,92.97,65.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,8.0,11.0,0.73,4.0
b'GERARD ROJAS ARGILES',Fase 01,1.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.8,0.3,100.0,1.6,0.2,88.89,2.0,0.0,0.0,0.0,0.0,3.63,14.26,0.0,-1.5,300.0,79.56,220.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
b'GUILLEM GONZALEZ GARCIA',Fase 01,1.0,26.0,9.0,4.0,5.0,0.8,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.43,3.2,10.0,4.4,6.0,42.31,0.8,0.0,0.0,0.0,0.0,11.32,21.31,0.0,-2.0,90.0,93.55,-3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,10.0,0.4,6.0
b'MART MARTORI FIGUEREDO',Fase 01,1.0,32.0,10.0,4.0,8.0,0.5,0.0,4.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.33,0.35,0.4,16.67,5.28,8.72,37.71,0.67,0.0,0.0,0.0,0.0,18.58,23.55,0.0,-6.5,76.92,91.76,-14.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4.0,12.0,0.33,9.0
b'RAUL MORENO BELINCHON',Fase 01,1.0,15.0,2.0,1.0,3.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.25,-1.2,0.0,1.0,3.0,25.0,0.5,0.0,0.0,0.0,0.0,4.0,14.15,0.0,-3.0,50.0,91.59,-41.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,4.0,0.25,51.0
b'XAVIER BLANCO MART',Fase 01,1.0,20.0,16.0,1.0,1.0,1.0,4.0,10.0,0.4,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.64,0.67,9.1,18.18,5.8,6.0,49.15,1.27,0.0,0.0,0.0,0.0,13.63,31.53,0.0,2.5,145.45,91.24,54.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,5.0,11.0,0.45,8.0
b'XAVIER GARCIA FERNANDEZ',Fase 01,1.0,14.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,-1.8,0.0,1.0,5.0,16.67,0.33,0.0,0.0,0.0,0.0,6.0,22.75,0.0,-4.0,33.33,94.35,-61.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,6.0,0.17,2.0
