Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT ILLA VILA',Fase 01,5.0,16.8,2.8,0.4,1.2,0.33,0.6,2.0,0.3,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.41,0.41,-0.16,1.25,1.12,2.24,33.33,0.81,0.0,0.0,0.0,0.0,3.7,10.77,0.0,-1.9,87.5,90.55,-3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.0,3.2,0.31,12.0
b'ARNAU CUMELLES CESPEDES',Fase 01,4.0,21.5,8.75,2.0,6.5,0.31,0.25,2.5,0.1,4.0,5.5,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.26,0.38,1.75,11.11,4.29,6.91,38.27,0.53,0.0,0.0,0.0,0.0,15.92,27.86,0.0,-4.25,79.55,97.1,-17.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.25,9.0,0.25,13.0
b'CARLES JORD SANCHEZ',Fase 01,5.0,18.2,6.0,1.6,2.4,0.67,0.8,3.0,0.27,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.52,0.51,2.46,1.48,2.66,3.14,45.79,1.04,0.0,0.0,0.0,0.0,6.65,17.2,0.0,-0.5,107.14,91.17,15.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,2.4,5.4,0.44,10.0
b'EDUARD MAS FERRE',Fase 01,5.0,23.4,12.0,4.0,7.8,0.51,0.8,3.0,0.27,1.6,1.8,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.48,0.52,5.4,2.96,5.51,6.01,47.84,0.96,0.0,0.0,0.0,0.0,13.05,26.55,0.0,-0.8,105.26,90.97,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,4.8,10.8,0.44,15.0
b'FERRAN MAS FARR',Fase 01,5.0,25.2,15.8,4.0,6.8,0.59,2.0,4.4,0.45,1.8,2.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.62,0.64,9.64,3.21,6.94,5.3,56.71,1.25,0.0,0.0,0.0,0.0,14.45,26.25,0.0,2.8,131.67,91.36,40.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,6.0,11.2,0.54,6.0
b'JAN OSUL VIDAL',Fase 01,5.0,23.0,8.6,2.0,3.4,0.59,1.4,2.8,0.5,0.4,1.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.66,0.64,4.74,1.29,3.67,3.01,54.89,1.32,0.0,0.0,0.0,0.0,7.7,15.68,0.0,1.1,130.3,91.21,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,3.4,6.2,0.55,1.0
b'JONATHAN LOZANO BZDZIL',Fase 01,5.0,10.8,3.4,0.8,3.0,0.27,0.2,0.4,0.5,1.2,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.32,0.43,0.3,7.06,1.48,2.4,38.14,0.65,0.0,0.0,0.0,0.0,4.9,19.49,0.0,-2.0,89.47,89.81,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.0,3.4,0.29,9.0
b'JORDI CLOTET MATAMALA',Fase 01,5.0,24.2,7.4,1.6,5.0,0.32,0.8,3.0,0.27,1.8,2.2,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.35,0.41,1.4,4.5,3.25,5.63,36.61,0.7,0.0,0.0,0.0,0.0,10.75,19.86,0.0,-3.2,84.09,90.76,-6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,2.4,8.0,0.3,5.0
b'JORDI FORNELLS UR',Fase 01,1.0,16.0,3.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.6,0.0,1.0,3.0,25.0,0.75,0.0,0.0,0.0,0.0,4.0,12.83,0.0,-1.0,75.0,84.1,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,22.0
b'JORDI SOBREVIAS BONELLS',Fase 01,5.0,20.2,8.2,0.8,1.8,0.44,2.0,4.8,0.42,0.6,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.58,0.58,3.66,1.82,3.16,3.92,44.63,1.15,0.0,0.0,0.0,0.0,8.1,18.91,0.0,0.0,120.59,90.94,29.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.8,6.6,0.42,32.0
b'MANEL SAMA SOLDEVILA',Fase 01,2.0,6.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.15,0.0,0.5,1.0,33.33,0.67,0.0,0.0,0.0,0.0,1.5,12.57,0.0,-0.5,66.67,93.83,-27.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.5,1.5,0.33,38.0
b'POL CAMPRUBI TRUJILLO',Fase 01,3.0,16.67,2.67,0.33,1.33,0.25,0.67,2.33,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.36,0.36,-0.57,0.0,1.0,2.67,27.27,0.73,0.0,0.0,0.0,0.0,3.67,12.33,0.0,-2.33,72.73,89.21,-16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.0,3.67,0.27,4.0
b'ROGER PORTELLA SANTOLARIA',Fase 01,3.0,9.0,1.0,0.0,1.67,0.0,0.33,1.67,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.15,0.15,-1.73,0.0,0.33,3.0,10.0,0.3,0.0,0.0,0.0,0.0,3.33,20.76,0.0,-3.0,30.0,89.28,-59.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.33,3.33,0.1,24.0
