Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ALEX CRUZ JOBACHO',Jornada 01,1.0,9.0,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.33,0.33,-0.9,0.0,1.0,2.0,33.33,0.67,0.0,0.0,0.0,0.0,3.0,17.24,0.0,-2.5,66.67,72.82,-6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,3.0,0.33,18.0,JOVENTUT BADALONA A,BARCA,Ganado,11,False
b'ALEX CRUZ JOBACHO',Jornada 02,1.0,15.0,6.0,2.0,3.0,0.67,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.4,0.51,1.7,40.0,2.8,3.0,48.28,0.8,0.0,0.0,0.0,0.0,6.57,18.86,0.0,-2.0,120.0,65.92,54.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,5.0,0.4,18.0,C.B. L'HOSPITALET A,JOVENTUT BADALONA A,Ganado,27,False
b'ALEX CRUZ JOBACHO',Jornada 03,1.0,18.0,4.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,0.1,0.0,2.0,3.0,40.0,0.8,0.0,0.0,0.0,0.0,5.0,11.58,0.0,-2.5,80.0,69.17,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,18.0,JOVENTUT BADALONA A,SESE A,Ganado,72,False
b'ALEX CRUZ JOBACHO',Jornada 04,1.0,23.0,11.0,3.0,9.0,0.33,0.0,1.0,0.0,5.0,6.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.44,4.4,50.0,5.33,7.07,43.01,0.6,0.0,0.0,0.0,0.0,14.84,28.31,0.0,-2.5,91.67,66.39,25.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,10.0,0.3,18.0,COALCI - CB SANT JOSEP A,JOVENTUT BADALONA A,Ganado,36,False
b'ALEX CRUZ JOBACHO',Jornada 05,1.0,18.0,5.0,1.0,5.0,0.2,0.0,1.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17,0.29,-0.4,50.0,2.8,5.6,33.33,0.33,0.0,0.0,0.0,0.0,11.1,24.68,0.0,-4.5,71.43,83.71,-12.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,6.0,0.17,18.0,JOVENTUT BADALONA A,CB. CORNELLA A,Ganado,39,False
b'ALEX CRUZ JOBACHO',Jornada 06,1.0,17.0,6.0,3.0,7.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.43,0.43,1.5,0.0,3.0,4.0,42.86,0.86,0.0,0.0,0.0,0.0,7.0,20.49,0.0,-2.0,85.71,99.76,-14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.43,18.0,BASQUET GIRONA U16,JOVENTUT BADALONA A,Ganado,1,False
b'ALEX CRUZ JOBACHO',Jornada 07,1.0,19.0,14.0,5.0,7.0,0.71,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.81,0.83,9.2,12.5,6.4,2.0,76.19,1.62,0.0,0.0,0.0,0.0,9.12,17.86,0.0,3.5,175.0,59.13,115.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,6.0,8.0,0.75,18.0,JOVENTUT BADALONA A,BASQUET MANRESA A,Ganado,63,False
b'ALEX CRUZ JOBACHO',Jornada 08,1.0,7.0,3.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.52,1.6,50.0,1.6,1.2,57.14,1.0,0.0,0.0,0.0,0.0,5.8,21.83,0.0,0.0,150.0,101.68,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,18.0,BARCA,JOVENTUT BADALONA A,Perdido,-3,False
b'ALEX CRUZ JOBACHO',Jornada 09,1.0,20.0,14.0,6.0,10.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.55,0.59,7.5,18.18,6.8,5.0,57.63,1.09,0.0,0.0,0.0,0.0,12.44,23.98,0.0,0.5,127.27,80.39,46.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,6.0,11.0,0.55,18.0,JOVENTUT BADALONA A,C.B. L'HOSPITALET A,Ganado,54,False
b'ALEX CRUZ JOBACHO',Jornada 10,1.0,30.0,11.0,4.0,9.0,0.44,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,3.2,0.0,5.0,9.0,35.71,0.79,0.0,0.0,0.0,0.0,14.0,21.29,0.0,-3.0,78.57,95.5,-16.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,5.0,14.0,0.36,18.0,SESE A,JOVENTUT BADALONA A,Ganado,33,False
