Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'AFRICA PEREZ LOPEZ',Fase 01,5.0,10.0,1.8,0.4,0.6,0.67,0.2,1.4,0.14,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.35,0.41,0.32,4.0,0.76,1.4,35.19,0.7,0.0,0.0,0.0,0.0,2.45,11.74,0.0,-0.8,90.0,69.58,20.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,2.0,0.3,8.0
b'AFRICA PEREZ LOPEZ',Fase 02,5.0,9.2,2.4,0.2,1.0,0.2,0.4,1.0,0.4,0.8,1.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.47,0.68,8.0,1.03,1.45,41.4,0.8,0.0,0.0,0.0,0.0,3.14,14.8,0.0,-0.7,100.0,76.04,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,2.0,0.3,8.0
b'AFRICA PEREZ LOPEZ',Fase 03,1.0,12.0,3.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,1.6,0.0,1.0,1.0,50.0,1.5,0.0,0.0,0.0,0.0,2.0,10.32,0.0,0.5,150.0,85.52,64.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,8.0
b'ANYA COULIBALY GARCIA',Fase 01,5.0,22.6,9.4,3.6,8.2,0.44,0.0,1.8,0.0,2.2,4.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.36,0.4,2.24,4.4,4.88,6.72,42.03,0.72,0.0,0.0,0.0,0.0,14.54,28.08,0.0,-3.7,82.46,69.38,13.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,3.6,10.0,0.36,34.0
b'ANYA COULIBALY GARCIA',Fase 02,5.0,23.6,8.8,3.4,9.0,0.38,0.2,0.8,0.25,1.4,4.8,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.38,0.37,0.66,2.86,4.56,7.16,38.88,0.76,0.0,0.0,0.0,0.0,14.37,27.18,0.0,-5.1,77.19,75.47,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,3.6,9.8,0.37,34.0
b'ANYA COULIBALY GARCIA',Fase 03,4.0,27.0,10.75,4.0,9.5,0.42,0.25,0.5,0.5,2.0,4.25,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.44,0.45,3.85,5.0,5.47,6.23,46.78,0.88,0.0,0.0,0.0,0.0,13.92,21.36,0.0,-2.25,95.56,85.87,9.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4.25,10.0,0.42,34.0
b'ARAN TEJERA IGLESIAS',Fase 03,2.0,9.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.27,-0.35,100.0,0.67,1.03,39.22,0.0,0.0,0.0,0.0,0.0,3.06,9.37,0.0,-1.25,66.67,96.79,-30.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.0
b'CARLA FUSTER CASAS',Fase 01,5.0,14.6,4.8,0.4,1.8,0.22,1.0,3.2,0.31,1.0,1.6,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.38,0.42,0.66,4.0,1.95,3.69,34.57,0.76,0.0,0.0,0.0,0.0,6.82,21.08,0.0,-2.2,88.89,68.59,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.4,5.0,0.28,10.0
b'CARLA FUSTER CASAS',Fase 02,5.0,15.4,5.4,0.8,2.4,0.33,1.2,3.2,0.38,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.46,0.47,1.08,0.71,2.12,3.64,36.81,0.93,0.0,0.0,0.0,0.0,5.98,20.2,0.0,-1.8,96.43,74.85,21.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,2.0,5.6,0.36,10.0
b'CARLA FUSTER CASAS',Fase 03,3.0,20.67,11.33,2.0,4.67,0.43,2.0,4.67,0.43,1.33,1.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.54,0.57,5.87,4.76,4.53,5.33,45.95,1.07,0.0,0.0,0.0,0.0,10.61,23.86,0.0,0.67,117.24,83.88,33.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,9.33,0.43,10.0
b'CLAUDIA AGULLO VIZCARRA',Fase 01,5.0,18.6,5.8,2.6,5.2,0.5,0.0,2.0,0.0,0.6,0.8,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.36,0.38,1.16,1.67,2.9,4.62,38.56,0.72,0.0,0.0,0.0,0.0,8.11,21.91,0.0,-2.5,78.38,69.64,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.6,7.2,0.36,13.0
b'CLAUDIA AGULLO VIZCARRA',Fase 02,5.0,21.4,10.6,2.4,5.2,0.46,0.8,2.6,0.31,3.4,4.4,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.46,0.54,4.9,8.72,4.87,4.69,50.93,0.92,0.0,0.0,0.0,0.0,11.99,24.5,0.0,-0.8,112.77,75.68,37.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.2,7.8,0.41,13.0
b'CLAUDIA AGULLO VIZCARRA',Fase 03,1.0,18.0,14.0,5.0,6.0,0.83,1.0,3.0,0.33,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.72,0.65,8.1,11.11,6.7,3.9,63.21,1.44,0.0,0.0,0.0,0.0,13.0,25.98,0.0,2.0,155.56,63.29,92.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,6.0,9.0,0.67,13.0
b'EMMA LEON SAAVEDRA',Fase 01,5.0,20.2,11.6,3.8,8.2,0.46,0.8,3.4,0.24,1.6,1.8,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.43,0.47,3.8,2.76,5.31,7.01,43.11,0.86,0.0,0.0,0.0,0.0,13.64,33.1,0.0,-2.7,95.08,68.43,26.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,4.6,11.6,0.4,24.0
b'EMMA LEON SAAVEDRA',Fase 02,5.0,18.0,6.8,2.2,4.4,0.5,0.6,2.6,0.23,0.6,2.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.44,0.42,1.58,1.71,3.22,4.74,40.45,0.89,0.0,0.0,0.0,0.0,9.29,24.1,0.0,-2.3,87.18,76.19,10.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2.8,7.0,0.4,24.0
b'EMMA LEON SAAVEDRA',Fase 03,4.0,23.75,13.75,4.0,8.5,0.47,1.25,4.0,0.31,2.0,4.5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.47,0.47,5.0,4.0,6.5,7.8,45.42,0.94,0.0,0.0,0.0,0.0,16.66,29.62,0.0,-2.38,98.21,85.45,12.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,5.25,12.5,0.42,24.0
b'GRCIA FERRER LEAL',Fase 01,5.0,21.8,3.0,1.4,2.8,0.5,0.0,1.2,0.0,0.2,0.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.35,0.34,-0.2,1.0,1.54,2.78,35.65,0.7,0.0,0.0,0.0,0.0,4.91,10.77,0.0,-2.3,75.0,69.55,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,4.0,0.35,5.0
b'GRCIA FERRER LEAL',Fase 02,5.0,24.4,6.2,2.4,4.8,0.5,0.2,1.8,0.11,0.8,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.41,0.42,1.5,2.42,3.08,4.16,42.54,0.82,0.0,0.0,0.0,0.0,8.12,16.12,0.0,-2.2,88.57,76.48,12.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.6,6.6,0.39,5.0
b'GRCIA FERRER LEAL',Fase 03,4.0,22.25,6.25,2.75,5.25,0.52,0.0,0.75,0.0,0.75,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.46,0.47,1.85,3.12,3.2,3.4,48.48,0.92,0.0,0.0,0.0,0.0,7.38,14.54,0.0,-1.75,100.0,85.48,14.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.75,6.0,0.46,5.0
b'JANA CANADELL COMES',Fase 01,5.0,15.8,2.8,1.0,3.0,0.33,0.0,1.4,0.0,0.8,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.23,0.29,-0.6,3.64,1.38,3.42,28.83,0.45,0.0,0.0,0.0,0.0,5.54,16.53,0.0,-2.9,60.87,69.33,-8.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.0,4.4,0.23,11.0
