Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ABRIL RICART MENSAH',Fase 01,2.0,10.5,0.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-3.05,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,17.26,0.0,-4.25,75.6,68.93,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,3.5,0.0,4.0
b'ABRIL RICART MENSAH',Fase 02,3.0,13.33,4.0,1.67,4.0,0.42,0.0,1.0,0.0,0.67,1.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.36,0.5,4.44,2.07,3.47,37.35,0.67,0.0,0.0,0.0,0.0,6.15,23.59,0.0,-2.17,75.0,72.16,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.67,5.0,0.33,4.0
b'ABRIL RICART MENSAH',Fase 03,4.0,14.25,2.75,0.75,3.75,0.2,0.25,1.0,0.25,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.24,0.24,-1.57,2.63,1.35,4.2,24.32,0.47,0.0,0.0,0.0,0.0,6.43,21.52,0.0,-4.0,52.38,82.54,-30.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0,4.75,0.21,4.0
b'ANNA MESTRES ROSET',Fase 01,3.0,10.33,4.0,0.67,1.33,0.5,0.33,0.67,0.5,1.67,2.67,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.58,0.63,2.2,27.78,1.92,1.15,62.5,1.17,0.0,0.0,0.0,0.0,4.59,16.17,0.0,0.17,150.0,65.09,84.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,2.0,0.5,15.0
b'ANNA MESTRES ROSET',Fase 02,4.0,9.0,2.5,0.75,2.25,0.33,0.0,0.5,0.0,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.27,0.37,0.07,9.09,1.28,2.07,38.31,0.55,0.0,0.0,0.0,0.0,3.92,21.61,0.0,-1.75,76.92,70.8,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.75,2.75,0.27,15.0
b'ANNA MESTRES ROSET',Fase 03,4.0,10.75,1.5,0.25,1.25,0.2,0.0,0.0,0.0,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.39,0.12,20.0,0.78,1.07,42.34,0.4,0.0,0.0,0.0,0.0,2.51,9.68,0.0,-1.0,85.71,82.92,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,0.2,15.0
b'ARIADNA GARCIA VIL',Fase 01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.89,60.92,31.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
b'BLANCA ROURA COMPS',Fase 01,4.0,12.0,1.5,0.75,2.5,0.3,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.2,0.2,-1.32,0.0,0.75,3.0,20.0,0.4,0.0,0.0,0.0,0.0,3.75,16.14,0.0,-2.88,40.0,68.29,-28.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.75,3.75,0.2,13.0
b'BLANCA ROURA COMPS',Fase 02,5.0,9.6,2.2,0.8,1.8,0.44,0.2,0.6,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.46,0.46,0.12,0.0,1.0,1.4,41.67,0.92,0.0,0.0,0.0,0.0,2.4,14.13,0.0,-1.2,91.67,69.07,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,2.4,0.42,13.0
b'BLANCA ROURA COMPS',Fase 03,4.0,18.75,9.75,2.5,4.75,0.53,1.25,3.25,0.38,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.55,0.56,4.85,3.12,4.28,4.32,49.81,1.09,0.0,0.0,0.0,0.0,9.26,25.16,0.0,0.25,114.71,83.03,31.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,3.75,8.0,0.47,13.0
