Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ALBERT CADAFALCH CASANOVAS',Jornada 01,1.0,21.0,9.0,3.0,5.0,0.6,0.0,7.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.25,0.32,-0.6,25.0,4.68,9.32,33.43,0.5,0.0,0.0,0.0,0.0,20.33,36.57,0.0,-7.5,69.23,89.42,-20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,3.0,12.0,0.25,11.0,C.B.CASTELLAR A,SD ESPANYOL,Perdido,-6,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 02,1.0,24.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-6.2,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,8.29,19.36,0.0,-8.5,89.03,101.26,-12.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,6.0,0.0,11.0,COCHESINTERNET.NET CB ALPICAT,C.B.CASTELLAR A,Perdido,-10,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 03,1.0,12.0,6.0,0.0,1.0,0.0,2.0,7.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.8,0.0,2.0,6.0,25.0,0.75,0.0,0.0,0.0,0.0,8.0,40.98,0.0,-2.5,75.0,98.67,-23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.0,8.0,0.25,11.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,C.B.CASTELLAR A,Perdido,-5,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 04,1.0,23.0,15.0,0.0,1.0,0.0,5.0,8.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.83,0.83,9.1,0.0,5.0,4.0,55.56,1.67,0.0,0.0,0.0,0.0,9.0,19.56,0.0,4.0,166.67,108.81,57.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.0,9.0,0.56,11.0,C.B.CASTELLAR A,TERRA ENDINS CB VILATORRADA,Ganado,14,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 05,1.0,31.0,21.0,3.0,5.0,0.6,3.0,8.0,0.38,6.0,7.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.58,0.65,13.1,46.15,8.74,7.06,55.33,1.15,0.0,0.0,0.0,0.0,21.11,33.27,0.0,3.5,140.0,93.24,46.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,6.0,13.0,0.46,11.0,CLUB NATACIO TERRASSA A,C.B.CASTELLAR A,Perdido,-14,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 06,1.0,29.0,11.0,1.0,2.0,0.5,3.0,9.0,0.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5,0.46,2.1,0.0,4.0,7.8,33.9,1.0,0.0,0.0,0.0,0.0,13.62,25.59,0.0,-3.5,100.0,113.28,-13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,4.0,11.0,0.36,11.0,C.B.CASTELLAR A,CB IPSI A,Perdido,-10,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 07,1.0,35.0,10.0,2.0,4.0,0.5,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.42,0.42,2.0,0.0,4.0,8.0,33.33,0.83,0.0,0.0,0.0,0.0,12.0,19.85,0.0,-3.5,83.33,111.18,-27.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,4.0,12.0,0.33,11.0,VEDRUNA GRACIA A,C.B.CASTELLAR A,Perdido,-2,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 08,1.0,23.0,3.0,1.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.11,0.16,-3.7,11.11,1.4,8.0,14.89,0.22,0.0,0.0,0.0,0.0,13.33,19.7,0.0,-7.5,33.33,91.45,-58.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,9.0,0.11,11.0,C.B.CASTELLAR A,PUJOL CB MOLLERUSSA,Perdido,-9,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 09,1.0,33.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.22,-2.1,60.0,1.5,5.1,22.73,0.0,0.0,0.0,0.0,0.0,10.23,12.66,0.0,-5.5,50.0,119.66,-69.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,5.0,0.0,11.0,NOU BASQUET OLESA A,C.B.CASTELLAR A,Perdido,-28,False
b'ALBERT CADAFALCH CASANOVAS',Jornada 10,1.0,30.0,5.0,1.0,2.0,0.5,1.0,7.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.28,0.28,-1.7,0.0,2.0,7.0,22.22,0.56,0.0,0.0,0.0,0.0,9.0,16.59,0.0,-5.5,55.56,103.6,-48.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,2.0,9.0,0.22,11.0,C.B.CASTELLAR A,LA SALLE MANRESA S.GOL,Perdido,-18,False
