Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'A. PUEYO',Fase 04,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.27,-1.3,100.0,0.6,1.2,33.33,0.0,0.0,0.0,0.0,0.0,5.0,13.81,0.0,-2.5,100.0,71.67,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
b'A.PUEYO',Fase 05,1.0,11.0,5.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.83,0.83,3.3,0.0,2.0,1.0,66.67,1.67,0.0,0.0,0.0,0.0,3.0,15.79,0.0,1.5,166.67,98.15,68.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,3.0,0.67,9.0
b'ARNAU ABELLO GIRVES',Fase 01,5.0,16.6,9.0,4.0,6.6,0.61,0.0,0.4,0.0,1.0,2.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.57,0.56,4.74,2.86,4.63,3.33,58.21,1.14,0.0,0.0,0.0,0.0,9.17,25.98,0.0,0.3,115.38,82.85,32.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,4.0,7.0,0.57,15.0
b'ARNAU ABELLO GIRVES',Fase 02,5.0,19.4,7.2,2.8,5.8,0.48,0.0,0.6,0.0,1.6,3.4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.44,0.46,2.08,5.0,3.78,3.98,48.7,0.88,0.0,0.0,0.0,0.0,9.71,24.43,0.0,-2.2,97.3,105.08,-7.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.8,6.4,0.44,15.0
b'ARNAU ABELLO GIRVES',Fase 03,5.0,16.8,6.0,2.8,6.4,0.44,0.0,0.0,0.0,0.4,1.8,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.44,0.42,1.12,1.25,3.08,4.04,43.32,0.88,0.0,0.0,0.0,0.0,8.3,23.65,0.0,-2.5,85.71,95.66,-9.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,6.4,0.44,15.0
b'ARNAU ABELLO GIRVES',Fase 04,4.0,27.5,12.0,4.75,9.5,0.5,0.25,0.75,0.33,1.75,3.75,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.5,4.42,4.27,6.07,5.68,51.69,1.0,0.0,0.0,0.0,0.0,14.54,23.51,0.0,-2.12,104.35,99.11,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,5.0,10.25,0.49,15.0
b'ARNAU ABELLO GIRVES',Fase 05,3.0,28.67,9.67,3.67,8.67,0.42,0.0,0.67,0.0,2.33,4.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.39,0.42,3.13,8.33,5.07,6.13,45.24,0.79,0.0,0.0,0.0,0.0,14.15,21.99,0.0,-2.67,87.88,101.69,-13.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,3.67,9.33,0.39,15.0
b'EDUARD CESARI BURCH',Fase 01,4.0,26.25,7.0,1.25,3.25,0.38,0.75,2.75,0.27,2.25,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.48,2.1,9.38,3.12,4.08,43.4,0.79,0.0,0.0,0.0,0.0,8.8,14.58,0.0,-2.0,100.0,78.44,21.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,2.0,6.0,0.33,8.0
b'EDUARD CESARI BURCH',Fase 02,5.0,31.2,10.0,2.0,4.8,0.42,1.0,3.6,0.28,3.0,3.8,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.42,0.5,4.04,7.14,4.45,5.47,44.89,0.83,0.0,0.0,0.0,0.0,12.1,19.38,0.0,-1.5,102.04,105.31,-3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,3.0,8.4,0.36,8.0
b'EDUARD CESARI BURCH',Fase 03,5.0,27.4,10.6,1.2,3.8,0.32,2.2,4.4,0.5,1.6,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.55,0.58,5.02,3.9,4.17,4.83,46.31,1.1,0.0,0.0,0.0,0.0,10.31,18.31,0.0,0.1,120.45,96.06,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,3.4,8.2,0.41,8.0
