Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIANA DOMINGO MAAS',Fase 01,3.0,6.67,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.87,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,6.19,0.0,-1.17,92.4,81.93,10.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,14.0
b'ADRIANA DOMINGO MAAS',Fase 02,4.0,8.25,0.25,0.0,0.75,0.0,0.0,0.75,0.0,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06,-1.5,4.17,0.17,1.73,9.21,0.0,0.0,0.0,0.0,0.0,2.5,14.92,0.0,-2.25,16.67,75.03,-58.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,14.0
b'ADRIANA DOMINGO MAAS',Fase 03,3.0,8.33,0.33,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,-0.9,11.11,0.2,1.07,15.79,0.0,0.0,0.0,0.0,0.0,1.65,9.62,0.0,-1.5,33.33,85.54,-52.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0
b'AINA CANTOS MENAL',Fase 01,5.0,14.6,4.0,0.0,0.2,0.0,1.2,4.6,0.26,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.48,1.67,1.46,3.74,28.0,0.75,0.0,0.0,0.0,0.0,5.78,22.13,0.0,-1.8,80.0,81.54,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.2,4.8,0.25,6.0
b'AINA CANTOS MENAL',Fase 02,5.0,21.2,5.4,0.6,1.2,0.5,1.4,4.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.5,0.5,1.94,0.0,2.0,3.4,37.04,1.0,0.0,0.0,0.0,0.0,5.4,15.41,0.0,-0.6,100.0,69.16,30.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,2.0,5.4,0.37,6.0
b'AINA CANTOS MENAL',Fase 03,3.0,18.33,6.33,1.0,1.33,0.75,1.33,5.33,0.25,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.45,0.45,2.33,1.67,2.53,4.4,36.54,0.9,0.0,0.0,0.0,0.0,7.32,23.54,0.0,-0.83,95.0,86.45,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.33,6.67,0.35,6.0
b'DANIELA LPEZ PEA',Fase 01,5.0,26.8,11.4,2.2,5.4,0.41,1.8,5.0,0.36,1.6,3.6,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.47,0.48,4.12,3.08,5.0,6.84,42.19,0.94,0.0,0.0,0.0,0.0,13.92,27.57,0.0,-1.8,98.28,81.47,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,4.0,10.4,0.38,7.0
b'DANIELA LPEZ PEA',Fase 02,5.0,23.8,8.6,2.8,6.4,0.44,0.6,4.0,0.15,1.2,3.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.36,0.37,1.48,2.31,4.17,7.43,35.93,0.71,0.0,0.0,0.0,0.0,13.37,29.79,0.0,-3.9,75.44,69.26,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.4,10.4,0.33,7.0
b'DANIELA LPEZ PEA',Fase 03,3.0,28.0,13.0,2.0,5.67,0.35,2.33,6.33,0.37,2.0,2.67,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.46,0.49,5.53,5.56,5.33,7.73,40.82,0.92,0.0,0.0,0.0,0.0,14.61,29.17,0.0,-1.0,100.0,86.19,13.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,4.33,12.0,0.36,7.0
b'JANA AUB RIBAS',Fase 01,5.0,22.6,5.2,2.2,5.2,0.42,0.0,0.2,0.0,0.8,1.4,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.41,0.43,0.86,2.96,2.66,3.3,44.58,0.81,0.0,0.0,0.0,0.0,6.77,16.41,0.0,-2.4,89.66,80.79,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.2,5.4,0.41,8.0
