Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALEX ANGULO VALDES',Fase 01,5.0,21.4,9.8,2.6,8.0,0.33,0.8,1.6,0.5,2.2,4.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.4,0.42,2.92,4.58,4.72,6.64,41.55,0.79,0.0,0.0,0.0,0.0,13.4,28.14,0.0,-2.8,87.5,90.82,-3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,3.4,9.6,0.35,14.0
b'ALEX ANGULO VALDES',Fase 02,5.0,23.6,11.8,5.0,9.2,0.54,0.0,1.0,0.0,1.8,2.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.49,0.53,6.1,3.53,5.79,5.21,52.65,0.98,0.0,0.0,0.0,0.0,12.09,23.96,0.0,0.0,109.26,97.81,11.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,10.2,0.49,14.0
b'ALEX ANGULO VALDES',Fase 03,3.0,20.0,2.33,1.0,6.67,0.15,0.0,1.0,0.0,0.33,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.13,0.15,-3.3,1.45,1.13,6.67,14.53,0.26,0.0,0.0,0.0,0.0,7.98,19.71,0.0,-6.33,30.43,90.08,-59.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.0,7.67,0.13,14.0
b'AMAT RUEDA MENGBAR',Fase 01,1.0,12.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,2.3,100.0,1.6,0.2,88.89,2.0,0.0,0.0,0.0,0.0,3.24,11.1,0.0,1.0,300.0,129.89,170.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
b'AMAT RUEDA MENGBAR',Fase 02,1.0,11.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.08,0.0,-3.5,86.23,106.32,-20.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,3.0,0.0,2.0
b'AMAT RUEDA MENGBAR',Fase 03,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,105.08,96.48,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
b'DANIEL TORRALBA CAROZ',Fase 01,5.0,12.2,3.2,0.8,2.4,0.33,0.2,0.6,0.33,1.0,1.8,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.37,0.42,0.62,6.67,1.58,2.14,42.41,0.73,0.0,0.0,0.0,0.0,4.55,16.23,0.0,-1.4,94.12,90.41,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,3.0,0.33,13.0
b'DANIEL TORRALBA CAROZ',Fase 02,5.0,13.8,1.6,0.6,2.8,0.21,0.0,1.6,0.0,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.14,0.17,-1.88,1.82,0.84,3.88,17.8,0.27,0.0,0.0,0.0,0.0,5.16,17.58,0.0,-3.8,34.78,97.49,-62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.6,4.4,0.14,13.0
b'DANIEL TORRALBA CAROZ',Fase 03,4.0,17.0,4.0,1.5,2.75,0.55,0.0,0.5,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.46,0.48,0.72,7.69,2.1,1.95,51.85,0.92,0.0,0.0,0.0,0.0,5.08,11.93,0.0,-1.75,106.67,91.56,15.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.5,3.25,0.46,13.0
b'GERARD DALMAU PATIO',Fase 01,5.0,22.6,6.2,2.4,4.6,0.52,0.2,0.4,0.5,0.8,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.54,0.53,2.38,3.2,3.11,2.69,53.66,1.08,0.0,0.0,0.0,0.0,6.73,13.58,0.0,-0.9,110.71,90.59,20.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.6,5.0,0.52,11.0
