Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'CARLOS RODRGUEZ DE LA HERA',Fase 01,5.0,15.8,2.2,0.8,3.2,0.25,0.0,0.2,0.0,0.6,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.24,0.28,-0.98,3.53,1.16,2.72,29.9,0.47,0.0,0.0,0.0,0.0,4.54,13.84,0.0,-2.9,61.11,96.89,-35.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.8,3.4,0.24,12.0
b'CARLOS RODRGUEZ DE LA HERA',Fase 02,5.0,15.0,6.6,2.6,5.2,0.5,0.0,0.2,0.0,1.4,3.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.48,0.49,2.34,5.19,3.46,3.14,52.4,0.96,0.0,0.0,0.0,0.0,8.34,24.11,0.0,-1.4,103.12,93.72,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.6,5.4,0.48,77.0
b'CARLOS RODRGUEZ DE LA HERA',Fase 03,5.0,11.8,2.4,1.0,2.2,0.45,0.0,0.6,0.0,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.36,0.38,-0.28,2.86,1.24,1.88,39.74,0.71,0.0,0.0,0.0,0.0,3.54,15.76,0.0,-2.0,80.0,86.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0,2.8,0.36,77.0
b'CARLOS RODRGUEZ DE LA HERA',Fase 04,5.0,14.4,3.8,1.4,2.8,0.5,0.0,0.0,0.0,1.0,2.8,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.5,0.47,1.2,7.14,2.06,1.86,52.48,1.0,0.0,0.0,0.0,0.0,5.15,14.99,0.0,-1.0,100.0,89.67,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.8,0.5,77.0
b'CARLOS RODRGUEZ DE LA HERA',Fase 05,1.0,10.0,3.0,1.0,3.0,0.33,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.39,0.9,33.33,1.6,2.2,42.11,0.67,0.0,0.0,0.0,0.0,4.71,18.22,0.0,-1.0,100.0,85.65,14.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.33,77.0
b'CINTO GABRIEL MORILLA',Fase 01,5.0,27.4,13.0,4.6,8.4,0.55,0.0,0.2,0.0,3.8,6.2,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.53,0.57,7.14,8.84,6.71,4.37,60.55,1.07,0.0,0.0,0.0,0.0,14.47,23.02,0.0,0.4,120.37,97.2,23.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.6,8.6,0.53,16.0
b'CINTO GABRIEL MORILLA',Fase 02,5.0,29.6,13.8,4.6,8.4,0.55,0.2,0.8,0.25,4.0,4.8,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.53,0.61,7.92,8.7,6.67,4.45,59.95,1.07,0.0,0.0,0.0,0.0,13.91,20.57,0.0,0.9,125.45,94.01,31.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,4.8,9.2,0.52,3.0
b'CINTO GABRIEL MORILLA',Fase 03,5.0,30.4,10.4,2.8,6.4,0.44,0.2,1.0,0.2,4.2,5.4,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.42,0.53,5.06,11.35,5.05,4.51,52.86,0.84,0.0,0.0,0.0,0.0,12.43,18.97,0.0,-0.8,110.64,86.56,24.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.0,7.4,0.41,3.0
b'CINTO GABRIEL MORILLA',Fase 04,5.0,30.8,13.6,3.8,8.6,0.44,0.0,0.4,0.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.42,0.54,6.82,13.33,6.8,5.4,55.74,0.84,0.0,0.0,0.0,0.0,15.71,21.76,0.0,-0.9,111.48,89.59,21.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,3.8,9.0,0.42,3.0
b'CINTO GABRIEL MORILLA',Fase 05,3.0,34.67,16.0,4.0,7.67,0.52,0.67,1.33,0.5,6.0,7.33,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.56,0.65,9.97,22.22,7.5,4.43,62.87,1.11,0.0,0.0,0.0,0.0,15.57,19.91,0.0,2.0,137.14,93.73,43.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,4.67,9.0,0.52,3.0
