Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ALEJANDRO DE ANDRES CAAS',Jornada 01,1.0,20.0,10.0,1.0,4.0,0.25,2.0,3.0,0.67,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.57,0.57,3.9,28.57,4.2,4.4,48.84,1.14,0.0,0.0,0.0,0.0,11.33,23.19,0.0,-1.0,125.0,124.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,3.0,7.0,0.43,1.0,C.B. LHOSPITALET A,JOVENTUT BADALONA A,Perdido,-18,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 02,1.0,22.0,5.0,1.0,5.0,0.2,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17,0.32,0.4,50.0,2.5,5.1,32.89,0.33,0.0,0.0,0.0,0.0,10.38,20.09,0.0,-3.5,71.43,78.37,-6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,6.0,0.17,1.0,BASQUET GIRONA U18,C.B. LHOSPITALET A,Ganado,13,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 03,1.0,15.0,4.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.6,0.0,2.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,4.0,12.04,0.0,-0.5,100.0,86.89,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,PRC-PUNTRECARREGACOTXE.CAT JAC SANTS BARCELONA A,C.B. LHOSPITALET A,Ganado,12,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 04,1.0,17.0,2.0,1.0,3.0,0.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,-2.3,0.0,1.0,4.0,20.0,0.4,0.0,0.0,0.0,0.0,5.0,15.3,0.0,-4.5,40.0,110.34,-70.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,5.0,0.2,1.0,C.B. LHOSPITALET A,BASQUET MANRESA A,Perdido,-17,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 05,1.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.09,0.0,-4.0,115.9,98.48,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,UE MATARO  HOMS - JAM,C.B. LHOSPITALET A,Ganado,12,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 08,1.0,16.0,2.0,1.0,3.0,0.33,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.17,0.17,-3.0,0.0,1.0,5.0,16.67,0.33,0.0,0.0,0.0,0.0,6.0,20.05,0.0,-5.5,33.33,86.28,-52.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,6.0,0.17,1.0,C.B. LHOSPITALET A,BASQUET GIRONA U18,Ganado,9,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 09,1.0,17.0,5.0,1.0,4.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.37,0.7,60.0,2.5,4.1,37.88,0.4,0.0,0.0,0.0,0.0,10.67,19.1,0.0,-3.0,83.33,63.83,19.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,5.0,0.2,1.0,CB TARRAGONA,C.B. LHOSPITALET A,Ganado,44,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 10,1.0,15.0,6.0,1.0,2.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.33,0.63,3.1,133.33,2.6,2.0,56.52,0.67,0.0,0.0,0.0,0.0,7.0,16.32,0.0,-0.5,150.0,89.39,60.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,3.0,0.33,1.0,C.B. LHOSPITALET A,PRC-PUNTRECARREGACOTXE.CAT JAC SANTS BARCELONA A,Perdido,-3,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 11,1.0,23.0,9.0,4.0,6.0,0.67,0.0,3.0,0.0,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.44,0.44,2.7,11.11,4.67,5.53,45.75,0.89,0.0,0.0,0.0,0.0,11.52,23.93,0.0,-2.5,100.0,80.7,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4.0,9.0,0.44,1.0,BASQUET MANRESA A,C.B. LHOSPITALET A,Ganado,2,False
b'ALEJANDRO DE ANDRES CAAS',Jornada 12,1.0,18.0,5.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42,0.36,0.4,0.0,2.0,4.8,29.41,0.83,0.0,0.0,0.0,0.0,7.92,21.23,0.0,-2.5,83.33,81.19,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,6.0,0.33,1.0,C.B. LHOSPITALET A,UE MATARO  HOMS - JAM,Perdido,-4,False
