Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT JIMENEZ RAMOS',Fase 01,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.79,99.67,-5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
b'ALBERT JIMENEZ RAMOS',Fase 02,3.0,17.67,4.67,2.0,3.0,0.67,0.0,0.0,0.0,0.67,1.67,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.67,0.62,2.43,7.41,2.43,1.24,66.18,1.33,0.0,0.0,0.0,0.0,4.59,10.81,0.0,0.17,140.0,83.62,56.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.67,19.0
b'BIEL SALAT TASIAS',Fase 01,5.0,12.4,3.8,1.2,3.2,0.38,0.4,0.8,0.5,0.2,0.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.45,0.44,0.68,1.0,1.74,2.58,40.28,0.9,0.0,0.0,0.0,0.0,4.66,17.82,0.0,-1.5,95.0,94.08,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,4.0,0.4,8.0
b'BIEL SALAT TASIAS',Fase 02,5.0,13.4,2.4,0.8,3.0,0.27,0.2,0.6,0.33,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31,0.32,-0.2,1.11,1.12,2.64,29.79,0.61,0.0,0.0,0.0,0.0,3.98,13.5,0.0,-1.9,66.67,92.95,-26.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,3.6,0.28,8.0
b'BIEL SALAT TASIAS',Fase 03,4.0,14.25,6.0,2.75,5.0,0.55,0.0,1.75,0.0,0.5,1.75,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41,0.4,1.48,1.85,3.09,4.36,41.51,0.81,0.0,0.0,0.0,0.0,8.33,26.04,0.0,-2.12,82.76,89.95,-7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,2.75,6.75,0.41,6.0
b'GUILLEM PREZ LAYUNTA',Fase 01,5.0,27.6,13.4,5.0,10.0,0.5,0.4,1.8,0.22,2.2,4.6,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.47,0.48,5.14,3.73,6.74,6.9,49.41,0.95,0.0,0.0,0.0,0.0,15.59,25.43,0.0,-2.2,100.0,94.34,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,5.4,11.8,0.46,26.0
b'GUILLEM PREZ LAYUNTA',Fase 02,4.0,25.75,11.0,4.5,10.25,0.44,0.25,1.5,0.17,1.25,2.25,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.41,0.43,3.17,2.66,5.47,7.18,43.26,0.83,0.0,0.0,0.0,0.0,13.89,23.21,0.0,-3.25,89.8,94.78,-4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,4.75,11.75,0.4,26.0
b'GUILLEM PREZ LAYUNTA',Fase 03,5.0,23.6,7.0,2.6,7.0,0.37,0.2,1.0,0.2,1.2,3.2,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.36,0.37,0.68,3.0,3.58,5.7,38.58,0.72,0.0,0.0,0.0,0.0,10.89,19.69,0.0,-3.9,77.78,93.23,-15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.8,8.0,0.35,14.0
b'IAKI IBAEZ DE ELEJALDE MORALES',Fase 01,5.0,19.2,5.0,0.4,1.2,0.33,0.8,4.6,0.17,1.8,2.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.28,0.36,0.06,6.21,2.14,4.7,31.31,0.55,0.0,0.0,0.0,0.0,7.94,18.36,0.0,-3.4,75.76,94.15,-18.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.2,5.8,0.21,23.0
b'IAKI IBAEZ DE ELEJALDE MORALES',Fase 02,4.0,21.0,5.75,1.25,3.75,0.33,0.75,4.75,0.16,1.0,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.28,0.3,-1.2,2.94,2.64,6.86,27.79,0.56,0.0,0.0,0.0,0.0,10.84,22.59,0.0,-5.5,62.16,91.27,-29.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,2.0,8.5,0.24,23.0
