Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 01,5.0,18.6,7.0,2.4,5.2,0.46,0.2,0.8,0.25,1.6,2.8,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.45,0.48,1.92,5.33,3.51,3.61,49.36,0.9,0.0,0.0,0.0,0.0,8.89,22.92,0.0,-2.2,100.0,101.11,-1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.6,6.0,0.43,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 02,5.0,16.6,7.8,2.8,4.8,0.58,0.0,0.8,0.0,2.2,3.4,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.55,2.92,7.86,3.99,2.97,57.34,1.0,0.0,0.0,0.0,0.0,8.79,23.6,0.0,-1.5,118.18,85.56,32.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.8,5.6,0.5,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 03,5.0,17.6,3.0,0.8,2.4,0.33,0.0,0.8,0.0,1.4,2.4,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.35,-0.52,8.75,1.59,2.57,38.3,0.5,0.0,0.0,0.0,0.0,5.46,13.92,0.0,-2.9,78.95,86.99,-8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.8,3.2,0.25,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 04,5.0,18.4,9.4,2.6,6.0,0.43,0.0,0.6,0.0,4.2,5.4,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.39,0.52,4.54,12.73,4.65,4.11,53.12,0.79,0.0,0.0,0.0,0.0,11.38,26.39,0.0,-0.9,109.3,86.19,23.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.6,6.6,0.39,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 05,2.0,15.5,5.5,1.0,6.5,0.15,0.0,0.0,0.0,3.5,5.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.15,0.32,-0.85,26.93,2.82,5.68,33.18,0.31,0.0,0.0,0.0,0.0,11.59,31.93,0.0,-5.5,68.75,109.82,-41.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.15,14.0
b'ALBERT BLANCO FONTANALS',Fase 01,5.0,12.2,5.0,1.4,3.0,0.47,0.4,2.0,0.2,1.0,1.6,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.44,1.18,4.0,2.35,3.29,41.67,0.8,0.0,0.0,0.0,0.0,6.65,27.56,0.0,-1.8,92.59,101.26,-8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,5.0,0.36,25.0
b'ALBERT BLANCO FONTANALS',Fase 02,4.0,16.5,4.75,1.25,3.75,0.33,0.0,3.0,0.0,2.25,2.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.19,0.3,-0.17,8.33,2.24,5.51,28.9,0.37,0.0,0.0,0.0,0.0,9.13,26.27,0.0,-4.0,63.33,92.52,-29.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.25,6.75,0.19,25.0
b'ALBERT BLANCO FONTANALS',Fase 03,5.0,13.6,7.4,1.0,2.4,0.42,1.0,1.8,0.56,2.4,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.6,0.7,4.54,11.43,2.96,2.2,57.36,1.19,0.0,0.0,0.0,0.0,6.46,22.24,0.0,1.1,148.0,87.23,60.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,2.0,4.2,0.48,25.0
b'ALBERT BLANCO FONTANALS',Fase 04,5.0,17.8,7.8,1.4,2.6,0.54,0.4,2.0,0.2,3.8,5.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.43,0.56,4.1,16.52,3.77,2.99,55.77,0.87,0.0,0.0,0.0,0.0,9.38,21.2,0.0,-0.2,121.88,86.29,35.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.8,4.6,0.39,25.0
b'ALBERT BLANCO FONTANALS',Fase 05,2.0,17.0,4.0,1.0,3.0,0.33,0.5,2.0,0.25,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.35,0.37,-0.1,5.0,1.8,3.6,33.33,0.7,0.0,0.0,0.0,0.0,6.02,18.2,0.0,-2.75,80.0,110.92,-30.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,5.0,0.3,25.0
b'ALBERT ROMAN PEREZ',Fase 01,4.0,16.0,6.75,0.75,1.5,0.5,1.75,3.25,0.54,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.71,0.68,3.62,0.0,2.5,2.45,50.51,1.42,0.0,0.0,0.0,0.0,5.28,18.09,0.0,1.0,142.11,104.42,37.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,2.5,4.75,0.53,10.0
b'ALBERT ROMAN PEREZ',Fase 02,5.0,15.4,3.6,0.0,0.4,0.0,1.0,3.4,0.29,0.6,0.8,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.39,0.43,0.54,3.16,1.3,2.82,31.55,0.79,0.0,0.0,0.0,0.0,4.55,14.89,0.0,-1.5,90.0,86.49,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,3.8,0.26,10.0
b'ALBERT ROMAN PEREZ',Fase 03,5.0,12.6,5.2,0.2,0.4,0.5,1.4,3.4,0.41,0.6,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.61,0.64,2.62,3.16,1.84,2.2,45.54,1.21,0.0,0.0,0.0,0.0,4.37,18.56,0.0,0.4,130.0,87.37,42.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.6,3.8,0.42,10.0
b'ALBERT ROMAN PEREZ',Fase 04,5.0,12.0,2.0,0.4,1.0,0.4,0.4,3.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.25,0.25,-0.72,0.0,0.8,3.2,20.0,0.5,0.0,0.0,0.0,0.0,4.0,18.03,0.0,-2.3,50.0,86.38,-36.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8,4.0,0.2,10.0
