Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 01,1.0,16.0,6.0,2.0,3.0,0.67,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.67,0.63,2.7,66.67,3.2,1.4,69.57,1.33,0.0,0.0,0.0,0.0,6.85,18.06,0.0,-0.5,150.0,118.75,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.67,14.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,COCHESINTERNET.NET CB ALPICAT,Perdido,-31,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 02,1.0,19.0,6.0,1.0,6.0,0.17,1.0,3.0,0.33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.28,0.32,-1.5,11.11,2.4,7.0,25.53,0.56,0.0,0.0,0.0,0.0,10.22,27.18,0.0,-6.0,66.67,112.01,-45.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,9.0,0.22,14.0,NOU BASQUET OLESA A,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,Perdido,-6,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 03,1.0,19.0,6.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.43,0.43,1.5,0.0,3.0,4.0,42.86,0.86,0.0,0.0,0.0,0.0,7.0,22.83,0.0,-2.0,85.71,89.87,-4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.0,7.0,0.43,14.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,C.B.CASTELLAR A,Ganado,5,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 04,1.0,23.0,9.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.75,0.73,5.4,75.0,4.68,1.32,78.0,1.5,0.0,0.0,0.0,0.0,9.68,15.93,0.0,1.0,180.0,104.64,75.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,14.0,LA SALLE MANRESA S.GOL,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,Ganado,1,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 05,1.0,16.0,8.0,3.0,7.0,0.43,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.43,0.46,1.5,28.57,4.2,4.4,48.84,0.86,0.0,0.0,0.0,0.0,10.68,32.21,0.0,-3.5,100.0,78.81,21.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.43,14.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,TERRA ENDINS CB VILATORRADA,Ganado,18,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 06,1.0,21.0,7.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.6,0.55,1.9,20.0,3.67,2.53,59.14,1.2,0.0,0.0,0.0,0.0,7.86,15.59,0.0,-2.0,140.0,87.46,52.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,5.0,0.6,14.0,BASQUET MOLINS,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,Perdido,-7,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 07,1.0,26.0,18.0,6.0,10.0,0.6,0.0,0.0,0.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6,0.67,11.4,60.0,9.0,4.2,68.18,1.2,0.0,0.0,0.0,0.0,18.47,32.26,0.0,2.5,138.46,88.87,49.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.6,14.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,CLUB NATACIO TERRASSA A,Perdido,-2,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 08,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.27,-1.7,100.0,0.6,1.2,33.33,0.0,0.0,0.0,0.0,0.0,2.76,15.24,0.0,-3.0,100.0,86.36,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,CLUB NATACIO SABADELL A,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,Ganado,13,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 09,1.0,14.0,7.0,2.0,4.0,0.5,0.0,3.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.29,0.4,1.3,42.86,3.5,5.1,40.7,0.57,0.0,0.0,0.0,0.0,10.54,34.55,0.0,-3.5,87.5,65.31,22.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,2.0,7.0,0.29,14.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,CB IPSI A,Ganado,12,False
b'ADRIA RUIZ DE AZUA MALDONADO',Jornada 10,1.0,15.0,6.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.6,0.6,1.7,0.0,3.0,2.0,60.0,1.2,0.0,0.0,0.0,0.0,5.0,17.19,0.0,-1.5,120.0,99.43,20.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,14.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,GRUP VIA - CB ARTES,Perdido,-16,False
