Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ACHRAF ZOUKRI ALGARIB',Fase 01,1.0,10.0,8.0,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.67,4.6,0.0,4.0,2.0,66.67,1.33,0.0,0.0,0.0,0.0,6.0,26.75,0.0,1.0,133.33,77.7,55.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.67,77.0
b'ALEIX LOPEZ LUQUE',Fase 01,2.0,29.0,7.5,2.5,4.0,0.62,0.5,2.5,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.5,0.51,2.35,7.69,3.6,3.7,49.32,1.0,0.0,0.0,0.0,0.0,8.64,12.88,0.0,-1.75,107.14,82.02,25.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.0,6.5,0.46,7.0
b'BRUNO ALOCEN GUERRA',Fase 01,2.0,8.5,3.0,1.0,1.5,0.67,0.0,2.0,0.0,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29,0.36,-0.05,14.29,1.53,2.56,37.4,0.57,0.0,0.0,0.0,0.0,5.11,24.77,0.0,-2.25,75.0,81.74,-6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.0,3.5,0.29,4.0
b'EDWIN JOSE NIEBLES HERRERA',Fase 01,2.0,19.0,10.5,4.5,9.0,0.5,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.54,5.4,8.34,5.1,4.5,53.12,1.0,0.0,0.0,0.0,0.0,10.61,25.74,0.0,0.0,110.53,82.12,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,0.5,0.0
b'FERRAN TORREBLANCA CATALAN',Fase 01,2.0,26.0,5.0,1.5,2.5,0.6,0.5,3.5,0.14,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.38,0.39,0.4,4.17,2.3,4.1,35.94,0.75,0.0,0.0,0.0,0.0,7.08,12.54,0.0,-2.75,83.33,82.08,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,2.0,6.0,0.33,24.0
b'GUILLEM NASPLER PEREZ',Fase 01,1.0,20.0,5.0,0.0,1.0,0.0,1.0,2.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.53,2.1,66.67,2.2,2.4,47.83,1.0,0.0,0.0,0.0,0.0,9.15,10.61,0.0,-0.5,125.0,78.12,46.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.0,0.33,93.0
b'LADJI COULIBALY',Fase 01,2.0,18.0,8.5,4.0,7.0,0.57,0.0,0.5,0.0,0.5,3.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.53,0.48,2.45,3.33,4.37,4.33,50.19,1.07,0.0,0.0,0.0,0.0,10.72,24.8,0.0,-2.25,106.25,81.84,24.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,4.0,7.5,0.53,21.0
b'MAX GASPA IBAEZ',Fase 01,2.0,18.5,11.0,2.5,4.5,0.56,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.65,6.45,0.0,4.5,4.0,52.94,1.29,0.0,0.0,0.0,0.0,8.5,23.26,0.0,2.0,129.41,82.19,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,4.5,8.5,0.53,11.0
b'MIQUEL LLOMPART PERELLO',Fase 01,1.0,27.0,13.0,5.0,8.0,0.62,0.0,2.0,0.0,3.0,8.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.48,4.4,30.0,6.95,6.25,52.65,1.0,0.0,0.0,0.0,0.0,16.86,29.32,0.0,-3.0,108.33,86.68,21.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,10.0,0.5,14.0
b'PAUL ATER MAKER BOL',Fase 01,2.0,27.5,21.5,5.5,6.5,0.85,3.0,5.0,0.6,1.5,4.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.87,0.8,14.85,6.52,9.5,3.8,71.43,1.74,0.0,0.0,0.0,0.0,16.33,24.81,0.0,6.75,165.38,82.14,83.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,8.5,11.5,0.74,8.0
