Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ALEIX SEMPERE SERRANO',Jornada 01,1.0,30.0,17.0,6.0,7.0,0.86,0.0,1.0,0.0,5.0,11.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.75,0.66,10.6,62.5,9.09,3.31,73.31,1.5,0.0,0.0,0.0,0.0,18.56,20.63,0.0,2.5,141.67,84.44,57.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,6.0,8.0,0.75,0.0,CB ADEPAF TXOT'S,UE MATARO  - TC,Perdido,-5,False
b'ALEIX SEMPERE SERRANO',Jornada 02,1.0,19.0,8.0,3.0,5.0,0.6,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.45,3.2,25.0,3.8,5.0,43.18,0.75,0.0,0.0,0.0,0.0,9.94,25.94,0.0,-1.5,100.0,92.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.0,8.0,0.38,0.0,UE MATARO  - TC,BASQUET SAFA CLAROR A,Ganado,11,False
b'ALEIX SEMPERE SERRANO',Jornada 03,1.0,22.0,3.0,1.0,3.0,0.33,0.0,3.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.17,0.22,-2.8,16.67,1.6,5.2,23.53,0.33,0.0,0.0,0.0,0.0,7.77,17.27,0.0,-6.0,50.0,97.7,-47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,6.0,0.17,0.0,UB SANT ADRIA A,UE MATARO  - TC,Perdido,-6,False
b'ALEIX SEMPERE SERRANO',Jornada 04,1.0,23.0,6.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,2.9,0.0,2.0,3.0,40.0,1.2,0.0,0.0,0.0,0.0,5.0,11.96,0.0,0.5,120.0,87.06,32.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,5.0,0.4,0.0,UE MATARO  - TC,U.E. CLARET A,Ganado,10,False
b'ALEIX SEMPERE SERRANO',Jornada 05,1.0,25.0,8.0,2.0,5.0,0.4,0.0,1.0,0.0,4.0,7.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.33,0.44,2.6,66.67,4.29,4.51,48.7,0.67,0.0,0.0,0.0,0.0,16.23,18.46,0.0,-2.5,100.0,89.81,10.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.0,6.0,0.33,0.0,UE MATARO  - TC,CB SANTA COLOMA A,Perdido,-8,False
b'ALEX CRUZ URBANEJA',Jornada 01,1.0,16.0,10.0,1.0,2.0,0.5,2.0,3.0,0.67,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.8,0.85,5.7,40.0,3.8,2.0,65.52,1.6,0.0,0.0,0.0,0.0,6.92,17.71,0.0,1.5,200.0,83.09,116.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,5.0,0.6,33.0,CB ADEPAF TXOT'S,UE MATARO  - TC,Perdido,-5,False
b'ALEX CRUZ URBANEJA',Jornada 02,1.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.75,0.0,-4.5,108.37,92.06,16.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,4.0,0.0,19.0,UE MATARO  - TC,BASQUET SAFA CLAROR A,Ganado,11,False
b'ALEX CRUZ URBANEJA',Jornada 03,1.0,15.0,2.0,1.0,2.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.17,0.17,-3.4,0.0,1.0,5.0,16.67,0.33,0.0,0.0,0.0,0.0,6.0,22.09,0.0,-6.0,33.33,97.37,-64.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,6.0,0.17,19.0,UB SANT ADRIA A,UE MATARO  - TC,Perdido,-6,False
b'ALEX CRUZ URBANEJA',Jornada 04,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.6,0.0,1.07,0.13,88.89,0.0,0.0,0.0,0.0,0.0,2.21,18.15,0.0,0.5,200.0,87.51,112.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,UE MATARO  - TC,U.E. CLARET A,Ganado,10,False
b'ALEX CRUZ URBANEJA',Jornada 05,1.0,22.0,17.0,4.0,8.0,0.5,2.0,7.0,0.29,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.47,0.51,7.3,20.0,7.5,9.1,45.18,0.93,0.0,0.0,0.0,0.0,20.85,38.71,0.0,-1.5,106.25,89.74,16.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,6.0,15.0,0.4,19.0,UE MATARO  - TC,CB SANTA COLOMA A,Perdido,-8,False
b'EDUARD COLL COMABELLA',Jornada 01,1.0,21.0,2.0,1.0,5.0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,-5.0,0.0,1.0,9.0,10.0,0.2,0.0,0.0,0.0,0.0,10.0,22.95,0.0,-8.5,20.0,84.55,-64.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,10.0,0.1,11.0,CB ADEPAF TXOT'S,UE MATARO  - TC,Perdido,-5,False
b'EDUARD COLL COMABELLA',Jornada 02,1.0,24.0,30.0,2.0,3.0,0.67,5.0,8.0,0.62,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.86,0.95,23.9,100.0,11.4,4.0,74.03,1.73,0.0,0.0,0.0,0.0,21.66,36.63,0.0,12.0,200.0,92.06,107.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,7.0,11.0,0.64,11.0,UE MATARO  - TC,BASQUET SAFA CLAROR A,Ganado,11,False
b'EDUARD COLL COMABELLA',Jornada 03,1.0,28.0,19.0,3.0,3.0,1.0,3.0,5.0,0.6,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.82,14.2,50.0,8.4,2.8,75.0,1.88,0.0,0.0,0.0,0.0,15.08,22.72,0.0,7.0,190.0,98.41,91.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,6.0,8.0,0.75,11.0,UB SANT ADRIA A,UE MATARO  - TC,Perdido,-6,False
b'EDUARD COLL COMABELLA',Jornada 04,1.0,23.0,15.0,0.0,2.0,0.0,1.0,5.0,0.2,12.0,15.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.21,0.55,8.5,171.43,6.76,6.24,52.0,0.43,0.0,0.0,0.0,0.0,18.05,32.52,0.0,-0.5,125.0,86.6,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.0,7.0,0.14,11.0,UE MATARO  - TC,U.E. CLARET A,Ganado,10,False
b'EDUARD COLL COMABELLA',Jornada 05,1.0,16.0,10.0,2.0,4.0,0.5,2.0,6.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.6,0.0,4.0,6.0,40.0,1.0,0.0,0.0,0.0,0.0,10.0,31.76,0.0,0.0,100.0,89.9,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0,10.0,0.4,11.0,UE MATARO  - TC,CB SANTA COLOMA A,Perdido,-8,False
b'EDUARD RODRGUEZ PREZ',Jornada 01,1.0,24.0,7.0,2.0,2.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.58,0.58,3.2,0.0,3.0,3.0,50.0,1.17,0.0,0.0,0.0,0.0,6.0,12.05,0.0,0.0,116.67,84.35,32.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,3.0,6.0,0.5,15.0,CB ADEPAF TXOT'S,UE MATARO  - TC,Perdido,-5,False
b'EDUARD RODRGUEZ PREZ',Jornada 02,1.0,18.0,7.0,0.0,1.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6,0.64,3.1,20.0,2.4,3.0,44.44,1.2,0.0,0.0,0.0,0.0,5.97,16.77,0.0,0.0,140.0,91.69,48.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,5.0,0.4,15.0,UE MATARO  - TC,BASQUET SAFA CLAROR A,Ganado,11,False
b'EDUARD RODRGUEZ PREZ',Jornada 03,1.0,29.0,8.0,2.0,5.0,0.4,1.0,8.0,0.12,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27,0.28,-1.1,7.69,3.67,10.53,25.82,0.54,0.0,0.0,0.0,0.0,15.65,27.27,0.0,-7.0,61.54,98.27,-36.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,3.0,13.0,0.23,15.0,UB SANT ADRIA A,UE MATARO  - TC,Perdido,-6,False
b'EDUARD RODRGUEZ PREZ',Jornada 04,1.0,19.0,3.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,2.0,33.33,1.0,0.0,0.0,0.0,0.0,3.0,8.69,0.0,-1.0,100.0,86.41,13.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.0,0.33,15.0,UE MATARO  - TC,U.E. CLARET A,Ganado,10,False
b'EDUARD RODRGUEZ PREZ',Jornada 05,1.0,20.0,3.0,0.0,3.0,0.0,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,-1.2,0.0,1.0,5.0,16.67,0.5,0.0,0.0,0.0,0.0,6.0,15.24,0.0,-3.5,50.0,89.84,-39.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,6.0,0.17,15.0,UE MATARO  - TC,CB SANTA COLOMA A,Perdido,-8,False
b'EMILI BELLOT PULIDO',Jornada 01,1.0,27.0,3.0,1.0,2.0,0.5,0.0,4.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.17,0.22,-2.0,16.67,1.6,5.2,23.53,0.33,0.0,0.0,0.0,0.0,7.92,12.28,0.0,-5.0,50.0,84.4,-34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,6.0,0.17,6.0,CB ADEPAF TXOT'S,UE MATARO  - TC,Perdido,-5,False
b'EMILI BELLOT PULIDO',Jornada 02,1.0,16.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.6,1.8,100.0,2.07,1.13,64.58,1.0,0.0,0.0,0.0,0.0,4.91,11.51,0.0,-0.5,133.33,92.06,41.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,0.5,6.0,UE MATARO  - TC,BASQUET SAFA CLAROR A,Ganado,11,False
b'EMILI BELLOT PULIDO',Jornada 03,1.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.2,0.0,-4.0,91.52,98.07,-6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,UB SANT ADRIA A,UE MATARO  - TC,Perdido,-6,False
b'EMILI BELLOT PULIDO',Jornada 04,1.0,29.0,9.0,2.0,4.0,0.5,1.0,3.0,0.33,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.54,3.7,28.57,4.07,4.13,49.59,1.0,0.0,0.0,0.0,0.0,9.21,15.78,0.0,-1.0,112.5,86.43,26.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,3.0,7.0,0.43,6.0,UE MATARO  - TC,U.E. CLARET A,Ganado,10,False
b'EMILI BELLOT PULIDO',Jornada 05,1.0,22.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.24,0.0,-4.0,79.95,89.9,-9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,0.0,6.0,UE MATARO  - TC,CB SANTA COLOMA A,Perdido,-8,False
b'JORDI SNCHEZ SORIANO',Jornada 01,1.0,14.0,3.0,0.0,3.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.21,0.21,-2.7,0.0,1.0,6.0,14.29,0.43,0.0,0.0,0.0,0.0,7.0,24.1,0.0,-5.5,42.86,83.63,-40.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.0,7.0,0.14,10.0,CB ADEPAF TXOT'S,UE MATARO  - TC,Perdido,-5,False
b'JORDI SNCHEZ SORIANO',Jornada 02,1.0,23.0,9.0,0.0,0.0,0.0,2.0,4.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.75,0.68,5.0,75.0,3.8,2.6,59.38,1.5,0.0,0.0,0.0,0.0,9.81,16.02,0.0,1.0,180.0,92.4,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,10.0,UE MATARO  - TC,BASQUET SAFA CLAROR A,Ganado,11,False
b'JORDI SNCHEZ SORIANO',Jornada 03,1.0,14.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17,0.17,-2.2,0.0,1.0,5.0,16.67,0.33,0.0,0.0,0.0,0.0,6.0,23.66,0.0,-4.5,33.33,98.13,-64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,6.0,0.17,10.0,UB SANT ADRIA A,UE MATARO  - TC,Perdido,-6,False
