Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'AARON ZIGA FORNELLS',Fase 01,5.0,28.6,9.6,3.4,5.8,0.59,0.6,5.6,0.11,1.0,2.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.38,0.39,2.34,1.75,4.63,7.73,37.49,0.75,0.0,0.0,0.0,0.0,13.5,23.78,0.0,-3.4,78.69,95.92,-17.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,4.0,11.4,0.35,26.0
b'AARON ZIGA FORNELLS',Fase 02,2.0,28.0,8.5,0.5,7.0,0.07,1.5,4.5,0.33,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.24,0.32,0.05,13.04,3.5,9.6,26.72,0.48,0.0,0.0,0.0,0.0,14.94,25.24,0.0,-6.0,65.38,113.42,-48.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2.0,11.5,0.17,33.0
b'ALEIX SEMPERE SERRANO',Fase 02,2.0,8.0,1.5,0.5,1.5,0.33,0.0,0.5,0.0,0.5,3.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.23,-1.1,12.5,0.86,2.33,27.08,0.5,0.0,0.0,0.0,0.0,4.58,22.12,0.0,-2.5,60.0,113.33,-53.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,2.0,0.25,0.0
b'EDUARD COLL COMABELLA',Fase 01,4.0,21.5,12.0,2.5,4.5,0.56,1.5,5.0,0.3,2.5,3.5,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.5,0.54,6.05,6.58,5.29,5.62,48.49,1.0,0.0,0.0,0.0,0.0,12.72,28.21,0.0,0.12,111.63,94.66,16.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,4.0,9.5,0.42,11.0
b'EDUARD COLL COMABELLA',Fase 02,2.0,22.5,8.0,1.5,4.0,0.38,1.5,5.5,0.27,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.39,0.41,1.95,2.63,3.2,6.5,32.99,0.79,0.0,0.0,0.0,0.0,9.93,23.03,0.0,-2.5,84.21,113.43,-29.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,3.0,9.5,0.32,11.0
b'EDUARD RODRGUEZ PREZ',Fase 01,5.0,23.2,7.4,2.0,4.4,0.45,1.0,3.2,0.31,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.46,0.46,2.08,1.05,3.26,4.74,40.7,0.92,0.0,0.0,0.0,0.0,8.47,18.92,0.0,-1.9,94.87,95.49,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,3.0,7.6,0.39,6.0
b'EDUARD RODRGUEZ PREZ',Fase 02,1.0,26.0,10.0,0.0,0.0,0.0,2.0,7.0,0.29,4.0,7.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.43,0.5,3.9,57.14,4.29,5.51,43.73,0.86,0.0,0.0,0.0,0.0,13.0,22.05,0.0,-1.5,111.11,111.73,-0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.29,15.0
b'EMILI BELLOT PULIDO',Fase 01,5.0,22.2,7.2,0.8,2.8,0.29,1.4,2.4,0.58,1.4,2.4,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.56,0.58,3.16,5.38,2.99,3.17,48.59,1.12,0.0,0.0,0.0,0.0,7.3,15.38,0.0,-0.3,124.14,95.52,28.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,2.2,5.2,0.42,1.0
b'EMILI BELLOT PULIDO',Fase 02,2.0,27.5,6.5,2.0,4.0,0.5,0.5,2.0,0.25,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.46,0.49,2.1,8.34,3.04,3.56,45.96,0.92,0.0,0.0,0.0,0.0,7.29,12.91,0.0,-1.5,100.0,113.39,-13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.5,6.0,0.42,6.0
b'JORDI SNCHEZ SORIANO',Fase 01,5.0,19.4,8.8,2.2,3.0,0.73,0.6,3.2,0.19,2.6,4.4,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.5,0.54,4.14,8.39,4.27,3.69,53.59,1.0,0.0,0.0,0.0,0.0,10.05,22.89,0.0,-0.5,112.82,95.55,17.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,2.8,6.2,0.45,10.0
b'JORDI SNCHEZ SORIANO',Fase 02,2.0,28.0,15.0,1.5,3.0,0.5,2.5,4.5,0.56,4.5,6.5,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.72,10.15,30.0,6.36,3.75,62.91,1.4,0.0,0.0,0.0,0.0,13.09,19.72,0.0,3.75,157.89,113.47,44.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0,7.5,0.53,10.0
b'NICOLAS FERRER IGLESIA',Fase 01,5.0,18.2,7.8,1.4,4.0,0.35,1.0,3.8,0.26,2.0,2.8,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.37,0.43,2.34,5.13,3.43,5.49,38.44,0.74,0.0,0.0,0.0,0.0,10.25,27.09,0.0,-2.2,88.64,95.58,-6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,2.4,7.8,0.31,9.0
b'NICOLAS FERRER IGLESIA',Fase 02,2.0,15.0,8.0,2.0,4.0,0.5,0.5,1.5,0.33,2.5,3.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.5,0.59,3.55,22.73,3.67,3.04,54.73,1.0,0.0,0.0,0.0,0.0,8.08,24.24,0.0,-0.75,123.08,113.16,9.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.5,5.5,0.45,9.0
b'NIL DISTEFANO CAPDEFERRO',Fase 01,5.0,14.6,1.6,0.4,1.8,0.22,0.2,0.2,1.0,0.2,1.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.35,0.32,-0.6,2.0,0.75,1.73,30.11,0.7,0.0,0.0,0.0,0.0,3.05,9.45,0.0,-1.8,72.73,95.46,-22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,2.0,0.3,77.0
b'NIL DISTEFANO CAPDEFERRO',Fase 02,2.0,17.0,4.0,2.0,3.0,0.67,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.57,0.57,1.75,0.0,2.0,1.5,57.14,1.14,0.0,0.0,0.0,0.0,3.5,10.97,0.0,-0.25,114.29,113.39,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.0,3.5,0.57,77.0
b'POL PUIG LPEZ',Fase 01,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.64,100.48,-8.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
b'UNAI PLATTEEUW FERNNDEZ',Fase 01,5.0,17.2,2.4,1.0,2.2,0.45,0.0,1.0,0.0,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.31,0.34,-0.56,2.5,1.24,2.28,35.23,0.62,0.0,0.0,0.0,0.0,3.9,11.27,0.0,-2.4,70.59,95.29,-24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.0,3.2,0.31,12.0
