Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIAN CARRACEDO DE LA ROSA',Fase 01,2.0,17.0,13.5,2.0,3.0,0.67,3.0,5.0,0.6,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.81,0.82,8.3,3.12,5.2,3.0,63.41,1.62,0.0,0.0,0.0,0.0,8.53,27.69,0.0,3.25,168.75,70.35,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,5.0,8.0,0.62,9.0
b'ALEJANDRO SANZ CHONI',Fase 01,2.0,29.0,2.0,0.0,3.0,0.0,0.5,1.5,0.33,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.17,0.19,-2.95,5.55,0.85,4.45,16.04,0.33,0.0,0.0,0.0,0.0,6.61,10.62,0.0,-5.25,44.44,71.83,-27.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,4.5,0.11,15.0
b'ARMAND ALBARRAN SANCHEZ',Fase 01,2.0,20.0,10.5,5.0,9.0,0.56,0.0,2.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.45,0.46,3.8,2.27,5.3,6.1,46.49,0.91,0.0,0.0,0.0,0.0,12.05,32.75,0.0,-2.0,95.45,72.1,23.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,5.0,11.0,0.45,22.0
b'GERARD LOPEZ VILLABURGES',Fase 01,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.9,0.0,-1.5,96.69,52.18,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0
b'JOAN BALADA CARMONA',Fase 01,2.0,22.0,6.0,1.0,1.5,0.67,1.0,3.5,0.29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.55,2.1,10.0,2.4,3.0,44.44,1.0,0.0,0.0,0.0,0.0,6.05,14.16,0.0,-1.0,120.0,71.63,48.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.0,5.0,0.4,91.0
b'JOEL PENINA CORRIOLS',Fase 01,2.0,8.0,3.5,1.5,2.5,0.6,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.6,1.95,10.0,1.8,1.1,62.07,1.2,0.0,0.0,0.0,0.0,3.56,21.04,0.0,0.25,140.0,72.58,67.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,0.6,16.0
b'JORDI SALICHS JUAN',Fase 01,2.0,18.5,2.5,0.5,3.0,0.17,0.0,1.0,0.0,1.5,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.12,0.26,-1.3,18.75,1.25,3.55,26.04,0.25,0.0,0.0,0.0,0.0,6.11,15.1,0.0,-3.75,55.56,71.64,-16.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,4.0,0.12,55.0
b'JOSE MARIA MARZAL GUISADO',Fase 01,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.88,0.0,-1.5,96.69,51.94,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
b'ORLANDO MENDEZ RAMIREZ',Fase 01,2.0,13.0,9.5,2.5,4.5,0.56,1.0,3.0,0.33,1.5,3.5,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.53,0.53,3.85,10.0,4.45,4.46,49.92,1.07,0.0,0.0,0.0,0.0,11.19,39.82,0.0,-1.0,118.75,70.9,47.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.5,7.5,0.47,0.0
b'SERGI ORS ANDREU',Fase 01,2.0,24.5,7.5,3.0,7.0,0.43,0.0,1.5,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.35,0.41,1.55,8.82,3.6,5.5,39.56,0.71,0.0,0.0,0.0,0.0,10.08,21.41,0.0,-3.25,83.33,71.81,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,3.0,8.5,0.35,23.0
b'SERGI ROURERA LLAURADO',Fase 01,2.0,21.5,11.0,1.0,2.0,0.5,2.0,3.0,0.67,3.0,4.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,0.79,7.3,30.0,4.6,2.2,67.65,1.6,0.0,0.0,0.0,0.0,9.73,18.59,0.0,2.75,169.23,72.19,97.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,5.0,0.6,14.0
b'YON PEREZ LOPEZ',Fase 01,2.0,19.0,2.5,0.5,3.0,0.17,0.0,1.5,0.0,1.5,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.11,0.23,-1.65,16.66,1.25,4.05,23.58,0.22,0.0,0.0,0.0,0.0,6.61,16.21,0.0,-4.25,50.0,71.69,-21.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,4.5,0.11,7.0
