Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA FIAGA GARRIDO',Fase 01,5.0,18.2,4.8,1.4,4.2,0.33,0.4,2.0,0.2,0.8,1.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.32,0.36,0.7,2.58,2.23,4.45,33.33,0.65,0.0,0.0,0.0,0.0,7.56,21.65,0.0,-2.4,72.73,89.89,-17.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.8,6.2,0.29,5.0
b'ADRIA FIAGA GARRIDO',Fase 02,1.0,19.0,5.0,2.0,3.0,0.67,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.46,2.3,20.0,2.4,3.0,44.44,0.8,0.0,0.0,0.0,0.0,6.27,16.69,0.0,-0.5,100.0,107.83,-7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,5.0,0.4,5.0
b'ALEX FONT MERCADIE',Fase 01,5.0,20.8,4.4,0.8,3.0,0.27,0.8,3.8,0.21,0.4,1.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.29,0.3,-0.76,1.18,1.87,5.49,25.47,0.59,0.0,0.0,0.0,0.0,8.38,20.88,0.0,-3.9,61.11,89.65,-28.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.6,6.8,0.24,8.0
b'ALEX FONT MERCADIE',Fase 02,1.0,18.0,6.0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,2.2,0.0,3.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,6.0,19.44,0.0,-1.0,100.0,107.3,-7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,3.0,6.0,0.5,8.0
b'ARNAU IGLESIAS',Fase 01,5.0,16.0,2.6,0.2,2.0,0.1,0.4,2.0,0.2,1.0,1.2,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.2,0.29,-0.68,5.0,1.07,3.41,23.81,0.4,0.0,0.0,0.0,0.0,5.36,16.57,0.0,-2.8,59.09,89.49,-30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,4.0,0.15,0.0
b'ARNAU IGLESIAS',Fase 02,1.0,13.0,6.0,0.0,0.0,0.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.3,0.0,2.0,1.0,66.67,2.0,0.0,0.0,0.0,0.0,3.0,13.46,0.0,2.5,200.0,107.46,92.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.67,0.0
b'ARNAU OLIVA CARALT',Fase 01,5.0,8.4,2.6,0.8,1.4,0.57,0.2,1.0,0.2,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.46,0.47,0.84,3.33,1.24,1.48,45.59,0.92,0.0,0.0,0.0,0.0,3.3,19.19,0.0,-0.6,100.0,89.52,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.0,2.4,0.42,6.0
b'ARNAU OLIVA CARALT',Fase 02,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.29,0.0,-1.5,81.72,107.23,-25.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
b'ARNAU TEMPRANO XAMBO',Fase 01,5.0,16.8,6.0,1.8,3.8,0.47,0.6,1.4,0.43,0.6,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.52,0.52,2.44,2.31,2.76,2.92,48.59,1.04,0.0,0.0,0.0,0.0,6.56,19.97,0.0,-0.6,111.11,89.52,21.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.4,5.2,0.46,88.0
b'ARNAU TEMPRANO XAMBO',Fase 02,1.0,18.0,10.0,2.0,5.0,0.4,1.0,1.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.58,0.58,5.4,50.0,4.8,3.6,57.14,1.17,0.0,0.0,0.0,0.0,13.6,27.99,0.0,0.5,142.86,107.57,35.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,3.0,6.0,0.5,88.0
