Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIN GARCIA MANERO',Fase 01,5.0,14.2,5.2,0.4,1.2,0.33,1.4,3.4,0.41,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.54,0.54,1.98,0.87,1.92,2.84,40.34,1.09,0.0,0.0,0.0,0.0,5.03,18.77,0.0,-0.4,113.04,100.82,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.8,4.6,0.39,3.0
b'ALBERT PUIG CARULLA',Fase 01,2.0,6.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,13.6,0.0,-1.5,72.71,100.98,-28.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.5,0.0,16.0
b'ARNAU LATORRE SEGURA',Fase 01,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.5,0.0,-1.0,88.62,95.59,-6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0
b'GERARD MARSOL ESCOL',Fase 01,5.0,26.0,4.0,1.6,6.0,0.27,0.2,3.4,0.06,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.2,0.21,-3.62,0.43,1.92,7.64,20.08,0.4,0.0,0.0,0.0,0.0,9.83,20.56,0.0,-7.7,42.55,100.51,-57.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.8,9.4,0.19,2.0
b'JOAN GARI GARI',Fase 01,5.0,21.4,2.6,1.2,2.4,0.5,0.0,1.8,0.0,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29,0.3,-0.74,0.95,1.32,3.04,30.28,0.57,0.0,0.0,0.0,0.0,4.63,11.41,0.0,-2.8,61.9,100.94,-39.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.2,4.2,0.29,9.0
b'JOAN MORERA REG',Fase 01,5.0,22.0,9.4,3.2,7.4,0.43,0.6,1.4,0.43,1.2,2.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.47,0.48,3.64,2.73,4.52,5.24,46.31,0.93,0.0,0.0,0.0,0.0,11.35,25.0,0.0,-1.4,97.92,101.07,-3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,3.8,8.8,0.43,45.0
b'JOAN SILVESTRE PIJUAN',Fase 01,3.0,7.67,1.0,0.0,0.67,0.0,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.2,0.0,0.33,1.0,25.0,0.75,0.0,0.0,0.0,0.0,1.33,9.3,0.0,-0.33,75.0,107.91,-32.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.33,1.33,0.25,27.0
b'MAMADOU FALL DIOP',Fase 01,1.0,15.0,7.0,1.0,3.0,0.33,1.0,2.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.52,2.7,40.0,3.2,3.4,48.48,1.0,0.0,0.0,0.0,0.0,8.0,26.59,0.0,-1.0,116.67,92.65,24.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,5.0,0.4,20.0
b'MARC NAVARRO DOMINGUEZ',Fase 01,5.0,32.0,6.6,0.4,3.0,0.13,1.2,6.4,0.19,2.2,4.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.23,0.3,-1.02,4.68,2.88,8.12,26.15,0.47,0.0,0.0,0.0,0.0,13.66,19.46,0.0,-6.0,61.11,101.06,-39.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.6,9.4,0.17,12.0
b'MARC TREVIO QUINTILL',Fase 01,5.0,26.8,10.6,3.2,6.4,0.5,0.6,2.6,0.23,2.4,2.8,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.46,0.52,4.86,5.33,4.9,5.22,48.39,0.91,0.0,0.0,0.0,0.0,11.98,21.31,0.0,-0.8,106.0,101.06,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,3.8,9.0,0.42,7.0
