Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ADRIN GARCIA MANERO',Jornada 01,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.28,0.0,-1.5,82.38,102.7,-20.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,LA SALLE MANRESA S.GOL,PUJOL CB MOLLERUSSA,Perdido,-16,False
b'ADRIN GARCIA MANERO',Jornada 02,1.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.18,-1.7,100.0,0.7,1.9,26.92,0.0,0.0,0.0,0.0,0.0,4.18,11.97,0.0,-3.0,100.0,124.4,-24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,CLUB NATACIO SABADELL A,PUJOL CB MOLLERUSSA,Perdido,-33,False
b'ALBERT PUIG CARULLA',Jornada 01,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.85,0.0,-2.0,82.38,104.08,-21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,LA SALLE MANRESA S.GOL,PUJOL CB MOLLERUSSA,Perdido,-16,False
b'ALBERT PUIG CARULLA',Jornada 02,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,3.18,12.4,0.0,-2.0,81.16,125.36,-44.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,CLUB NATACIO SABADELL A,PUJOL CB MOLLERUSSA,Perdido,-33,False
b'ARNAU LATORRE SEGURA',Jornada 01,1.0,16.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.43,0.0,-5.0,82.38,103.04,-20.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,0.0,13.0,LA SALLE MANRESA S.GOL,PUJOL CB MOLLERUSSA,Perdido,-16,False
b'ARNAU LATORRE SEGURA',Jornada 02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,CLUB NATACIO SABADELL A,PUJOL CB MOLLERUSSA,Perdido,-33,False
b'GERARD MARSOL ESCOL',Jornada 01,1.0,34.0,4.0,2.0,11.0,0.18,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.14,0.14,-6.2,0.0,2.0,12.0,14.29,0.29,0.0,0.0,0.0,0.0,14.0,20.47,0.0,-11.5,28.57,103.35,-74.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,2.0,14.0,0.14,8.0,LA SALLE MANRESA S.GOL,PUJOL CB MOLLERUSSA,Perdido,-16,False
b'GERARD MARSOL ESCOL',Jornada 02,1.0,30.0,13.0,5.0,8.0,0.62,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.59,0.59,5.7,0.0,6.0,5.0,54.55,1.18,0.0,0.0,0.0,0.0,11.0,20.67,0.0,-0.5,118.18,124.32,-6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,6.0,11.0,0.55,2.0,CLUB NATACIO SABADELL A,PUJOL CB MOLLERUSSA,Perdido,-33,False
b'JOAN GARI GARI',Jornada 01,1.0,25.0,8.0,4.0,6.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.57,0.57,3.9,0.0,4.0,3.0,57.14,1.14,0.0,0.0,0.0,0.0,7.0,13.92,0.0,0.0,114.29,103.42,10.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,4.0,7.0,0.57,10.0,LA SALLE MANRESA S.GOL,PUJOL CB MOLLERUSSA,Perdido,-16,False
b'JOAN GARI GARI',Jornada 02,1.0,24.0,7.0,1.0,3.0,0.33,1.0,2.0,0.5,2.0,6.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5,0.46,0.7,40.0,3.33,4.07,45.05,1.0,0.0,0.0,0.0,0.0,9.76,17.94,0.0,-3.5,100.0,124.06,-24.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,5.0,0.4,9.0,CLUB NATACIO SABADELL A,PUJOL CB MOLLERUSSA,Perdido,-33,False
