Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT FONTANALS MARTIN',Fase 01,5.0,15.6,2.4,1.2,3.4,0.35,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.29,0.29,-0.54,0.0,1.2,3.0,28.57,0.57,0.0,0.0,0.0,0.0,4.2,15.79,0.0,-2.4,57.14,95.63,-38.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,1.2,4.2,0.29,4.0
b'ALBERT FONTANALS MARTIN',Fase 02,5.0,15.8,3.4,1.0,3.2,0.31,0.2,0.6,0.33,0.8,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.34,0.38,0.58,4.21,1.68,2.76,37.84,0.68,0.0,0.0,0.0,0.0,5.46,16.32,0.0,-1.6,80.95,89.31,-8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.2,3.8,0.32,4.0
b'ALBERT FONTANALS MARTIN',Fase 03,5.0,15.0,3.6,1.6,3.2,0.5,0.0,0.2,0.0,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.47,0.47,1.06,2.35,1.86,1.94,48.84,0.94,0.0,0.0,0.0,0.0,4.48,14.31,0.0,-1.0,100.0,87.19,12.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.6,3.4,0.47,4.0
b'ALBERT FONTANALS MARTIN',Fase 04,1.0,16.0,6.0,3.0,7.0,0.43,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.33,0.33,0.1,0.0,3.0,6.0,33.33,0.67,0.0,0.0,0.0,0.0,9.0,26.35,0.0,-4.0,66.67,90.21,-23.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,3.0,9.0,0.33,4.0
b'ALBERT NAFRIA SOLER',Fase 01,4.0,3.75,0.75,0.0,0.75,0.0,0.0,0.5,0.0,0.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.22,-0.42,15.0,0.38,1.27,22.73,0.0,0.0,0.0,0.0,0.0,2.32,26.4,0.0,-1.25,50.0,97.38,-47.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.25,0.0,12.0
b'ALBERT NAFRIA SOLER',Fase 02,3.0,11.0,0.67,0.33,1.0,0.33,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.17,-0.63,0.0,0.33,1.6,17.24,0.4,0.0,0.0,0.0,0.0,2.33,9.91,0.0,-1.33,40.0,83.26,-43.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.33,1.67,0.2,12.0
b'ALBERT NAFRIA SOLER',Fase 03,3.0,7.0,1.33,0.67,1.33,0.5,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.2,0.0,0.67,1.33,33.33,0.67,0.0,0.0,0.0,0.0,2.0,15.44,0.0,-0.67,66.67,81.37,-14.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,2.0,0.33,12.0
b'ALBERT NAFRIA SOLER',Fase 04,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.64,0.0,-1.0,90.66,91.83,-1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
b'DANIEL ROY CARNICER',Fase 01,5.0,13.6,2.8,0.0,1.8,0.0,0.8,2.0,0.4,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.32,0.34,-0.58,2.11,1.04,3.08,25.24,0.63,0.0,0.0,0.0,0.0,4.63,17.9,0.0,-2.5,70.0,95.21,-25.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.8,3.8,0.21,14.0
b'DANIEL ROY CARNICER',Fase 02,5.0,14.6,4.0,1.0,2.4,0.42,0.4,1.6,0.25,0.8,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.4,0.45,1.12,4.0,1.78,2.62,40.55,0.8,0.0,0.0,0.0,0.0,5.04,17.41,0.0,-1.2,95.24,88.92,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,4.0,0.35,14.0
b'DANIEL ROY CARNICER',Fase 03,5.0,21.0,7.6,2.8,4.2,0.67,0.4,1.4,0.29,0.8,1.4,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.61,0.61,3.92,2.86,3.66,2.5,59.37,1.21,0.0,0.0,0.0,0.0,7.11,16.54,0.0,0.3,126.67,87.17,39.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.2,5.6,0.57,14.0
b'DANIEL ROY CARNICER',Fase 04,2.0,15.5,1.5,0.0,2.0,0.0,0.5,1.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.21,0.21,-2.15,0.0,0.5,3.0,14.29,0.43,0.0,0.0,0.0,0.0,3.5,11.12,0.0,-3.75,42.86,89.92,-47.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.5,3.5,0.14,14.0
b'ENRIC ALIAGA CHECA',Fase 01,5.0,17.6,5.8,2.2,3.6,0.61,0.2,1.4,0.14,0.8,1.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.5,0.52,2.06,3.2,2.83,2.65,51.58,1.0,0.0,0.0,0.0,0.0,6.24,18.42,0.0,-1.1,107.41,95.28,12.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.4,5.0,0.48,13.0
b'ENRIC ALIAGA CHECA',Fase 02,5.0,15.8,6.6,2.8,4.4,0.64,0.0,0.6,0.0,1.0,1.8,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.56,0.57,2.7,4.0,3.38,2.34,59.05,1.12,0.0,0.0,0.0,0.0,6.87,20.99,0.0,-0.8,122.22,88.11,34.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.8,5.0,0.56,13.0
b'ENRIC ALIAGA CHECA',Fase 03,5.0,17.8,6.0,2.2,4.0,0.55,0.2,0.6,0.33,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.54,0.55,1.98,4.35,3.0,2.4,55.56,1.09,0.0,0.0,0.0,0.0,6.76,17.2,0.0,-1.3,111.11,86.44,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.4,4.6,0.52,13.0
