Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBA VERA PONTE',Fase 01,5.0,27.0,6.0,2.6,5.6,0.46,0.0,0.6,0.0,0.8,1.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42,0.45,2.14,2.58,3.03,3.65,45.31,0.84,0.0,0.0,0.0,0.0,7.43,15.14,0.0,-1.3,90.91,80.28,10.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.6,6.2,0.42,5.0
b'ALBA VERA PONTE',Fase 02,5.0,30.2,7.2,3.4,7.2,0.47,0.0,0.4,0.0,0.4,2.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.45,0.42,2.04,1.05,3.69,4.79,43.52,0.89,0.0,0.0,0.0,0.0,9.89,16.8,0.0,-2.1,87.8,78.2,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3.4,7.6,0.45,5.0
b'ALBA VERA PONTE',Fase 03,5.0,24.0,5.2,2.0,5.6,0.36,0.0,0.2,0.0,1.2,2.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.34,0.38,0.82,4.14,2.72,4.04,40.24,0.69,0.0,0.0,0.0,0.0,8.15,17.27,0.0,-2.6,78.79,77.9,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.0,5.8,0.34,5.0
b'ALBA VERA PONTE',Fase 04,5.0,25.2,6.2,2.8,5.8,0.48,0.2,0.6,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.48,0.48,1.96,0.0,3.0,3.4,46.88,0.97,0.0,0.0,0.0,0.0,6.4,15.46,0.0,-1.4,96.88,83.08,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,3.0,6.4,0.47,5.0
b'ALBA VERA PONTE',Fase 05,5.0,24.0,6.4,2.6,7.4,0.35,0.2,0.6,0.33,0.6,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.36,0.38,0.8,1.5,3.16,5.32,37.26,0.72,0.0,0.0,0.0,0.0,9.19,20.82,0.0,-3.3,78.05,74.11,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.8,8.0,0.35,5.0
b'ALBA VERA PONTE',Fase 06,1.0,21.0,5.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.43,1.1,20.0,2.6,3.2,44.83,0.8,0.0,0.0,0.0,0.0,6.82,15.0,0.0,-2.0,100.0,69.89,30.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,5.0
b'BRUNA VILA ARTIGUES',Fase 01,5.0,23.4,8.6,2.2,5.8,0.38,0.4,1.8,0.22,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.37,0.46,2.96,7.89,4.1,5.1,44.57,0.74,0.0,0.0,0.0,0.0,11.7,24.3,0.0,-2.2,95.56,79.95,15.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2.6,7.6,0.34,11.0
b'BRUNA VILA ARTIGUES',Fase 02,5.0,22.6,5.0,1.4,5.0,0.28,0.4,1.8,0.22,1.0,1.2,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.29,0.34,0.0,2.94,2.27,5.01,31.14,0.59,0.0,0.0,0.0,0.0,8.05,19.2,0.0,-3.5,69.44,77.6,-8.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.8,6.8,0.26,11.0
b'BRUNA VILA ARTIGUES',Fase 03,4.0,24.25,9.75,2.0,5.25,0.38,1.0,2.25,0.44,2.75,4.5,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.47,0.51,3.9,9.17,4.53,4.77,48.69,0.93,0.0,0.0,0.0,0.0,11.78,24.0,0.0,-1.38,105.41,79.52,25.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,7.5,0.4,11.0
b'BRUNA VILA ARTIGUES',Fase 04,5.0,26.2,6.4,0.6,3.2,0.19,1.0,3.6,0.28,2.2,3.6,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.31,0.38,0.84,6.47,2.82,5.42,34.25,0.62,0.0,0.0,0.0,0.0,10.36,19.48,0.0,-3.3,78.05,83.16,-5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.6,6.8,0.24,11.0
