Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ALEJANDRO SORIANO IZNAJAR',Jornada 07,1.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.02,0.0,-2.5,106.98,81.04,25.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,18.0,BASQUET MOLINS,CLUB NATACIO SABADELL A,Ganado,17,False
b'ALEJANDRO SORIANO IZNAJAR',Jornada 08,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.92,0.0,-1.5,91.29,111.08,-19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,CLUB NATACIO SABADELL A,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,Perdido,-13,False
b'ALEJANDRO SORIANO IZNAJAR',Jornada 09,1.0,20.0,11.0,4.0,8.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.61,0.58,5.1,0.0,5.0,4.4,53.19,1.22,0.0,0.0,0.0,0.0,9.8,23.6,0.0,0.0,122.22,87.47,34.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,5.0,9.0,0.56,18.0,CLUB NATACIO SABADELL A,GRUP VIA - CB ARTES,Ganado,17,False
b'ALEJANDRO SORIANO IZNAJAR',Jornada 10,1.0,16.0,4.0,2.0,6.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.6,0.0,2.0,4.0,33.33,0.67,0.0,0.0,0.0,0.0,6.0,21.34,0.0,-2.0,66.67,77.89,-11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.33,18.0,SD ESPANYOL,CLUB NATACIO SABADELL A,Ganado,7,False
b'ALEJANDRO SORIANO IZNAJAR',Jornada 11,1.0,17.0,5.0,1.0,5.0,0.2,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.33,0.7,60.0,2.8,4.6,37.84,0.4,0.0,0.0,0.0,0.0,9.42,22.27,0.0,-3.0,83.33,105.66,-22.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,18.0,CLUB NATACIO SABADELL A,COCHESINTERNET.NET CB ALPICAT,Perdido,-9,False
b'ALEJANDRO SORIANO IZNAJAR',Jornada 12,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.07,105.96,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,C.B.CASTELLAR A,CLUB NATACIO SABADELL A,Ganado,10,False
b'ALEJANDRO SORIANO IZNAJAR',Jornada 13,1.0,14.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,-1.1,0.0,1.0,4.0,20.0,0.4,0.0,0.0,0.0,0.0,5.0,18.03,0.0,-3.0,40.0,90.39,-50.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,5.0,0.2,18.0,CLUB NATACIO SABADELL A,TERRA ENDINS CB VILATORRADA,Ganado,7,False
b'ALEX MOR CEBOLLA',Jornada 01,1.0,23.0,5.0,1.0,2.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.42,0.8,0.0,2.0,4.0,33.33,0.83,0.0,0.0,0.0,0.0,6.0,15.86,0.0,-2.0,83.33,72.67,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,6.0,0.33,5.0,CLUB NATACIO TERRASSA A,CLUB NATACIO SABADELL A,Ganado,7,False
b'ALEX MOR CEBOLLA',Jornada 02,1.0,21.0,11.0,0.0,0.0,0.0,3.0,8.0,0.38,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.56,0.62,5.8,25.0,3.8,5.0,43.18,1.12,0.0,0.0,0.0,0.0,10.07,22.29,0.0,1.0,137.5,88.02,49.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.38,5.0,CLUB NATACIO SABADELL A,CB IPSI A,Ganado,12,False
b'ALEX MOR CEBOLLA',Jornada 03,1.0,14.0,9.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.5,1.2,6.0,150.0,3.5,0.1,97.22,3.0,0.0,0.0,0.0,0.0,6.8,16.58,0.0,2.5,300.0,109.27,190.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,5.0,VEDRUNA GRACIA A,CLUB NATACIO SABADELL A,Perdido,-2,False
