Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALEJANDRO SORIANO IZNAJAR',Fase 02,2.0,6.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.45,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,13.01,0.0,-2.0,98.92,96.49,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.5,0.0,18.0
b'ALEX MOR CEBOLLA',Fase 01,5.0,18.4,9.4,0.8,1.6,0.5,2.0,4.0,0.5,1.8,2.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.68,0.73,5.48,6.43,3.59,2.81,56.12,1.36,0.0,0.0,0.0,0.0,7.79,19.29,0.0,1.5,151.61,90.57,61.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,2.8,5.6,0.5,5.0
b'ALEX MOR CEBOLLA',Fase 02,3.0,24.67,10.0,0.67,3.0,0.22,2.33,4.0,0.58,1.67,2.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.6,0.63,5.63,7.94,3.78,4.02,48.43,1.19,0.0,0.0,0.0,0.0,9.08,17.08,0.0,1.33,130.43,106.21,24.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,3.0,7.0,0.43,5.0
b'ALVARO BELLO MARAB',Fase 01,4.0,17.5,6.75,2.0,3.0,0.67,0.25,1.75,0.14,2.0,3.25,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.55,2.62,10.53,3.36,2.69,55.5,1.0,0.0,0.0,0.0,0.0,8.24,18.87,0.0,-1.12,117.39,94.59,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2.25,4.75,0.47,10.0
b'ALVARO BELLO MARAB',Fase 02,3.0,21.67,7.33,2.67,6.67,0.4,0.0,2.0,0.0,2.0,3.33,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.31,0.36,0.87,7.69,3.79,6.21,37.87,0.62,0.0,0.0,0.0,0.0,12.13,25.01,0.0,-4.17,75.86,105.97,-30.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,2.67,8.67,0.31,10.0
b'ANTHONY ALEGRIA VALENCIA',Fase 01,5.0,16.4,2.6,0.8,1.6,0.5,0.0,0.2,0.0,1.0,1.6,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.44,0.52,0.62,11.11,1.35,1.09,55.33,0.89,0.0,0.0,0.0,0.0,3.55,8.36,0.0,-1.0,118.18,90.71,27.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.8,1.8,0.44,10.0
b'ANTHONY ALEGRIA VALENCIA',Fase 02,3.0,4.33,0.67,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.5,0.35,-0.47,0.0,0.33,0.6,35.71,1.0,0.0,0.0,0.0,0.0,1.36,11.84,0.0,-1.0,100.0,105.09,-5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.5,14.0
b'ARNAU SANAHUJA CARNE',Fase 01,5.0,26.0,11.0,2.4,7.0,0.34,1.2,6.4,0.19,2.6,4.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.31,0.36,1.22,3.88,5.0,10.0,33.36,0.63,0.0,0.0,0.0,0.0,17.79,31.94,0.0,-6.0,74.32,90.7,-16.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,3.6,13.4,0.27,8.0
b'ARNAU SANAHUJA CARNE',Fase 02,3.0,27.33,8.0,2.0,4.67,0.43,1.0,5.0,0.2,1.0,1.67,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.36,0.38,0.97,3.45,3.56,6.77,34.45,0.72,0.0,0.0,0.0,0.0,11.4,20.34,0.0,-4.0,80.0,105.96,-25.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,3.0,9.67,0.31,8.0
b'BERNAT ARELLANO MARCH',Fase 01,5.0,23.8,8.2,2.0,4.8,0.42,0.4,1.8,0.22,3.0,4.4,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.39,0.48,2.78,9.09,3.98,4.38,47.63,0.79,0.0,0.0,0.0,0.0,11.42,19.64,0.0,-2.1,102.5,90.68,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.4,6.6,0.36,22.0
