Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ADRIA ARQUE GASQUEZ',Jornada 01,1.0,15.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.85,0.0,-6.5,90.26,73.89,16.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,6.0,0.0,15.0,BASQUET SAFA CLAROR A,UB SANT ADRIA A,Ganado,14,False
b'ADRIA ARQUE GASQUEZ',Jornada 02,1.0,19.0,3.0,0.0,1.0,0.0,1.0,7.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.19,0.19,-4.2,0.0,1.0,7.0,12.5,0.38,0.0,0.0,0.0,0.0,8.0,25.12,0.0,-7.5,37.5,114.97,-77.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.0,8.0,0.12,15.0,U.E. CLARET A,BASQUET SAFA CLAROR A,Perdido,-34,False
b'ADRIA ARQUE GASQUEZ',Jornada 03,1.0,22.0,10.0,1.0,2.0,0.5,2.0,6.0,0.33,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.56,4.8,25.0,3.8,5.0,43.18,1.0,0.0,0.0,0.0,0.0,10.32,23.28,0.0,0.0,125.0,100.08,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,8.0,0.38,15.0,BASQUET SAFA CLAROR A,UE MATARO  - TC,Perdido,-1,False
b'ANIOL CREUS CASTANYER',Jornada 01,1.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,4.7,15.24,0.0,-5.5,90.26,72.83,17.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,BASQUET SAFA CLAROR A,UB SANT ADRIA A,Ganado,14,False
b'ARNAU JANER PUIG',Jornada 01,1.0,22.0,5.0,1.0,3.0,0.33,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,1.6,0.0,2.0,4.0,33.33,0.83,0.0,0.0,0.0,0.0,6.0,12.85,0.0,-1.0,83.33,74.27,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,6.0,0.33,14.0,BASQUET SAFA CLAROR A,UB SANT ADRIA A,Ganado,14,False
b'ARNAU JANER PUIG',Jornada 02,1.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-3.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.96,0.0,-4.5,66.17,113.78,-47.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,14.0,U.E. CLARET A,BASQUET SAFA CLAROR A,Perdido,-34,False
b'CARLES REYNALS RODRIGUEZ',Jornada 01,1.0,19.0,5.0,1.0,3.0,0.33,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,1.1,0.0,2.0,3.0,40.0,1.0,0.0,0.0,0.0,0.0,5.0,12.4,0.0,-1.5,100.0,73.36,26.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,5.0,0.4,13.0,BASQUET SAFA CLAROR A,UB SANT ADRIA A,Ganado,14,False
b'CARLES REYNALS RODRIGUEZ',Jornada 02,1.0,28.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.11,-4.8,25.0,0.8,8.0,9.09,0.0,0.0,0.0,0.0,0.0,10.88,18.92,0.0,-8.5,25.0,117.62,-92.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,8.0,0.0,13.0,U.E. CLARET A,BASQUET SAFA CLAROR A,Perdido,-34,False
b'CARLES REYNALS RODRIGUEZ',Jornada 03,1.0,23.0,15.0,1.0,3.0,0.33,3.0,5.0,0.6,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.69,0.77,9.4,50.0,5.6,4.0,58.33,1.38,0.0,0.0,0.0,0.0,12.63,24.47,0.0,3.0,166.67,99.5,67.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,4.0,8.0,0.5,13.0,BASQUET SAFA CLAROR A,UE MATARO  - TC,Perdido,-1,False
b'DANIEL VALDES MARTIN',Jornada 01,1.0,9.0,6.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.83,0.87,4.3,33.33,2.4,1.0,70.59,1.67,0.0,0.0,0.0,0.0,3.85,18.01,0.0,2.0,200.0,73.63,126.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,3.0,0.67,3.0,BASQUET SAFA CLAROR A,UB SANT ADRIA A,Ganado,14,False
