Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ADRI PAL MASSIP',Jornada 02,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.57,0.0,-2.5,83.21,93.09,-9.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,LA SALLE MANRESA S.GOL,NOU BASQUET OLESA A,Perdido,-9,False
b'ADRI PAL MASSIP',Jornada 03,1.0,20.0,15.0,5.0,8.0,0.62,0.0,0.0,0.0,5.0,11.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.62,0.58,8.6,62.5,8.09,4.31,65.25,1.25,0.0,0.0,0.0,0.0,17.84,36.5,0.0,1.0,125.0,80.89,44.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.62,2.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,LA SALLE MANRESA S.GOL,Perdido,-5,False
b'ADRI PAL MASSIP',Jornada 04,1.0,23.0,7.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.51,2.8,33.33,2.8,4.0,41.18,0.83,0.0,0.0,0.0,0.0,8.0,17.19,0.0,-1.0,116.67,77.35,39.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,6.0,0.33,2.0,BASQUET MOLINS,LA SALLE MANRESA S.GOL,Ganado,21,False
b'ADRI PAL MASSIP',Jornada 05,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.6,0.0,0.6,0.2,75.0,0.0,0.0,0.0,0.0,0.0,2.12,2.97,0.0,0.0,97.47,101.71,-4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,LA SALLE MANRESA S.GOL,CLUB NATACIO SABADELL A,Perdido,-3,False
b'ALBERT AGUILERA GAMISANS',Jornada 01,1.0,20.0,5.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.43,1.5,20.0,2.6,3.2,44.83,0.8,0.0,0.0,0.0,0.0,7.33,16.35,0.0,-1.5,100.0,86.23,13.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,22.0,PUJOL CB MOLLERUSSA,LA SALLE MANRESA S.GOL,Ganado,3,False
b'ALBERT AGUILERA GAMISANS',Jornada 02,1.0,19.0,8.0,3.0,5.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.43,0.51,2.7,28.57,3.8,4.0,48.72,0.86,0.0,0.0,0.0,0.0,9.4,24.54,0.0,-2.0,114.29,94.04,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,3.0,7.0,0.43,22.0,LA SALLE MANRESA S.GOL,NOU BASQUET OLESA A,Perdido,-9,False
b'BERNAT FARELL SILVA',Jornada 01,1.0,23.0,11.0,1.0,2.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.69,0.69,6.6,0.0,4.0,4.0,50.0,1.38,0.0,0.0,0.0,0.0,8.0,19.35,0.0,2.5,137.5,86.24,51.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,4.0,8.0,0.5,13.0,PUJOL CB MOLLERUSSA,LA SALLE MANRESA S.GOL,Ganado,3,False
b'BERNAT FARELL SILVA',Jornada 02,1.0,16.0,2.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.14,0.14,-4.5,0.0,1.0,6.0,14.29,0.29,0.0,0.0,0.0,0.0,7.0,25.89,0.0,-7.5,28.57,93.25,-64.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.0,7.0,0.14,13.0,LA SALLE MANRESA S.GOL,NOU BASQUET OLESA A,Perdido,-9,False
b'BERNAT FARELL SILVA',Jornada 03,1.0,29.0,13.0,5.0,12.0,0.42,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.41,0.41,3.4,0.0,6.0,10.0,37.5,0.81,0.0,0.0,0.0,0.0,16.0,31.37,0.0,-4.0,81.25,80.66,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.0,16.0,0.38,13.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,LA SALLE MANRESA S.GOL,Perdido,-5,False
b'BERNAT FARELL SILVA',Jornada 04,1.0,31.0,16.0,3.0,8.0,0.38,3.0,7.0,0.43,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.48,6.3,6.67,6.7,9.9,40.36,1.0,0.0,0.0,0.0,0.0,19.0,31.07,0.0,-1.5,106.67,77.72,28.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,6.0,15.0,0.4,13.0,BASQUET MOLINS,LA SALLE MANRESA S.GOL,Ganado,21,False
b'BERNAT FARELL SILVA',Jornada 05,1.0,29.0,4.0,2.0,6.0,0.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.25,-1.6,0.0,2.0,6.0,25.0,0.5,0.0,0.0,0.0,0.0,8.0,15.82,0.0,-5.0,50.0,100.67,-50.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,8.0,0.25,13.0,LA SALLE MANRESA S.GOL,CLUB NATACIO SABADELL A,Perdido,-3,False
b'GERARD TALARN CORTINA',Jornada 01,1.0,26.0,7.0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.51,2.4,16.67,3.6,3.2,52.94,1.0,0.0,0.0,0.0,0.0,8.33,14.72,0.0,-1.5,116.67,86.05,30.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,14.0,PUJOL CB MOLLERUSSA,LA SALLE MANRESA S.GOL,Ganado,3,False
b'GERARD TALARN CORTINA',Jornada 02,1.0,24.0,14.0,6.0,13.0,0.46,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.46,0.47,4.5,15.38,7.2,7.4,49.32,0.92,0.0,0.0,0.0,0.0,17.8,36.39,0.0,-3.5,100.0,94.05,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.46,14.0,LA SALLE MANRESA S.GOL,NOU BASQUET OLESA A,Perdido,-9,False
b'GERARD TALARN CORTINA',Jornada 03,1.0,19.0,6.0,2.0,6.0,0.33,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.33,0.44,1.4,33.33,2.8,4.0,41.18,0.67,0.0,0.0,0.0,0.0,7.79,20.59,0.0,-2.5,100.0,79.61,20.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.33,14.0,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,LA SALLE MANRESA S.GOL,Perdido,-5,False
b'GERARD TALARN CORTINA',Jornada 04,1.0,19.0,6.0,3.0,7.0,0.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.43,0.4,0.7,0.0,3.0,4.4,40.54,0.86,0.0,0.0,0.0,0.0,8.0,22.5,0.0,-3.0,85.71,76.88,8.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.43,14.0,BASQUET MOLINS,LA SALLE MANRESA S.GOL,Ganado,21,False
b'GERARD TALARN CORTINA',Jornada 05,1.0,21.0,11.0,5.0,10.0,0.5,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.47,4.4,10.0,5.7,5.9,49.14,1.0,0.0,0.0,0.0,0.0,14.24,32.11,0.0,-1.5,110.0,100.99,9.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.5,14.0,LA SALLE MANRESA S.GOL,CLUB NATACIO SABADELL A,Perdido,-3,False
