Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRI PAL MASSIP',Fase 01,5.0,9.6,2.6,0.6,1.4,0.43,0.0,0.4,0.0,1.4,2.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.33,0.43,0.22,15.56,1.44,1.48,49.32,0.67,0.0,0.0,0.0,0.0,5.11,17.38,0.0,-1.6,92.86,94.39,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.6,1.8,0.33,2.0
b'ADRI PAL MASSIP',Fase 02,5.0,13.0,4.4,1.6,3.0,0.53,0.0,0.0,0.0,1.2,3.2,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.53,0.5,1.5,8.0,2.38,1.9,55.61,1.07,0.0,0.0,0.0,0.0,6.4,18.69,0.0,-1.0,110.0,99.03,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.0,0.53,2.0
b'ADRI PAL MASSIP',Fase 03,3.0,17.67,6.67,2.0,3.33,0.6,0.0,0.33,0.0,2.67,4.33,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.55,0.6,3.57,24.24,3.48,1.92,64.39,1.09,0.0,0.0,0.0,0.0,7.23,17.44,0.0,0.0,133.33,93.69,39.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.0,3.67,0.55,2.0
b'ADRI PAL MASSIP',Fase 04,4.0,17.25,5.75,1.5,3.25,0.46,0.25,0.5,0.5,2.0,3.75,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.53,2.52,13.33,2.92,2.33,55.68,1.0,0.0,0.0,0.0,0.0,7.61,18.06,0.0,-0.62,115.0,88.74,26.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.75,3.75,0.47,2.0
b'ALBERT AGUILERA GAMISANS',Fase 01,5.0,23.2,6.0,2.0,4.2,0.48,0.0,0.8,0.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.4,0.47,1.78,8.0,3.07,3.13,49.46,0.8,0.0,0.0,0.0,0.0,8.54,14.99,0.0,-1.9,100.0,94.85,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.0,5.0,0.4,22.0
b'ALBERT AGUILERA GAMISANS',Fase 02,2.0,14.0,8.5,2.5,5.5,0.45,1.0,1.5,0.67,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.57,0.59,4.0,3.57,3.7,3.5,51.39,1.14,0.0,0.0,0.0,0.0,7.67,27.19,0.0,0.0,121.43,111.79,9.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,3.5,7.0,0.5,22.0
b'ALBERT AGUILERA GAMISANS',Fase 03,5.0,18.2,4.8,1.6,4.2,0.38,0.0,0.2,0.0,1.6,2.4,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.36,0.44,1.08,7.27,2.45,2.91,45.77,0.73,0.0,0.0,0.0,0.0,6.55,16.24,0.0,-2.0,92.31,92.9,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.6,4.4,0.36,22.0
b'ALBERT AGUILERA GAMISANS',Fase 04,1.0,19.0,8.0,3.0,5.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.43,0.51,2.7,28.57,3.8,4.0,48.72,0.86,0.0,0.0,0.0,0.0,9.4,24.54,0.0,-2.0,114.29,94.04,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,3.0,7.0,0.43,22.0
b'BERNAT FARELL SILVA',Fase 01,5.0,18.8,7.2,1.2,2.8,0.43,1.6,4.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.47,0.47,2.44,0.0,2.8,4.8,36.84,0.95,0.0,0.0,0.0,0.0,7.6,22.24,0.0,-1.1,94.74,95.08,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,2.8,7.6,0.37,13.0
b'BERNAT FARELL SILVA',Fase 02,4.0,22.25,8.5,0.75,3.0,0.25,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.54,0.57,4.1,3.57,3.15,4.25,42.57,1.07,0.0,0.0,0.0,0.0,8.06,18.46,0.0,0.25,117.24,104.44,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,2.75,7.0,0.39,13.0
