Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALEJANDRA VALSERA ORTEGA',Fase 01,5.0,25.6,12.8,1.6,4.8,0.33,1.6,5.2,0.31,4.8,6.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.4,0.51,5.64,9.6,5.5,6.9,44.39,0.8,0.0,0.0,0.0,0.0,16.52,27.09,0.0,-1.4,104.92,82.65,22.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,3.2,10.0,0.32,4.0
b'ALEJANDRA VALSERA ORTEGA',Fase 02,5.0,29.4,11.6,1.4,4.4,0.32,2.0,8.0,0.25,2.8,4.8,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.35,0.4,2.52,4.52,4.99,9.33,34.82,0.71,0.0,0.0,0.0,0.0,16.86,28.1,0.0,-4.4,82.86,81.74,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,3.4,12.4,0.27,4.0
b'ALEJANDRA VALSERA ORTEGA',Fase 03,2.0,28.5,12.5,0.5,5.0,0.1,2.5,7.5,0.33,4.0,7.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.34,0.4,3.35,16.0,5.29,10.02,34.55,0.68,0.0,0.0,0.0,0.0,18.07,33.55,0.0,-4.0,83.33,80.14,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,12.5,0.24,4.0
b'AMINATA MAMOUDOU HERNNDEZ',Fase 01,5.0,33.0,12.6,4.8,9.0,0.53,0.0,0.0,0.0,3.0,5.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.53,0.55,5.98,6.67,6.53,4.63,58.54,1.07,0.0,0.0,0.0,0.0,14.87,18.92,0.0,-0.7,114.55,82.62,31.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,9.0,0.53,14.0
b'AMINATA MAMOUDOU HERNNDEZ',Fase 02,5.0,32.6,7.8,2.4,6.4,0.38,0.0,0.0,0.0,3.0,3.6,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.38,0.49,2.84,9.38,3.8,4.04,48.47,0.75,0.0,0.0,0.0,0.0,9.75,13.94,0.0,-1.9,100.0,81.58,18.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,6.4,0.38,14.0
b'AMINATA MAMOUDOU HERNNDEZ',Fase 03,3.0,28.67,9.67,4.0,5.33,0.75,0.0,0.0,0.0,1.67,2.33,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.75,0.76,5.67,10.42,4.86,1.41,77.51,1.5,0.0,0.0,0.0,0.0,7.43,12.99,0.0,1.17,161.11,79.4,81.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.33,0.75,14.0
b'DELFIN JATTA',Fase 01,5.0,8.4,1.6,0.8,2.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.4,0.37,-0.12,0.0,0.8,1.36,37.04,0.8,0.0,0.0,0.0,0.0,2.43,14.21,0.0,-1.2,80.0,82.18,-2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,0.4,3.0
b'DELFIN JATTA',Fase 02,5.0,12.6,2.2,0.8,2.2,0.36,0.0,0.0,0.0,0.6,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.36,0.4,0.42,5.45,1.16,1.52,43.28,0.73,0.0,0.0,0.0,0.0,3.32,12.32,0.0,-1.0,91.67,82.02,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.2,0.36,3.0
b'DELFIN JATTA',Fase 03,2.0,10.5,1.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.26,-0.85,33.34,0.4,1.5,21.05,0.0,0.0,0.0,0.0,0.0,2.29,11.34,0.0,-2.0,66.67,78.86,-12.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0
b'EMMA MARTINEZ GUIU',Fase 03,1.0,13.0,3.0,0.0,2.0,0.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.21,0.21,-2.7,0.0,1.0,6.0,14.29,0.43,0.0,0.0,0.0,0.0,7.0,28.89,0.0,-5.5,42.86,78.87,-36.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.0,7.0,0.14,17.0
