Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ALBERT TOMAS GIL',Jornada 01,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,86.96,84.22,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,CLUB NATACIO TERRASSA A,PUJOL CB MOLLERUSSA,Ganado,2,False
b'ALBERT TOMAS GIL',Jornada 04,1.0,20.0,4.0,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.25,-2.0,0.0,2.0,6.0,25.0,0.5,0.0,0.0,0.0,0.0,8.0,24.01,0.0,-5.5,50.0,83.34,-33.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,2.0,8.0,0.25,18.0,BASQUET MOLINS,CLUB NATACIO TERRASSA A,Ganado,1,False
b'ALBERT TOMAS GIL',Jornada 05,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.51,0.0,-1.5,102.72,114.48,-11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,CLUB NATACIO SABADELL A,CLUB NATACIO TERRASSA A,Perdido,-7,False
b'ALEX MATENCIO UTIEL',Jornada 01,1.0,33.0,16.0,2.0,3.0,0.67,3.0,10.0,0.3,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.54,8.5,23.08,6.5,8.1,44.52,1.0,0.0,0.0,0.0,0.0,16.81,25.73,0.0,1.0,114.29,86.6,27.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,5.0,13.0,0.38,14.0,CLUB NATACIO TERRASSA A,PUJOL CB MOLLERUSSA,Ganado,2,False
b'ALEX MATENCIO UTIEL',Jornada 02,1.0,21.0,13.0,2.0,5.0,0.4,3.0,7.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.54,0.54,5.4,0.0,5.0,7.0,41.67,1.08,0.0,0.0,0.0,0.0,12.0,40.13,0.0,-0.5,108.33,124.7,-16.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,5.0,12.0,0.42,14.0,NOU BASQUET OLESA A,CLUB NATACIO TERRASSA A,Perdido,-30,False
b'ALEX MATENCIO UTIEL',Jornada 03,1.0,31.0,13.0,2.0,3.0,0.67,3.0,11.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.46,0.46,4.8,0.0,5.0,9.0,35.71,0.93,0.0,0.0,0.0,0.0,14.0,26.27,0.0,-1.5,92.86,89.73,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,5.0,14.0,0.36,14.0,CLUB NATACIO TERRASSA A,LA SALLE MANRESA S.GOL,Perdido,-3,False
b'ALEX MATENCIO UTIEL',Jornada 04,1.0,28.0,13.0,2.0,4.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.72,0.72,7.1,0.0,5.0,4.0,55.56,1.44,0.0,0.0,0.0,0.0,9.0,19.29,0.0,2.0,144.44,83.39,61.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,5.0,9.0,0.56,14.0,BASQUET MOLINS,CLUB NATACIO TERRASSA A,Ganado,1,False
b'ALEX MATENCIO UTIEL',Jornada 05,1.0,29.0,20.0,1.0,5.0,0.2,6.0,8.0,0.75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.77,0.72,11.7,0.0,7.0,6.8,50.72,1.54,0.0,0.0,0.0,0.0,15.0,28.06,0.0,4.5,153.85,114.57,39.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,7.0,13.0,0.54,14.0,CLUB NATACIO SABADELL A,CLUB NATACIO TERRASSA A,Perdido,-7,False
b'DAVID GEA SIMON',Jornada 04,1.0,7.0,3.0,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.26,-0.9,20.0,1.6,4.2,27.59,0.4,0.0,0.0,0.0,0.0,10.0,50.42,0.0,-3.5,60.0,83.39,-23.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,23.0,BASQUET MOLINS,CLUB NATACIO TERRASSA A,Ganado,1,False
b'DAVID GEA SIMON',Jornada 05,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.51,0.0,-1.5,102.72,114.48,-11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,CLUB NATACIO SABADELL A,CLUB NATACIO TERRASSA A,Perdido,-7,False
