Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ANNA ESPIGOL AYATS',Fase 01,5.0,18.4,2.4,1.0,3.4,0.29,0.0,0.0,0.0,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.29,0.32,-0.22,2.35,1.24,2.48,33.33,0.59,0.0,0.0,0.0,0.0,4.1,11.42,0.0,-2.0,66.67,79.34,-12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,0.29,0.0
b'ANNA ESPIGOL AYATS',Fase 02,4.0,17.0,2.0,0.75,2.25,0.33,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.37,0.12,5.55,1.05,1.6,39.62,0.67,0.0,0.0,0.0,0.0,3.08,8.93,0.0,-1.25,80.0,83.97,-3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.33,0.0
b'BERTA RIBAS BOSCH',Fase 01,5.0,20.2,9.2,2.8,7.6,0.37,0.4,1.0,0.4,2.4,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.4,0.44,3.34,5.58,4.54,5.66,44.55,0.79,0.0,0.0,0.0,0.0,12.11,28.72,0.0,-2.0,92.0,79.36,12.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,3.2,8.6,0.37,25.0
b'BERTA RIBAS BOSCH',Fase 02,4.0,18.5,9.25,3.0,6.25,0.48,0.25,0.25,1.0,2.5,3.25,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.52,0.58,5.5,9.62,4.48,3.32,57.45,1.04,0.0,0.0,0.0,0.0,9.2,24.2,0.0,0.88,123.33,84.11,39.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,3.25,6.5,0.5,25.0
b'JULIA JUVANTENY PALOMERAS',Fase 01,5.0,24.8,11.2,3.6,7.4,0.49,0.4,1.4,0.29,2.8,3.6,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.48,0.54,5.44,6.36,5.37,4.87,52.43,0.95,0.0,0.0,0.0,0.0,11.96,23.45,0.0,-0.5,112.0,79.28,32.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,4.0,8.8,0.45,14.0
b'JULIA JUVANTENY PALOMERAS',Fase 02,4.0,22.75,11.75,3.5,7.0,0.5,0.5,1.5,0.33,3.25,4.25,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.57,6.7,9.56,5.61,4.59,54.96,1.0,0.0,0.0,0.0,0.0,12.04,25.73,0.0,0.75,117.5,84.08,33.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,4.0,8.5,0.47,14.0
b'KENDALL MARTIN OGBEIFUN',Fase 01,5.0,23.0,12.6,5.0,11.0,0.45,0.0,0.4,0.0,2.6,4.2,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44,0.48,5.58,4.56,6.44,6.64,49.21,0.88,0.0,0.0,0.0,0.0,15.08,32.25,0.0,-1.4,96.92,79.4,17.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,5.0,11.4,0.44,10.0
b'KENDALL MARTIN OGBEIFUN',Fase 02,4.0,18.75,10.5,2.75,6.75,0.41,0.25,1.75,0.14,4.25,5.75,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.37,0.48,4.35,12.5,5.14,5.66,47.62,0.74,0.0,0.0,0.0,0.0,13.28,33.21,0.0,-1.88,100.0,83.75,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,3.0,8.5,0.35,10.0
b'MAR CARBO CACHINERO',Fase 01,2.0,11.0,6.0,2.5,3.0,0.83,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.83,0.77,3.5,16.66,3.1,0.7,81.58,1.67,0.0,0.0,0.0,0.0,5.0,20.09,0.0,0.75,171.43,88.85,82.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,0.83,5.0
b'MAR CARBO CACHINERO',Fase 02,4.0,19.75,9.0,2.75,6.25,0.44,0.75,2.0,0.38,1.25,1.5,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.47,0.51,3.42,3.79,4.08,4.77,46.14,0.94,0.0,0.0,0.0,0.0,9.5,25.47,0.0,-1.38,102.86,83.61,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,3.5,8.25,0.42,5.0
