Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ANNA ESPIGOL AYATS',Jornada 01,1.0,17.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,6.81,0.0,0.0,100.0,84.63,15.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,CEEB TORDERA UNIGIRONA,JOVENTUT LES CORTS,Ganado,5,False
b'ANNA ESPIGOL AYATS',Jornada 02,1.0,30.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,-1.9,33.33,0.6,3.2,15.79,0.0,0.0,0.0,0.0,0.0,4.5,6.98,0.0,-3.5,33.33,81.57,-48.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,EVENTS CB IGUALADA,CEEB TORDERA UNIGIRONA,Ganado,14,False
b'ANNA ESPIGOL AYATS',Jornada 03,1.0,23.0,5.0,2.0,7.0,0.29,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29,0.32,-0.3,14.29,2.6,5.2,33.33,0.57,0.0,0.0,0.0,0.0,8.89,19.32,0.0,-4.0,71.43,51.02,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.29,0.0,CEEB TORDERA UNIGIRONA,INTERSPORT OLARIA SAMA VILANOVA,Ganado,24,False
b'ANNA ESPIGOL AYATS',Jornada 04,1.0,10.0,4.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.67,1.9,0.0,2.0,1.0,66.67,1.33,0.0,0.0,0.0,0.0,3.0,16.74,0.0,0.0,133.33,86.98,46.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.67,0.0,CAMPING BIANYA ROSER A,CEEB TORDERA UNIGIRONA,Ganado,12,False
b'ANNA ESPIGOL AYATS',Jornada 05,1.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.34,0.0,-2.5,100.59,93.72,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,CEEB TORDERA UNIGIRONA,CB GRANOLLERS 1,Ganado,6,False
b'ANNA ESPIGOL AYATS',Jornada 06,1.0,21.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.6,0.0,1.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,5.68,0.0,-0.5,100.0,67.37,32.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,BASQUET SAFA CLAROR A,CEEB TORDERA UNIGIRONA,Ganado,36,False
b'ANNA ESPIGOL AYATS',Jornada 07,1.0,19.0,2.0,1.0,3.0,0.33,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.33,0.26,-1.3,0.0,1.0,2.8,26.32,0.67,0.0,0.0,0.0,0.0,4.52,12.15,0.0,-3.0,66.67,97.52,-30.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.33,0.0,CEEB TORDERA UNIGIRONA,TGN BASQUET A,Ganado,9,False
b'ANNA ESPIGOL AYATS',Jornada 08,1.0,13.0,4.0,1.0,3.0,0.33,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.52,1.9,66.67,1.8,2.0,47.37,0.67,0.0,0.0,0.0,0.0,4.56,14.77,0.0,-0.5,133.33,87.42,45.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.33,0.0,C.B. PRAT - MONTIBELLO A,CEEB TORDERA UNIGIRONA,Ganado,11,False
b'ANNA ESPIGOL AYATS',Jornada 09,1.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.91,0.0,-1.0,95.85,83.28,12.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CEEB TORDERA UNIGIRONA,GRAFIQUES VILANOVA CEJ L'HOSPITALET A,Ganado,10,False
b'BERTA RIBAS BOSCH',Jornada 01,1.0,13.0,3.0,1.0,7.0,0.14,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12,0.17,-3.0,12.5,1.6,7.2,18.18,0.25,0.0,0.0,0.0,0.0,10.0,39.53,0.0,-6.5,37.5,84.63,-47.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.0,8.0,0.12,25.0,CEEB TORDERA UNIGIRONA,JOVENTUT LES CORTS,Ganado,5,False
