Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT MARTIN PUJOL',Fase 01,5.0,19.0,6.8,1.6,2.4,0.67,1.2,3.2,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.61,0.61,2.88,0.0,2.8,2.8,50.0,1.21,0.0,0.0,0.0,0.0,5.6,16.95,0.0,-0.2,121.43,107.86,13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,2.8,5.6,0.5,10.0
b'ALEX OLIVE MARTINEZ',Fase 01,5.0,17.4,7.6,1.2,2.0,0.6,1.2,3.8,0.32,1.6,2.6,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.52,0.55,3.78,5.52,3.29,3.55,48.04,1.03,0.0,0.0,0.0,0.0,8.99,22.95,0.0,0.1,115.15,108.33,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,2.4,5.8,0.41,1.0
b'ANTONI AGUILERA RIUS',Fase 01,5.0,17.4,4.4,1.4,3.6,0.39,0.0,0.0,0.0,1.6,1.8,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.39,0.5,0.92,8.89,2.11,2.21,48.87,0.78,0.0,0.0,0.0,0.0,5.81,14.52,0.0,-1.9,104.76,107.59,-2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.6,0.39,5.0
b'BERNAT TRAVERIA SOLA',Fase 01,5.0,13.4,4.0,1.2,2.6,0.46,0.4,1.6,0.25,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.43,0.44,0.98,1.9,1.84,2.68,40.71,0.86,0.0,0.0,0.0,0.0,5.18,19.54,0.0,-1.3,90.91,108.06,-17.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.6,4.2,0.38,15.0
b'DANIEL PINES MORENTE',Fase 01,4.0,8.25,3.25,0.5,1.0,0.5,0.75,2.25,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.5,0.5,0.97,0.0,1.25,2.0,38.46,1.0,0.0,0.0,0.0,0.0,3.25,22.95,0.0,-0.62,100.0,105.38,-5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.25,3.25,0.38,23.0
b'IGNASI JUNI GARCIA',Fase 01,5.0,22.6,7.0,1.8,3.4,0.53,0.6,2.6,0.23,1.6,2.2,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.45,0.5,2.8,5.33,3.21,3.67,46.72,0.9,0.0,0.0,0.0,0.0,8.7,17.73,0.0,-1.0,102.94,108.18,-5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,2.4,6.0,0.4,7.0
b'JOS IGNACIO SILVA VUELTA',Fase 01,5.0,19.4,4.0,1.6,3.6,0.44,0.2,0.6,0.33,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.45,0.47,1.06,0.95,1.88,2.4,43.93,0.9,0.0,0.0,0.0,0.0,4.45,12.71,0.0,-1.2,95.24,108.12,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.8,4.2,0.43,11.0
b'MARAL BOU TANY',Fase 01,1.0,10.0,6.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,3.6,0.0,2.0,2.0,50.0,1.5,0.0,0.0,0.0,0.0,4.0,21.88,0.0,1.5,150.0,117.45,32.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,4.0,0.5,34.0
b'MARAL MUOZ SALAT',Fase 01,2.0,8.0,4.5,0.5,1.5,0.33,1.0,2.5,0.4,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.51,1.3,6.25,1.8,2.6,40.91,1.0,0.0,0.0,0.0,0.0,5.16,30.38,0.0,-1.0,112.5,105.6,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.5,4.0,0.38,34.0
b'MARC PALAU GASCON',Fase 01,5.0,26.4,10.6,3.8,7.2,0.53,0.2,2.2,0.09,2.4,4.6,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.44,0.46,3.94,5.11,5.42,5.82,48.21,0.87,0.0,0.0,0.0,0.0,15.05,24.89,0.0,-2.1,94.64,108.19,-13.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,4.0,9.4,0.43,6.0
