Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num,Local,Visitant,Victoria,Diferencia,Titular
b'ALBERT MARTIN PUJOL',Jornada 01,1.0,30.0,5.0,1.0,4.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.28,0.28,-1.3,0.0,2.0,7.0,22.22,0.56,0.0,0.0,0.0,0.0,9.0,17.88,0.0,-5.0,55.56,104.88,-49.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,2.0,9.0,0.22,10.0,VEDRUNA GRACIA A,LA SALLE MANRESA S.GOL,Ganado,7,False
b'ALBERT MARTIN PUJOL',Jornada 02,1.0,28.0,12.0,5.0,7.0,0.71,0.0,3.0,0.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.53,5.0,20.0,6.07,5.13,54.17,1.0,0.0,0.0,0.0,0.0,12.77,20.1,0.0,-1.5,109.09,79.87,29.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0,10.0,0.5,10.0,BASQUET MOLINS,VEDRUNA GRACIA A,Ganado,19,False
b'ALBERT MARTIN PUJOL',Jornada 03,1.0,30.0,6.0,1.0,1.0,1.0,0.0,3.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.48,2.8,100.0,2.92,3.08,48.67,0.5,0.0,0.0,0.0,0.0,8.33,10.85,0.0,-1.0,120.0,114.72,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,4.0,0.25,10.0,VEDRUNA GRACIA A,CLUB NATACIO SABADELL A,Ganado,2,False
b'ALEX OLIVE MARTINEZ',Jornada 01,1.0,24.0,17.0,3.0,5.0,0.6,3.0,6.0,0.5,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.68,0.69,10.5,18.18,7.07,5.13,57.92,1.36,0.0,0.0,0.0,0.0,14.13,30.59,0.0,3.5,141.67,104.82,36.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,6.0,11.0,0.55,1.0,VEDRUNA GRACIA A,LA SALLE MANRESA S.GOL,Ganado,7,False
b'ALEX OLIVE MARTINEZ',Jornada 02,1.0,22.0,9.0,0.0,0.0,0.0,1.0,6.0,0.17,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.43,3.6,100.0,4.36,5.64,43.6,0.5,0.0,0.0,0.0,0.0,15.23,23.51,0.0,-2.0,100.0,80.51,19.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.17,1.0,BASQUET MOLINS,VEDRUNA GRACIA A,Ganado,19,False
b'ALEX OLIVE MARTINEZ',Jornada 03,1.0,25.0,9.0,2.0,6.0,0.33,1.0,4.0,0.25,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.35,0.38,0.8,20.0,4.2,7.4,36.21,0.7,0.0,0.0,0.0,0.0,13.47,24.69,0.0,-5.0,81.82,114.06,-32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,10.0,0.3,1.0,VEDRUNA GRACIA A,CLUB NATACIO SABADELL A,Ganado,2,False
b'ANDREU MONZONIS CABELLO',Jornada 03,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.67,114.89,-1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,VEDRUNA GRACIA A,CLUB NATACIO SABADELL A,Ganado,2,False
b'ANTONI AGUILERA RIUS',Jornada 01,1.0,13.0,6.0,2.0,3.0,0.67,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.63,3.9,66.67,3.2,1.4,69.57,1.33,0.0,0.0,0.0,0.0,7.17,21.82,0.0,1.0,150.0,105.09,44.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.67,5.0,VEDRUNA GRACIA A,LA SALLE MANRESA S.GOL,Ganado,7,False
b'ANTONI AGUILERA RIUS',Jornada 02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,BASQUET MOLINS,VEDRUNA GRACIA A,Ganado,19,False
b'ANTONI AGUILERA RIUS',Jornada 03,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.73,16.45,0.0,-2.0,113.67,114.89,-1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,VEDRUNA GRACIA A,CLUB NATACIO SABADELL A,Ganado,2,False
