Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 01,5.0,22.8,13.0,3.6,6.0,0.6,0.4,2.0,0.2,4.6,7.4,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.53,0.58,6.6,11.5,6.54,4.42,59.64,1.05,0.0,0.0,0.0,0.0,14.56,28.21,0.0,-0.3,120.37,90.15,30.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,8.0,0.5,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 02,3.0,7.33,3.33,1.33,2.67,0.5,0.0,0.0,0.0,0.67,1.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.51,1.33,8.33,1.73,1.47,54.17,1.0,0.0,0.0,0.0,0.0,4.38,26.25,0.0,-0.5,111.11,98.47,12.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,2.67,0.5,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 03,5.0,20.2,6.2,1.6,3.8,0.42,0.2,0.8,0.25,2.4,5.6,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.41,0.44,0.9,10.43,3.31,3.53,48.37,0.83,0.0,0.0,0.0,0.0,9.64,21.73,0.0,-3.1,93.94,105.54,-11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.8,4.6,0.39,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 04,5.0,21.6,7.2,2.0,6.0,0.33,0.2,0.6,0.33,2.6,4.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.35,0.43,1.54,7.88,3.6,4.6,43.95,0.7,0.0,0.0,0.0,0.0,10.48,22.69,0.0,-3.1,90.0,92.77,-2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.2,6.6,0.33,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',Fase 05,2.0,17.5,9.5,3.0,7.0,0.43,0.5,0.5,1.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.54,4.85,13.34,4.57,4.13,52.49,1.0,0.0,0.0,0.0,0.0,11.0,29.68,0.0,0.0,111.76,96.98,14.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,3.5,7.5,0.47,14.0
b'ALBERT ROMAN PEREZ',Fase 01,5.0,14.6,3.0,0.4,0.6,0.67,0.6,2.4,0.25,0.4,0.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.43,0.46,0.74,2.67,1.21,2.03,37.45,0.87,0.0,0.0,0.0,0.0,3.53,12.77,0.0,-0.9,93.75,90.49,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,3.0,0.33,10.0
b'ALBERT ROMAN PEREZ',Fase 02,5.0,12.0,2.4,0.4,1.0,0.4,0.4,2.2,0.18,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.31,0.36,0.16,2.5,0.96,2.4,28.57,0.62,0.0,0.0,0.0,0.0,3.63,16.92,0.0,-1.4,75.0,95.29,-20.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.8,3.2,0.25,10.0
b'ALBERT ROMAN PEREZ',Fase 03,5.0,9.2,1.0,0.2,1.0,0.2,0.2,1.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23,0.23,-0.78,0.0,0.4,1.8,18.18,0.45,0.0,0.0,0.0,0.0,2.2,14.86,0.0,-1.7,45.45,106.2,-60.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.4,2.2,0.18,10.0
b'ALBERT ROMAN PEREZ',Fase 04,5.0,14.4,1.2,0.0,0.6,0.0,0.4,1.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.27,0.27,-0.74,0.0,0.4,1.8,18.18,0.55,0.0,0.0,0.0,0.0,2.2,8.96,0.0,-1.7,54.55,93.05,-38.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.4,2.2,0.18,10.0
b'ALBERT ROMAN PEREZ',Fase 05,2.0,10.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.22,0.0,-3.0,96.4,96.48,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,10.0
