Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALEX RIERA PERETO',Fase 01,5.0,21.8,14.4,4.2,8.4,0.5,1.2,3.2,0.38,2.4,4.2,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.52,0.54,7.08,4.14,6.77,6.51,50.99,1.03,0.0,0.0,0.0,0.0,15.4,30.58,0.0,-0.1,110.77,85.56,25.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,5.4,11.6,0.47,10.0
b'ALEX RIERA PERETO',Fase 02,5.0,19.4,10.6,2.8,6.4,0.44,0.8,2.8,0.29,2.6,3.4,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.43,0.5,4.56,5.65,4.88,5.68,46.26,0.87,0.0,0.0,0.0,0.0,12.97,29.77,0.0,-1.2,101.92,96.11,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.6,9.2,0.39,10.0
b'ALEX RIERA PERETO',Fase 03,2.0,21.0,8.5,2.0,6.0,0.33,0.5,3.5,0.14,3.0,6.5,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.34,1.05,15.79,4.34,7.75,35.92,0.58,0.0,0.0,0.0,0.0,15.62,30.4,0.0,-4.75,73.91,87.32,-13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2.5,9.5,0.26,4.0
b'ARNAU NAVAS CARNERERO',Fase 02,1.0,18.0,13.0,4.0,5.0,0.8,1.0,1.0,1.0,2.0,6.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.92,0.75,8.0,33.33,6.33,2.07,75.4,1.83,0.0,0.0,0.0,0.0,12.29,28.55,0.0,2.5,162.5,109.65,52.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,5.0,6.0,0.83,23.0
b'DAVY ALEXANDRE ADJEI COFFIE',Fase 01,2.0,18.0,9.0,3.0,5.0,0.6,0.5,1.5,0.33,1.5,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.58,0.61,4.65,11.54,4.25,3.05,58.22,1.15,0.0,0.0,0.0,0.0,8.5,20.07,0.0,0.25,128.57,85.13,43.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,3.5,6.5,0.54,18.0
b'DAVY ALEXANDRE ADJEI COFFIE',Fase 02,5.0,18.4,5.0,2.0,5.0,0.4,0.0,1.4,0.0,1.0,1.8,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.31,0.35,0.36,3.12,2.58,4.54,36.2,0.62,0.0,0.0,0.0,0.0,8.4,21.1,0.0,-3.1,73.53,96.14,-22.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,2.0,6.4,0.31,18.0
b'DAVY ALEXANDRE ADJEI COFFIE',Fase 03,2.0,16.5,4.5,1.5,4.5,0.33,0.0,1.0,0.0,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.27,0.33,0.05,13.63,2.4,4.3,35.82,0.55,0.0,0.0,0.0,0.0,8.32,21.35,0.0,-3.25,75.0,86.88,-11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.5,5.5,0.27,19.0
b'DAVY COFFIE',Fase 01,3.0,15.0,6.67,2.33,3.67,0.64,0.33,2.0,0.17,1.0,2.67,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.5,0.49,2.57,5.88,3.32,3.42,49.26,1.0,0.0,0.0,0.0,0.0,7.92,22.8,0.0,-1.0,105.26,85.29,19.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,2.67,5.67,0.47,17.0
b'ENRIC MANZANO ALBADALEJO',Fase 01,5.0,19.2,11.4,2.4,5.0,0.48,1.2,3.2,0.38,3.0,4.6,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.51,0.56,5.66,7.32,5.22,4.82,51.97,1.02,0.0,0.0,0.0,0.0,12.36,26.4,0.0,-0.1,114.0,85.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,3.6,8.2,0.44,11.0
b'ENRIC MANZANO ALBADALEJO',Fase 02,5.0,21.6,6.6,1.8,4.4,0.41,0.6,2.8,0.21,1.2,2.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.38,0.4,1.24,3.33,3.12,5.04,38.24,0.75,0.0,0.0,0.0,0.0,9.86,20.64,0.0,-2.8,82.5,96.11,-13.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2.4,7.2,0.33,11.0
b'ENRIC MANZANO ALBADALEJO',Fase 03,2.0,20.0,15.0,2.0,4.5,0.44,2.5,4.5,0.56,3.5,4.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.64,0.7,10.1,19.45,6.08,4.53,57.31,1.28,0.0,0.0,0.0,0.0,12.77,27.79,0.0,3.75,142.86,87.54,55.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,9.0,0.5,11.0
