Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Recibidos,Mates,Faltes Comeses,Faltes Rebudes,Val,% Asist,% Tir Efec,% Tir Verdader,GScore,TLr%,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ABDERRAHMANE RAHOU KADIRI',Fase 01,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,114.2,97.79,16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
b'ERIC MANZANARES IZQUIERDO',Fase 01,2.0,27.5,17.0,1.5,5.5,0.27,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.52,0.55,8.25,6.89,6.3,9.0,41.18,1.03,0.0,0.0,0.0,0.0,16.37,28.02,0.0,0.5,113.33,101.4,11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,5.5,14.5,0.38,66.0
b'FERRAN BELMONTE CABALLOL',Fase 01,2.0,30.5,11.0,4.5,9.5,0.47,0.0,0.0,0.0,2.0,3.5,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.47,0.5,4.35,10.53,5.64,5.25,51.77,0.95,0.0,0.0,0.0,0.0,12.78,18.13,0.0,-1.75,104.76,101.17,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.5,0.47,10.0
b'GUILLEM ANDREU MALE',Fase 01,2.0,22.5,4.0,2.0,4.5,0.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.31,0.31,-0.95,0.0,2.0,4.5,30.77,0.62,0.0,0.0,0.0,0.0,6.5,14.47,0.0,-4.0,61.54,100.85,-39.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2.0,6.5,0.31,2.0
b'JOAN PONS MONTERO',Fase 01,2.0,31.5,11.5,3.0,8.5,0.35,0.5,2.5,0.2,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.34,0.42,2.6,18.18,5.63,7.76,42.04,0.68,0.0,0.0,0.0,0.0,16.61,21.69,0.0,-4.75,88.46,100.76,-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,3.5,11.0,0.32,23.0
b'JUAN AYALA MONCAYO',Fase 01,2.0,19.5,4.5,1.0,1.5,0.67,0.5,3.5,0.14,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.35,0.38,-0.0,10.0,2.1,3.7,36.21,0.7,0.0,0.0,0.0,0.0,6.87,15.11,0.0,-3.0,81.82,100.67,-18.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.5,5.0,0.3,13.0
b'OSCAR ZAFRA QUEROL',Fase 01,2.0,14.5,4.5,2.0,4.0,0.5,0.0,0.0,0.0,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.46,1.1,6.25,2.35,2.45,48.96,1.0,0.0,0.0,0.0,0.0,5.87,16.86,0.0,-1.5,112.5,100.81,11.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,7.0
b'ROGER SOLERNOU TESTAGORDA',Fase 01,2.0,21.0,6.0,0.0,1.0,0.0,2.0,6.5,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.4,0.4,0.55,0.0,2.0,5.5,26.67,0.8,0.0,0.0,0.0,0.0,7.5,17.89,0.0,-2.75,80.0,100.98,-20.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,2.0,7.5,0.27,8.0
b'SERGIO FERNANDEZ BAREA',Fase 01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.47,102.38,-10.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
b'XAVIER ROQUETA CLARET',Fase 01,2.0,31.0,17.5,2.0,6.5,0.31,2.0,5.0,0.4,7.5,8.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.43,0.58,9.85,32.61,7.19,7.51,48.89,0.87,0.0,0.0,0.0,0.0,18.99,24.27,0.0,0.75,120.69,101.33,19.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,4.0,11.5,0.35,18.0
