Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
0,[b'MARC ABAD BACH'],1 Mitjana,16.0,19.94,3.81,0.94,3.38,0.28,0.25,1.62,0.15,1.19,2.38,0.5,2.25,0.26,0.32,1.48,0.33,0.53,31.93,17.11,-0.59
0,[b'MARC ABAD BACH'],2 Derrota,10.0,20.9,3.7,0.7,3.5,0.2,0.3,2.0,0.15,1.4,2.6,0.54,2.1,0.21,0.28,2.54,0.36,0.42,27.81,18.01,-1.07
0,[b'MARC ABAD BACH'],2 Victoria,6.0,18.33,4.0,1.33,3.17,0.42,0.17,1.0,0.17,0.83,2.0,0.42,2.5,0.38,0.4,3.33,0.24,0.76,40.83,15.44,0.22
0,[b'MARC ABAD BACH'],3 Local,8.0,15.62,2.62,0.88,2.75,0.32,0.12,1.38,0.09,0.5,1.62,0.31,2.5,0.26,0.27,1.51,0.33,0.52,28.03,17.2,-1.31
0,[b'MARC ABAD BACH'],3 Visitant,8.0,24.25,5.0,1.0,4.0,0.25,0.38,1.88,0.2,1.88,3.12,0.6,2.0,0.27,0.34,3.99,0.32,0.53,34.04,17.15,0.14
0,[b'MARC ABAD BACH'],4 Banqueta,16.0,19.94,3.81,0.94,3.38,0.28,0.25,1.62,0.15,1.19,2.38,0.5,2.25,0.26,0.32,1.48,0.33,0.53,31.93,17.11,-0.59
0,[b'MARC ABAD BACH'],5 Dificil,11.0,21.91,3.45,0.91,3.64,0.25,0.18,1.82,0.1,1.09,2.64,0.41,2.09,0.22,0.26,1.82,0.33,0.43,27.39,16.49,-1.38
0,[b'MARC ABAD BACH'],5 Facil,5.0,15.6,4.6,1.0,2.8,0.36,0.4,1.2,0.33,1.4,1.8,0.78,2.6,0.4,0.48,7.0,0.3,0.8,44.16,18.7,1.16
0,[b'MARC ABAD BACH'],6 Equips Cua,3.0,17.0,2.33,0.67,2.33,0.29,0.0,1.0,0.0,1.0,3.33,0.3,2.33,0.2,0.24,10.0,0.3,0.4,28.86,15.41,-1.6
0,[b'MARC ABAD BACH'],6 Equips Top,3.0,17.0,2.33,0.67,2.33,0.29,0.0,1.0,0.0,1.0,3.33,0.3,2.33,0.2,0.24,10.0,0.3,0.4,28.86,15.41,-1.6
