Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
1,[b'NARCIS ARAGALL VARGAS'],1 Mitjana,3.0,22.0,16.67,3.0,7.67,0.39,2.33,6.67,0.35,3.67,5.0,0.73,2.0,0.45,0.5,8.53,0.47,0.91,44.03,40.38,7.43
1,[b'NARCIS ARAGALL VARGAS'],2 Derrota,1.0,18.0,2.0,1.0,3.0,0.33,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.25,0.2,0.0,0.25,0.5,20.83,18.27,-2.4
1,[b'NARCIS ARAGALL VARGAS'],2 Victoria,2.0,24.0,24.0,4.0,10.0,0.4,3.5,9.5,0.37,5.5,6.5,0.85,1.5,0.47,0.54,14.11,0.49,0.95,45.42,45.45,12.35
1,[b'NARCIS ARAGALL VARGAS'],3 Local,2.0,24.0,24.0,4.0,10.0,0.4,3.5,9.5,0.37,5.5,6.5,0.85,1.5,0.47,0.54,14.11,0.49,0.95,45.42,45.45,12.35
1,[b'NARCIS ARAGALL VARGAS'],3 Visitant,1.0,18.0,2.0,1.0,3.0,0.33,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.25,0.2,0.0,0.25,0.5,20.83,18.27,-2.4
1,[b'NARCIS ARAGALL VARGAS'],4 Banqueta,3.0,22.0,16.67,3.0,7.67,0.39,2.33,6.67,0.35,3.67,5.0,0.73,2.0,0.45,0.5,8.53,0.47,0.91,44.03,40.38,7.43
1,[b'NARCIS ARAGALL VARGAS'],5 Dificil,1.0,22.0,18.0,2.0,8.0,0.25,3.0,9.0,0.33,5.0,6.0,0.83,1.0,0.38,0.46,29.41,0.53,0.76,37.8,45.59,7.3
1,[b'NARCIS ARAGALL VARGAS'],5 Facil,2.0,22.0,16.0,3.5,7.5,0.47,2.0,5.5,0.36,3.0,4.5,0.67,2.5,0.5,0.53,11.54,0.42,1.0,47.97,37.56,7.5
1,[b'NARCIS ARAGALL VARGAS'],6 Equips Cua,1.0,22.0,18.0,2.0,8.0,0.25,3.0,9.0,0.33,5.0,6.0,0.83,1.0,0.38,0.46,29.41,0.53,0.76,37.8,45.59,7.3
1,[b'NARCIS ARAGALL VARGAS'],6 Equips Top,1.0,22.0,18.0,2.0,8.0,0.25,3.0,9.0,0.33,5.0,6.0,0.83,1.0,0.38,0.46,29.41,0.53,0.76,37.8,45.59,7.3
10,[b'SERGI PIERO GARCIA'],1 Mitjana,3.0,27.33,7.0,0.67,2.0,0.33,1.0,6.0,0.17,2.67,4.0,0.67,1.67,0.27,0.36,11.11,0.75,0.54,32.18,19.18,0.87
10,[b'SERGI PIERO GARCIA'],2 Derrota,1.0,30.0,3.0,0.0,2.0,0.0,1.0,7.0,0.14,0.0,0.0,0.0,3.0,0.17,0.17,0.0,0.78,0.33,11.11,20.22,-4.1
10,[b'SERGI PIERO GARCIA'],2 Victoria,2.0,26.0,9.0,1.0,2.0,0.5,1.0,5.5,0.18,4.0,6.0,0.67,1.0,0.33,0.44,26.66,0.73,0.67,41.75,19.02,3.35
10,[b'SERGI PIERO GARCIA'],3 Local,2.0,26.0,9.0,1.0,2.0,0.5,1.0,5.5,0.18,4.0,6.0,0.67,1.0,0.33,0.44,26.66,0.73,0.67,41.75,19.02,3.35
10,[b'SERGI PIERO GARCIA'],3 Visitant,1.0,30.0,3.0,0.0,2.0,0.0,1.0,7.0,0.14,0.0,0.0,0.0,3.0,0.17,0.17,0.0,0.78,0.33,11.11,20.22,-4.1
10,[b'SERGI PIERO GARCIA'],4 Banqueta,3.0,27.33,7.0,0.67,2.0,0.33,1.0,6.0,0.17,2.67,4.0,0.67,1.67,0.27,0.36,11.11,0.75,0.54,32.18,19.18,0.87
10,[b'SERGI PIERO GARCIA'],5 Dificil,1.0,31.0,11.0,2.0,4.0,0.5,0.0,6.0,0.0,7.0,10.0,0.7,2.0,0.2,0.38,70.0,0.6,0.4,40.29,23.72,2.8
10,[b'SERGI PIERO GARCIA'],5 Facil,2.0,25.5,5.0,0.0,1.0,0.0,1.5,6.0,0.25,0.5,1.0,0.5,1.5,0.32,0.34,3.57,0.86,0.64,24.32,16.09,-0.1
10,[b'SERGI PIERO GARCIA'],6 Equips Cua,1.0,31.0,11.0,2.0,4.0,0.5,0.0,6.0,0.0,7.0,10.0,0.7,2.0,0.2,0.38,70.0,0.6,0.4,40.29,23.72,2.8
10,[b'SERGI PIERO GARCIA'],6 Equips Top,1.0,31.0,11.0,2.0,4.0,0.5,0.0,6.0,0.0,7.0,10.0,0.7,2.0,0.2,0.38,70.0,0.6,0.4,40.29,23.72,2.8
14,[b'LLUS MARTN LLAVERA'],1 Mitjana,3.0,24.0,10.0,2.0,4.0,0.5,1.67,4.33,0.38,1.0,1.67,0.6,2.67,0.54,0.55,4.0,0.52,1.08,46.96,20.3,4.3
14,[b'LLUS MARTN LLAVERA'],2 Derrota,1.0,21.0,2.0,1.0,3.0,0.33,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.2,0.2,0.0,0.4,0.4,20.0,16.04,-2.7
14,[b'LLUS MARTN LLAVERA'],2 Victoria,2.0,25.5,14.0,2.5,4.5,0.56,2.5,5.5,0.45,1.5,2.5,0.6,2.0,0.62,0.63,7.5,0.55,1.25,53.09,21.23,7.8
14,[b'LLUS MARTN LLAVERA'],3 Local,2.0,25.5,14.0,2.5,4.5,0.56,2.5,5.5,0.45,1.5,2.5,0.6,2.0,0.62,0.63,7.5,0.55,1.25,53.09,21.23,7.8
14,[b'LLUS MARTN LLAVERA'],3 Visitant,1.0,21.0,2.0,1.0,3.0,0.33,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.2,0.2,0.0,0.4,0.4,20.0,16.04,-2.7
14,[b'LLUS MARTN LLAVERA'],4 Banqueta,3.0,24.0,10.0,2.0,4.0,0.5,1.67,4.33,0.38,1.0,1.67,0.6,2.67,0.54,0.55,4.0,0.52,1.08,46.96,20.3,4.3
14,[b'LLUS MARTN LLAVERA'],5 Dificil,1.0,30.0,18.0,3.0,5.0,0.6,4.0,8.0,0.5,0.0,2.0,0.0,2.0,0.69,0.65,0.0,0.62,1.38,50.72,23.63,10.1
14,[b'LLUS MARTN LLAVERA'],5 Facil,2.0,21.0,6.0,1.5,3.5,0.43,0.5,2.5,0.2,1.5,1.5,1.0,3.0,0.38,0.45,12.5,0.42,0.75,39.39,17.49,1.4
14,[b'LLUS MARTN LLAVERA'],6 Equips Cua,1.0,30.0,18.0,3.0,5.0,0.6,4.0,8.0,0.5,0.0,2.0,0.0,2.0,0.69,0.65,0.0,0.62,1.38,50.72,23.63,10.1
14,[b'LLUS MARTN LLAVERA'],6 Equips Top,1.0,30.0,18.0,3.0,5.0,0.6,4.0,8.0,0.5,0.0,2.0,0.0,2.0,0.69,0.65,0.0,0.62,1.38,50.72,23.63,10.1
17,[b'IGNACIO SAINZ MORALES'],1 Mitjana,3.0,22.67,8.33,0.67,1.67,0.4,1.67,3.67,0.45,2.0,3.33,0.6,1.67,0.59,0.61,12.5,0.69,1.19,51.8,16.12,4.33
17,[b'IGNACIO SAINZ MORALES'],2 Derrota,1.0,29.0,5.0,0.0,1.0,0.0,1.0,4.0,0.25,2.0,6.0,0.33,1.0,0.3,0.33,40.0,0.8,0.6,31.53,17.75,-0.1
17,[b'IGNACIO SAINZ MORALES'],2 Victoria,2.0,19.5,10.0,1.0,2.0,0.5,2.0,3.5,0.57,2.0,2.0,1.0,2.0,0.73,0.78,18.18,0.64,1.45,60.32,15.96,6.55
17,[b'IGNACIO SAINZ MORALES'],3 Local,2.0,19.5,10.0,1.0,2.0,0.5,2.0,3.5,0.57,2.0,2.0,1.0,2.0,0.73,0.78,18.18,0.64,1.45,60.32,15.96,6.55
17,[b'IGNACIO SAINZ MORALES'],3 Visitant,1.0,29.0,5.0,0.0,1.0,0.0,1.0,4.0,0.25,2.0,6.0,0.33,1.0,0.3,0.33,40.0,0.8,0.6,31.53,17.75,-0.1
17,[b'IGNACIO SAINZ MORALES'],4 Banqueta,3.0,22.67,8.33,0.67,1.67,0.4,1.67,3.67,0.45,2.0,3.33,0.6,1.67,0.59,0.61,12.5,0.69,1.19,51.8,16.12,4.33
17,[b'IGNACIO SAINZ MORALES'],5 Dificil,1.0,14.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.5,0.69,100.0,0.5,1.0,64.29,10.51,1.4
17,[b'IGNACIO SAINZ MORALES'],5 Facil,2.0,27.0,10.5,0.5,2.0,0.25,2.5,5.0,0.5,2.0,4.0,0.5,0.5,0.61,0.6,14.29,0.71,1.21,48.84,17.9,5.8
17,[b'IGNACIO SAINZ MORALES'],6 Equips Cua,1.0,14.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.5,0.69,100.0,0.5,1.0,64.29,10.51,1.4
17,[b'IGNACIO SAINZ MORALES'],6 Equips Top,1.0,14.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.5,0.69,100.0,0.5,1.0,64.29,10.51,1.4
20,[b'SEAN GALINDO HERASME'],1 Mitjana,1.0,18.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,5.19,3.4
20,[b'SEAN GALINDO HERASME'],2 Victoria,1.0,18.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,5.19,3.4
20,[b'SEAN GALINDO HERASME'],3 Local,1.0,18.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,5.19,3.4
20,[b'SEAN GALINDO HERASME'],4 Banqueta,1.0,18.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,5.19,3.4
20,[b'SEAN GALINDO HERASME'],5 Facil,1.0,18.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,5.19,3.4
24,[b'SOULEYMANE SOW'],1 Mitjana,3.0,7.67,1.67,0.67,1.67,0.4,0.0,0.0,0.0,0.33,0.67,0.5,1.0,0.4,0.43,6.67,0.0,0.8,44.83,13.73,0.23
24,[b'SOULEYMANE SOW'],2 Derrota,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,0.57,0.0,0.0,0.0,75.0,5.93,0.2
24,[b'SOULEYMANE SOW'],2 Victoria,2.0,6.5,2.0,1.0,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.8,40.0,18.76,0.25
24,[b'SOULEYMANE SOW'],3 Local,2.0,6.5,2.0,1.0,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.8,40.0,18.76,0.25
24,[b'SOULEYMANE SOW'],3 Visitant,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,0.57,0.0,0.0,0.0,75.0,5.93,0.2
24,[b'SOULEYMANE SOW'],4 Banqueta,3.0,7.67,1.67,0.67,1.67,0.4,0.0,0.0,0.0,0.33,0.67,0.5,1.0,0.4,0.43,6.67,0.0,0.8,44.83,13.73,0.23
24,[b'SOULEYMANE SOW'],5 Dificil,1.0,4.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,50.0,25.54,0.6
24,[b'SOULEYMANE SOW'],5 Facil,2.0,9.5,1.5,0.5,1.5,0.33,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.33,0.39,16.66,0.0,0.67,42.11,11.26,0.05
24,[b'SOULEYMANE SOW'],6 Equips Cua,1.0,4.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,50.0,25.54,0.6
24,[b'SOULEYMANE SOW'],6 Equips Top,1.0,4.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,50.0,25.54,0.6
33,[b'JORDI BERTRAN DIAZ'],1 Mitjana,3.0,12.33,1.0,0.0,0.0,0.0,0.33,0.67,0.5,0.0,0.0,0.0,2.33,0.75,0.75,0.0,1.0,1.5,50.0,2.9,-0.27
33,[b'JORDI BERTRAN DIAZ'],2 Derrota,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
33,[b'JORDI BERTRAN DIAZ'],2 Victoria,2.0,10.0,1.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,3.0,0.75,0.75,0.0,1.0,1.5,50.0,4.88,-0.2
33,[b'JORDI BERTRAN DIAZ'],3 Local,2.0,10.0,1.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,3.0,0.75,0.75,0.0,1.0,1.5,50.0,4.88,-0.2
33,[b'JORDI BERTRAN DIAZ'],3 Visitant,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
