Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
11,[b'MARINA ROBLES SANABRIA'],1 Mitjana,3.0,6.0,1.0,0.0,1.0,0.0,0.33,1.33,0.25,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.57,0.43,14.29,25.63,-0.5
11,[b'MARINA ROBLES SANABRIA'],2 Victoria,3.0,6.0,1.0,0.0,1.0,0.0,0.33,1.33,0.25,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.57,0.43,14.29,25.63,-0.5
11,[b'MARINA ROBLES SANABRIA'],3 Local,1.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.67,1.0,33.33,43.4,1.3
11,[b'MARINA ROBLES SANABRIA'],3 Visitant,2.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,20.15,-1.4
11,[b'MARINA ROBLES SANABRIA'],4 Banqueta,3.0,6.0,1.0,0.0,1.0,0.0,0.33,1.33,0.25,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.57,0.43,14.29,25.63,-0.5
11,[b'MARINA ROBLES SANABRIA'],5 Dificil,2.0,7.0,1.5,0.0,1.5,0.0,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.57,0.43,14.29,31.63,-0.75
11,[b'MARINA ROBLES SANABRIA'],5 Facil,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,[b'SANDRA MORENO MENGIBAR'],1 Mitjana,12.0,26.75,7.83,3.0,6.5,0.46,0.0,0.92,0.0,1.83,3.67,0.5,1.83,0.4,0.43,2.06,0.12,0.81,46.15,19.41,2.38
12,[b'SANDRA MORENO MENGIBAR'],2 Derrota,3.0,26.67,10.67,4.0,6.67,0.6,0.0,1.0,0.0,2.67,5.33,0.5,1.67,0.52,0.53,11.59,0.13,1.04,57.14,22.42,5.17
12,[b'SANDRA MORENO MENGIBAR'],2 Victoria,9.0,26.78,6.89,2.67,6.44,0.41,0.0,0.89,0.0,1.56,3.11,0.5,1.89,0.36,0.4,2.36,0.12,0.73,41.97,18.46,1.44
12,[b'SANDRA MORENO MENGIBAR'],3 Local,6.0,27.5,8.67,3.67,7.83,0.47,0.0,0.17,0.0,1.33,3.17,0.42,2.0,0.46,0.46,2.78,0.02,0.92,48.66,19.84,3.0
12,[b'SANDRA MORENO MENGIBAR'],3 Visitant,6.0,26.0,7.0,2.33,5.17,0.45,0.0,1.67,0.0,2.33,4.17,0.56,1.67,0.34,0.4,5.69,0.24,0.68,43.26,18.97,1.75
12,[b'SANDRA MORENO MENGIBAR'],4 Banqueta,12.0,26.75,7.83,3.0,6.5,0.46,0.0,0.92,0.0,1.83,3.67,0.5,1.83,0.4,0.43,2.06,0.12,0.81,46.15,19.41,2.38
12,[b'SANDRA MORENO MENGIBAR'],5 Dificil,8.0,27.62,7.62,3.12,7.38,0.42,0.0,0.38,0.0,1.38,2.88,0.48,2.25,0.4,0.42,2.22,0.05,0.81,44.52,18.94,1.95
12,[b'SANDRA MORENO MENGIBAR'],5 Facil,4.0,25.0,8.25,2.75,4.75,0.58,0.0,2.0,0.0,2.75,5.25,0.52,1.0,0.41,0.46,10.19,0.3,0.81,49.42,20.45,3.23
13,[b'JLIA CLAVERO SEUBAS'],1 Mitjana,13.0,18.08,2.85,0.92,3.23,0.29,0.08,1.38,0.06,0.77,1.77,0.43,2.62,0.23,0.26,1.28,0.3,0.45,27.83,17.35,-1.43
13,[b'JLIA CLAVERO SEUBAS'],2 Derrota,3.0,16.67,0.67,0.33,1.0,0.33,0.0,1.33,0.0,0.0,0.0,0.0,3.33,0.14,0.14,0.0,0.57,0.29,14.29,8.36,-2.17
13,[b'JLIA CLAVERO SEUBAS'],2 Victoria,10.0,18.5,3.5,1.1,3.9,0.28,0.1,1.4,0.07,1.0,2.3,0.43,2.4,0.24,0.28,1.89,0.26,0.47,29.36,19.68,-1.21
13,[b'JLIA CLAVERO SEUBAS'],3 Local,6.0,17.33,3.17,1.17,2.83,0.41,0.17,1.67,0.1,0.33,1.83,0.18,2.5,0.31,0.3,1.24,0.37,0.63,30.11,17.78,-1.05
13,[b'JLIA CLAVERO SEUBAS'],3 Visitant,7.0,18.71,2.57,0.71,3.57,0.2,0.0,1.14,0.0,1.14,1.71,0.67,2.71,0.15,0.24,3.46,0.24,0.3,24.51,17.0,-1.76
13,[b'JLIA CLAVERO SEUBAS'],4 Banqueta,13.0,18.08,2.85,0.92,3.23,0.29,0.08,1.38,0.06,0.77,1.77,0.43,2.62,0.23,0.26,1.28,0.3,0.45,27.83,17.35,-1.43
13,[b'JLIA CLAVERO SEUBAS'],5 Dificil,9.0,18.0,3.44,1.11,3.33,0.33,0.11,1.33,0.08,0.89,2.33,0.38,2.56,0.27,0.3,2.12,0.29,0.55,32.11,18.64,-0.93
13,[b'JLIA CLAVERO SEUBAS'],5 Facil,4.0,18.25,1.5,0.5,3.0,0.17,0.0,1.5,0.0,0.5,0.5,1.0,2.75,0.11,0.16,2.78,0.33,0.22,14.89,14.59,-2.55
15,[b'BET TOST SANCHEZ'],1 Mitjana,10.0,12.0,3.2,0.3,0.9,0.33,0.6,2.3,0.26,0.8,1.3,0.62,1.4,0.38,0.42,2.5,0.72,0.75,36.1,18.26,0.56
15,[b'BET TOST SANCHEZ'],2 Derrota,3.0,11.0,1.67,0.0,1.0,0.0,0.33,1.67,0.2,0.67,1.67,0.4,1.0,0.19,0.25,8.33,0.62,0.38,22.8,18.45,-0.87
15,[b'BET TOST SANCHEZ'],2 Victoria,7.0,12.43,3.86,0.43,0.86,0.5,0.71,2.57,0.28,0.86,1.14,0.75,1.57,0.44,0.49,3.57,0.75,0.88,40.44,18.17,1.17
15,[b'BET TOST SANCHEZ'],3 Local,5.0,10.6,2.2,0.2,0.8,0.25,0.2,1.4,0.14,1.2,2.2,0.55,1.4,0.23,0.35,10.91,0.64,0.45,35.66,17.37,-0.14
