Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
0,[b'JANIS TOMASCHEK'],1 Mitjana,23.0,23.48,9.0,1.22,2.83,0.43,1.91,6.83,0.28,0.83,1.52,0.54,2.48,0.42,0.44,0.37,0.71,0.85,35.2,22.81,2.23
0,[b'JANIS TOMASCHEK'],2 Derrota,3.0,27.0,6.33,0.67,2.0,0.33,1.67,10.0,0.17,0.0,0.0,0.0,1.67,0.26,0.26,0.0,0.83,0.53,19.44,24.29,-1.8
0,[b'JANIS TOMASCHEK'],2 Victoria,20.0,22.95,9.4,1.3,2.95,0.44,1.95,6.35,0.31,0.95,1.75,0.54,2.6,0.45,0.47,0.51,0.68,0.91,38.04,22.59,2.83
0,[b'JANIS TOMASCHEK'],3 Local,11.0,22.55,9.64,1.18,3.45,0.34,2.0,6.27,0.32,1.27,1.82,0.7,2.55,0.43,0.46,1.19,0.64,0.86,36.77,23.7,2.86
0,[b'JANIS TOMASCHEK'],3 Visitant,12.0,24.33,8.42,1.25,2.25,0.56,1.83,7.33,0.25,0.42,1.25,0.33,2.42,0.42,0.42,0.36,0.77,0.83,33.33,22.05,1.64
0,[b'JANIS TOMASCHEK'],4 Banqueta,23.0,23.48,9.0,1.22,2.83,0.43,1.91,6.83,0.28,0.83,1.52,0.54,2.48,0.42,0.44,0.37,0.71,0.85,35.2,22.81,2.23
0,[b'JANIS TOMASCHEK'],5 Dificil,15.0,23.4,9.33,1.27,2.6,0.49,2.07,7.0,0.3,0.6,1.33,0.45,2.73,0.45,0.46,0.42,0.73,0.91,36.57,22.56,2.56
0,[b'JANIS TOMASCHEK'],5 Facil,8.0,23.62,8.38,1.12,3.25,0.35,1.62,6.5,0.25,1.25,1.88,0.67,2.0,0.37,0.4,1.6,0.67,0.73,32.54,23.27,1.6
10,[b'EDGAR SOLSONA LERI'],2 Derrota,2.0,22.0,4.5,1.5,3.0,0.5,0.0,1.0,0.0,1.5,2.5,0.6,3.0,0.38,0.44,18.75,0.25,0.75,46.8,13.3,0.7
11,[b'MARIO MARIA VENTURA'],1 Mitjana,20.0,13.15,2.65,0.8,2.6,0.31,0.15,1.6,0.09,0.6,0.7,0.86,1.55,0.24,0.29,0.71,0.38,0.49,27.33,17.71,-0.57
11,[b'MARIO MARIA VENTURA'],2 Derrota,2.0,13.5,1.5,0.5,3.0,0.17,0.0,1.5,0.0,0.5,1.0,0.5,2.5,0.11,0.15,5.55,0.33,0.22,16.33,20.09,-2.65
