Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
11,[b'AITOR GONZALEZ TORRES'],1 Mitjana,3.0,23.0,5.33,0.33,2.33,0.14,1.33,4.67,0.29,0.67,0.67,1.0,2.33,0.33,0.37,3.17,0.67,0.67,26.61,17.94,0.17
11,[b'AITOR GONZALEZ TORRES'],2 Victoria,3.0,23.0,5.33,0.33,2.33,0.14,1.33,4.67,0.29,0.67,0.67,1.0,2.33,0.33,0.37,3.17,0.67,0.67,26.61,17.94,0.17
11,[b'AITOR GONZALEZ TORRES'],3 Local,2.0,22.0,5.0,0.5,2.5,0.2,1.0,4.5,0.22,1.0,1.0,1.0,1.5,0.29,0.34,7.14,0.64,0.57,25.68,19.66,0.1
11,[b'AITOR GONZALEZ TORRES'],3 Visitant,1.0,25.0,6.0,0.0,2.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,4.0,0.43,0.43,0.0,0.71,0.86,28.57,15.02,0.3
11,[b'AITOR GONZALEZ TORRES'],4 Banqueta,3.0,23.0,5.33,0.33,2.33,0.14,1.33,4.67,0.29,0.67,0.67,1.0,2.33,0.33,0.37,3.17,0.67,0.67,26.61,17.94,0.17
11,[b'AITOR GONZALEZ TORRES'],5 Dificil,3.0,23.0,5.33,0.33,2.33,0.14,1.33,4.67,0.29,0.67,0.67,1.0,2.33,0.33,0.37,3.17,0.67,0.67,26.61,17.94,0.17
11,[b'AITOR GONZALEZ TORRES'],6 Equips Cua,1.0,28.0,10.0,1.0,5.0,0.2,2.0,6.0,0.33,2.0,2.0,1.0,1.0,0.36,0.42,18.18,0.55,0.73,32.2,23.1,3.1
11,[b'AITOR GONZALEZ TORRES'],6 Equips Top,1.0,28.0,10.0,1.0,5.0,0.2,2.0,6.0,0.33,2.0,2.0,1.0,1.0,0.36,0.42,18.18,0.55,0.73,32.2,23.1,3.1
12,[b'ALBERT GARCIA ROS'],1 Mitjana,3.0,14.0,4.0,1.0,1.33,0.75,0.67,2.33,0.29,0.0,0.67,0.0,1.33,0.55,0.51,0.0,0.64,1.09,42.37,16.0,1.3
12,[b'ALBERT GARCIA ROS'],2 Victoria,3.0,14.0,4.0,1.0,1.33,0.75,0.67,2.33,0.29,0.0,0.67,0.0,1.33,0.55,0.51,0.0,0.64,1.09,42.37,16.0,1.3
