Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
1,[b'JAN OSUL VIDAL'],1 Mitjana,10.0,22.3,8.5,2.2,4.2,0.52,1.0,3.3,0.3,1.1,1.8,0.61,2.2,0.49,0.51,1.47,0.44,0.99,46.36,20.73,3.37
1,[b'JAN OSUL VIDAL'],2 Derrota,1.0,29.0,11.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,4.0,1.38,1.24,0.0,0.75,2.75,90.91,9.78,7.8
1,[b'JAN OSUL VIDAL'],2 Victoria,9.0,21.56,8.22,2.33,4.56,0.51,0.78,3.33,0.23,1.22,1.89,0.65,2.0,0.44,0.47,1.72,0.42,0.89,43.64,22.24,2.88
1,[b'JAN OSUL VIDAL'],3 Local,5.0,19.2,6.2,2.0,3.8,0.53,0.6,3.8,0.16,0.4,0.4,1.0,2.2,0.38,0.4,1.05,0.5,0.76,35.57,21.99,1.04
1,[b'JAN OSUL VIDAL'],3 Visitant,5.0,25.4,10.8,2.4,4.6,0.52,1.4,2.8,0.5,1.8,3.2,0.56,2.2,0.61,0.61,4.86,0.38,1.22,55.7,19.86,5.7
1,[b'JAN OSUL VIDAL'],4 Banqueta,10.0,22.3,8.5,2.2,4.2,0.52,1.0,3.3,0.3,1.1,1.8,0.61,2.2,0.49,0.51,1.47,0.44,0.99,46.36,20.73,3.37
1,[b'JAN OSUL VIDAL'],5 Dificil,6.0,24.17,10.33,2.67,3.83,0.7,1.17,3.67,0.32,1.5,2.17,0.69,2.67,0.59,0.61,3.33,0.49,1.18,55.19,19.63,5.28
1,[b'JAN OSUL VIDAL'],5 Facil,4.0,19.5,5.75,1.5,4.75,0.32,0.75,2.75,0.27,0.5,1.25,0.4,1.5,0.35,0.36,1.67,0.37,0.7,32.12,22.79,0.5
1,[b'JAN OSUL VIDAL'],6 Equips Cua,2.0,25.5,11.0,2.0,4.5,0.44,1.5,3.0,0.5,2.5,4.0,0.62,2.5,0.57,0.59,16.66,0.4,1.13,53.57,19.7,5.55
1,[b'JAN OSUL VIDAL'],6 Equips Top,2.0,25.5,11.0,2.0,4.5,0.44,1.5,3.0,0.5,2.5,4.0,0.62,2.5,0.57,0.59,16.66,0.4,1.13,53.57,19.7,5.55
10,[b'CARLES JORD SANCHEZ'],1 Mitjana,9.0,14.33,3.89,0.33,0.89,0.38,0.89,3.11,0.29,0.56,1.0,0.56,1.22,0.42,0.44,1.54,0.78,0.83,35.07,17.15,0.91
10,[b'CARLES JORD SANCHEZ'],2 Derrota,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.97,-1.4
10,[b'CARLES JORD SANCHEZ'],2 Victoria,8.0,15.12,4.38,0.38,1.0,0.38,1.0,3.25,0.31,0.62,1.12,0.56,1.38,0.44,0.46,1.84,0.76,0.88,36.94,17.08,1.2
10,[b'CARLES JORD SANCHEZ'],3 Local,5.0,12.6,2.8,0.4,0.8,0.5,0.4,1.8,0.22,0.8,1.2,0.67,1.6,0.38,0.45,6.15,0.69,0.77,39.83,13.48,0.5
10,[b'CARLES JORD SANCHEZ'],3 Visitant,4.0,16.5,5.25,0.25,1.0,0.25,1.5,4.75,0.32,0.25,0.75,0.33,0.75,0.43,0.43,1.09,0.83,0.87,31.68,20.9,1.43
10,[b'CARLES JORD SANCHEZ'],4 Banqueta,9.0,14.33,3.89,0.33,0.89,0.38,0.89,3.11,0.29,0.56,1.0,0.56,1.22,0.42,0.44,1.54,0.78,0.83,35.07,17.15,0.91
10,[b'CARLES JORD SANCHEZ'],5 Dificil,5.0,16.6,3.2,0.6,1.2,0.5,0.4,3.0,0.13,0.8,1.4,0.57,1.6,0.29,0.33,3.81,0.71,0.57,30.61,16.09,-0.22
10,[b'CARLES JORD SANCHEZ'],5 Facil,4.0,11.5,4.75,0.0,0.5,0.0,1.5,3.25,0.46,0.25,0.5,0.5,0.75,0.6,0.6,1.67,0.87,1.2,41.77,19.06,2.33
10,[b'CARLES JORD SANCHEZ'],6 Equips Cua,1.0,21.0,9.0,0.0,0.0,0.0,3.0,7.0,0.43,0.0,0.0,0.0,2.0,0.64,0.64,0.0,1.0,1.29,42.86,16.61,4.5
10,[b'CARLES JORD SANCHEZ'],6 Equips Top,1.0,21.0,9.0,0.0,0.0,0.0,3.0,7.0,0.43,0.0,0.0,0.0,2.0,0.64,0.64,0.0,1.0,1.29,42.86,16.61,4.5
11,[b'BERNAT FARELL SILVA'],1 Mitjana,10.0,20.1,6.7,1.4,2.6,0.54,1.1,3.4,0.32,0.6,0.8,0.75,2.1,0.51,0.53,1.0,0.57,1.02,44.3,17.62,2.58
11,[b'BERNAT FARELL SILVA'],2 Derrota,1.0,16.0,8.0,1.0,2.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,1.0,0.57,0.57,0.0,0.71,1.14,42.86,27.96,3.9
11,[b'BERNAT FARELL SILVA'],2 Victoria,9.0,20.56,6.56,1.44,2.67,0.54,1.0,3.22,0.31,0.67,0.89,0.75,2.22,0.5,0.52,1.26,0.55,1.0,44.48,16.79,2.43
11,[b'BERNAT FARELL SILVA'],3 Local,5.0,19.6,5.2,1.4,3.0,0.47,0.8,2.6,0.31,0.0,0.0,0.0,2.8,0.46,0.46,0.0,0.46,0.93,39.29,15.52,1.04
11,[b'BERNAT FARELL SILVA'],3 Visitant,5.0,20.6,8.2,1.4,2.2,0.64,1.4,4.2,0.33,1.2,1.6,0.75,1.4,0.55,0.58,3.75,0.66,1.09,48.3,19.75,4.12
11,[b'BERNAT FARELL SILVA'],4 Banqueta,10.0,20.1,6.7,1.4,2.6,0.54,1.1,3.4,0.32,0.6,0.8,0.75,2.1,0.51,0.53,1.0,0.57,1.02,44.3,17.62,2.58
11,[b'BERNAT FARELL SILVA'],5 Dificil,6.0,20.0,6.67,1.17,2.33,0.5,1.17,3.5,0.33,0.83,1.0,0.83,1.83,0.5,0.53,2.38,0.6,1.0,43.67,17.6,2.72
11,[b'BERNAT FARELL SILVA'],5 Facil,4.0,20.25,6.75,1.75,3.0,0.58,1.0,3.25,0.31,0.25,0.5,0.5,2.5,0.52,0.52,1.0,0.52,1.04,44.96,17.64,2.38
11,[b'BERNAT FARELL SILVA'],6 Equips Cua,2.0,22.5,5.0,1.5,3.0,0.5,0.5,3.5,0.14,0.5,1.0,0.5,1.5,0.35,0.36,3.85,0.54,0.69,33.33,16.74,0.45
11,[b'BERNAT FARELL SILVA'],6 Equips Top,2.0,22.5,5.0,1.5,3.0,0.5,0.5,3.5,0.14,0.5,1.0,0.5,1.5,0.35,0.36,3.85,0.54,0.69,33.33,16.74,0.45
15,[b'JORDI PUJOLREU SALA'],1 Mitjana,3.0,11.33,6.67,2.33,5.67,0.41,0.0,0.0,0.0,2.0,3.33,0.6,2.67,0.41,0.47,11.76,0.0,0.82,49.33,33.62,2.03
15,[b'EDUARD MAS FERRE'],1 Mitjana,10.0,25.2,11.6,2.4,4.7,0.51,0.9,3.1,0.29,4.1,5.5,0.75,1.8,0.48,0.57,5.26,0.4,0.96,53.57,22.61,6.18
15,[b'JORDI PUJOLREU SALA'],2 Victoria,3.0,11.33,6.67,2.33,5.67,0.41,0.0,0.0,0.0,2.0,3.33,0.6,2.67,0.41,0.47,11.76,0.0,0.82,49.33,33.62,2.03
15,[b'EDUARD MAS FERRE'],2 Victoria,9.0,25.11,11.33,2.11,4.56,0.46,1.0,2.89,0.35,4.11,5.56,0.74,1.56,0.49,0.57,6.14,0.39,0.97,53.62,21.65,6.17
15,[b'JORDI PUJOLREU SALA'],3 Local,2.0,13.0,7.5,2.5,7.0,0.36,0.0,0.0,0.0,2.5,4.5,0.56,3.5,0.36,0.42,17.86,0.0,0.71,44.82,36.41,1.4
