Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'MARTINA VIZMANOS IGLESIS'],1 Mitjana,7.0,19.43,11.43,3.57,6.57,0.54,0.14,0.71,0.2,3.86,6.29,0.61,1.14,0.52,0.57,7.56,0.1,1.04,59.73,27.83,6.39
10,[b'MARTINA VIZMANOS IGLESIS'],2 Derrota,2.0,14.0,8.0,2.5,3.5,0.71,0.5,1.0,0.5,1.5,4.0,0.38,0.5,0.72,0.64,16.66,0.22,1.44,65.16,27.66,4.85
10,[b'MARTINA VIZMANOS IGLESIS'],2 Victoria,5.0,21.6,12.8,4.0,7.8,0.51,0.0,0.6,0.0,4.8,7.2,0.67,1.4,0.48,0.55,11.43,0.07,0.95,58.16,27.37,7.0
10,[b'MARTINA VIZMANOS IGLESIS'],3 Local,2.0,19.0,12.0,3.5,7.0,0.5,0.0,1.0,0.0,5.0,8.0,0.62,1.5,0.44,0.52,31.25,0.12,0.88,55.8,27.67,6.0
10,[b'MARTINA VIZMANOS IGLESIS'],3 Visitant,5.0,19.6,11.2,3.6,6.4,0.56,0.2,0.6,0.33,3.4,5.6,0.61,1.0,0.56,0.59,9.71,0.09,1.11,61.63,27.97,6.54
10,[b'MARTINA VIZMANOS IGLESIS'],4 Banqueta,7.0,19.43,11.43,3.57,6.57,0.54,0.14,0.71,0.2,3.86,6.29,0.61,1.14,0.52,0.57,7.56,0.1,1.04,59.73,27.83,6.39
10,[b'MARTINA VIZMANOS IGLESIS'],5 Dificil,4.0,20.5,12.0,3.75,6.5,0.58,0.25,0.75,0.33,3.75,6.5,0.58,1.75,0.57,0.59,12.93,0.1,1.14,62.28,27.54,6.72
10,[b'MARTINA VIZMANOS IGLESIS'],5 Facil,3.0,18.0,10.67,3.33,6.67,0.5,0.0,0.67,0.0,4.0,6.0,0.67,0.33,0.45,0.53,18.18,0.09,0.91,56.16,28.4,5.93
11,[b'JULIA TORREO JIMENEZ'],1 Mitjana,13.0,20.23,7.31,1.77,3.85,0.46,0.69,2.62,0.26,1.69,3.54,0.48,1.92,0.43,0.46,2.01,0.4,0.87,44.33,21.49,2.26
11,[b'JULIA TORREO JIMENEZ'],2 Derrota,4.0,20.0,9.0,1.75,3.75,0.47,1.0,3.0,0.33,2.5,5.25,0.48,1.25,0.48,0.5,9.26,0.44,0.96,48.29,27.1,3.77
