Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
0,[b'MAMADOU LAMINE BARRY'],1 Mitjana,1.0,14.0,2.0,1.0,2.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.17,0.17,0.0,0.67,0.33,16.67,21.93,-2.6
0,[b'ROGER GARROS MARTI'],1 Mitjana,5.0,8.6,2.2,0.4,0.6,0.67,0.2,1.8,0.11,0.8,0.8,1.0,2.4,0.29,0.4,6.67,0.75,0.58,33.82,15.92,-0.2
0,[b'ROGER GARROS MARTI'],2 Victoria,5.0,8.6,2.2,0.4,0.6,0.67,0.2,1.8,0.11,0.8,0.8,1.0,2.4,0.29,0.4,6.67,0.75,0.58,33.82,15.92,-0.2
0,[b'MAMADOU LAMINE BARRY'],2 Victoria,1.0,14.0,2.0,1.0,2.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.17,0.17,0.0,0.67,0.33,16.67,21.93,-2.6
0,[b'ROGER GARROS MARTI'],3 Local,2.0,8.5,1.5,0.0,0.0,0.0,0.5,2.5,0.2,0.0,0.0,0.0,3.0,0.3,0.3,0.0,1.0,0.6,20.0,15.32,-1.25
0,[b'MAMADOU LAMINE BARRY'],3 Visitant,1.0,14.0,2.0,1.0,2.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.17,0.17,0.0,0.67,0.33,16.67,21.93,-2.6
0,[b'ROGER GARROS MARTI'],3 Visitant,3.0,8.67,2.67,0.67,1.0,0.67,0.0,1.33,0.0,1.33,1.33,1.0,2.0,0.29,0.46,19.05,0.57,0.57,41.86,16.28,0.5
0,[b'ROGER GARROS MARTI'],4 Banqueta,5.0,8.6,2.2,0.4,0.6,0.67,0.2,1.8,0.11,0.8,0.8,1.0,2.4,0.29,0.4,6.67,0.75,0.58,33.82,15.92,-0.2
0,[b'MAMADOU LAMINE BARRY'],4 Banqueta,1.0,14.0,2.0,1.0,2.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.17,0.17,0.0,0.67,0.33,16.67,21.93,-2.6
0,[b'MAMADOU LAMINE BARRY'],5 Facil,1.0,14.0,2.0,1.0,2.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.17,0.17,0.0,0.67,0.33,16.67,21.93,-2.6
