Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
1,[b'MARCEL PARS VILASECA'],1 Mitjana,25.0,25.48,8.56,0.76,1.68,0.45,2.08,7.04,0.3,0.8,1.28,0.62,1.04,0.44,0.46,0.37,0.81,0.89,35.53,20.19,2.98
1,[b'MARCEL PARS VILASECA'],2 Derrota,14.0,26.0,7.36,0.5,1.64,0.3,1.79,6.93,0.26,1.0,1.71,0.58,1.36,0.37,0.39,0.83,0.81,0.74,30.81,19.93,1.44
1,[b'MARCEL PARS VILASECA'],2 Victoria,11.0,24.82,10.09,1.09,1.73,0.63,2.45,7.18,0.34,0.55,0.73,0.75,0.64,0.54,0.55,0.56,0.81,1.07,41.5,20.54,4.95
1,[b'MARCEL PARS VILASECA'],3 Local,13.0,25.54,10.15,0.69,1.23,0.56,2.85,7.69,0.37,0.23,0.31,0.75,1.15,0.56,0.56,0.2,0.86,1.11,40.39,19.99,4.83
1,[b'MARCEL PARS VILASECA'],3 Visitant,12.0,25.42,6.83,0.83,2.17,0.38,1.25,6.33,0.2,1.42,2.33,0.61,0.92,0.32,0.36,1.39,0.75,0.64,30.45,20.4,0.98
1,[b'MARCEL PARS VILASECA'],4 Banqueta,25.0,25.48,8.56,0.76,1.68,0.45,2.08,7.04,0.3,0.8,1.28,0.62,1.04,0.44,0.46,0.37,0.81,0.89,35.53,20.19,2.98
1,[b'MARCEL PARS VILASECA'],5 Dificil,12.0,26.58,10.0,1.08,1.92,0.57,2.25,7.25,0.31,1.08,1.67,0.65,1.17,0.49,0.51,0.98,0.79,0.97,39.85,20.33,4.22
1,[b'MARCEL PARS VILASECA'],5 Facil,13.0,24.46,7.23,0.46,1.46,0.32,1.92,6.85,0.28,0.54,0.92,0.58,0.92,0.4,0.41,0.5,0.82,0.81,31.0,20.04,1.85
1,[b'MARCEL PARS VILASECA'],6 Equips Cua,1.0,38.0,10.0,2.0,3.0,0.67,2.0,8.0,0.25,0.0,0.0,0.0,1.0,0.45,0.45,0.0,0.73,0.91,36.36,16.35,3.5
1,[b'MARCEL PARS VILASECA'],6 Equips Top,1.0,38.0,10.0,2.0,3.0,0.67,2.0,8.0,0.25,0.0,0.0,0.0,1.0,0.45,0.45,0.0,0.73,0.91,36.36,16.35,3.5
10,[b'JOSEP ARMENGOL ROYO'],1 Mitjana,21.0,21.05,7.48,2.38,4.33,0.55,0.19,0.86,0.22,2.14,3.57,0.6,3.9,0.51,0.55,1.97,0.17,1.03,56.98,17.66,2.74
10,[b'JOSEP ARMENGOL ROYO'],2 Victoria,8.0,20.38,7.62,2.62,4.75,0.55,0.0,0.38,0.0,2.38,4.12,0.58,3.25,0.51,0.55,5.79,0.07,1.02,58.72,18.54,3.09
10,[b'JOSEP ARMENGOL ROYO'],3 Local,10.0,22.7,8.1,2.9,4.4,0.66,0.0,0.5,0.0,2.3,3.8,0.61,3.8,0.59,0.62,4.69,0.1,1.18,65.16,16.03,3.71
10,[b'JOSEP ARMENGOL ROYO'],4 Banqueta,21.0,21.05,7.48,2.38,4.33,0.55,0.19,0.86,0.22,2.14,3.57,0.6,3.9,0.51,0.55,1.97,0.17,1.03,56.98,17.66,2.74
10,[b'JOSEP ARMENGOL ROYO'],5 Dificil,12.0,23.0,7.92,2.08,4.42,0.47,0.25,1.0,0.25,3.0,4.25,0.71,3.83,0.45,0.54,4.62,0.18,0.91,54.61,17.29,3.02
10,[b'JOSEP ARMENGOL ROYO'],5 Facil,9.0,18.44,6.89,2.78,4.22,0.66,0.11,0.67,0.17,1.0,2.67,0.38,4.0,0.6,0.57,2.27,0.14,1.2,59.42,18.25,2.36
