Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'PERE CARRIN SORIANO'],1 Mitjana,26.0,20.42,8.85,1.81,5.19,0.35,0.69,2.81,0.25,3.15,5.12,0.62,3.35,0.36,0.43,1.52,0.35,0.71,42.26,28.97,2.12
10,[b'PERE CARRIN SORIANO'],2 Derrota,13.0,20.77,7.15,1.62,5.46,0.3,0.69,2.62,0.26,1.85,2.85,0.65,3.69,0.33,0.38,1.76,0.32,0.66,35.87,25.5,0.55
10,[b'PERE CARRIN SORIANO'],2 Victoria,13.0,20.08,10.54,2.0,4.92,0.41,0.69,3.0,0.23,4.46,7.38,0.6,3.0,0.38,0.47,4.33,0.38,0.77,47.65,32.67,3.7
10,[b'PERE CARRIN SORIANO'],3 Local,13.0,20.54,10.31,2.08,5.62,0.37,0.92,3.31,0.28,3.38,4.77,0.71,3.31,0.39,0.47,2.92,0.37,0.78,43.83,30.29,3.38
10,[b'PERE CARRIN SORIANO'],3 Visitant,13.0,20.31,7.38,1.54,4.77,0.32,0.46,2.31,0.2,2.92,5.46,0.54,3.38,0.32,0.39,3.18,0.33,0.63,40.09,27.56,0.86
10,[b'PERE CARRIN SORIANO'],4 Banqueta,26.0,20.42,8.85,1.81,5.19,0.35,0.69,2.81,0.25,3.15,5.12,0.62,3.35,0.36,0.43,1.52,0.35,0.71,42.26,28.97,2.12
10,[b'PERE CARRIN SORIANO'],5 Dificil,16.0,21.12,8.31,1.88,5.38,0.35,0.62,2.75,0.23,2.69,5.06,0.53,3.5,0.35,0.4,2.07,0.34,0.69,40.19,28.78,1.27
10,[b'PERE CARRIN SORIANO'],5 Facil,10.0,19.3,9.7,1.7,4.9,0.35,0.8,2.9,0.28,3.9,5.2,0.75,3.1,0.37,0.48,5.0,0.37,0.74,45.04,29.34,3.48
10,[b'PERE CARRIN SORIANO'],6 Equips Cua,2.0,21.0,6.5,1.0,6.0,0.17,0.5,2.5,0.2,3.0,5.5,0.55,4.0,0.21,0.3,17.64,0.29,0.41,30.33,27.79,-1.45
10,[b'PERE CARRIN SORIANO'],6 Equips Top,2.0,21.0,6.5,1.0,6.0,0.17,0.5,2.5,0.2,3.0,5.5,0.55,4.0,0.21,0.3,17.64,0.29,0.41,30.33,27.79,-1.45
12,[b'ORIOL GEBELLI ARBOIX'],1 Mitjana,20.0,8.85,0.65,0.3,1.0,0.3,0.0,0.0,0.0,0.05,0.45,0.11,2.05,0.3,0.27,0.25,0.0,0.6,28.63,7.84,-0.91
12,[b'ORIOL GEBELLI ARBOIX'],2 Derrota,8.0,9.5,1.0,0.5,1.25,0.4,0.0,0.0,0.0,0.0,0.88,0.0,2.0,0.4,0.31,0.0,0.0,0.8,31.25,9.77,-0.82
12,[b'ORIOL GEBELLI ARBOIX'],2 Victoria,12.0,8.42,0.42,0.17,0.83,0.2,0.0,0.0,0.0,0.08,0.17,0.5,2.08,0.2,0.23,0.83,0.0,0.4,24.07,6.33,-0.97
