Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'MIGUEL ORTIZ PINTOR'],1 Mitjana,17.0,14.82,4.35,1.47,3.59,0.41,0.18,1.12,0.16,0.88,1.71,0.52,1.41,0.37,0.4,1.1,0.24,0.74,40.28,20.03,0.82
10,[b'MIGUEL ORTIZ PINTOR'],2 Derrota,10.0,16.0,5.5,1.8,3.9,0.46,0.3,1.1,0.27,1.0,1.6,0.62,1.3,0.45,0.48,2.0,0.22,0.9,46.99,20.28,2.08
10,[b'MIGUEL ORTIZ PINTOR'],2 Victoria,7.0,13.14,2.71,1.0,3.14,0.32,0.0,1.14,0.0,0.71,1.86,0.38,1.57,0.23,0.27,2.38,0.27,0.47,29.06,19.9,-0.97
10,[b'MIGUEL ORTIZ PINTOR'],3 Local,7.0,13.57,2.86,1.14,2.86,0.4,0.14,0.86,0.17,0.14,0.71,0.2,1.43,0.37,0.35,0.55,0.23,0.73,34.71,15.92,-0.03
10,[b'MIGUEL ORTIZ PINTOR'],3 Visitant,10.0,15.7,5.4,1.7,4.1,0.41,0.2,1.3,0.15,1.4,2.4,0.58,1.4,0.37,0.42,2.59,0.24,0.74,42.35,22.61,1.42
10,[b'MIGUEL ORTIZ PINTOR'],4 Banqueta,17.0,14.82,4.35,1.47,3.59,0.41,0.18,1.12,0.16,0.88,1.71,0.52,1.41,0.37,0.4,1.1,0.24,0.74,40.28,20.03,0.82
10,[b'MIGUEL ORTIZ PINTOR'],5 Dificil,9.0,12.89,4.44,1.33,3.11,0.43,0.22,1.11,0.2,1.11,2.33,0.48,1.56,0.39,0.42,2.92,0.26,0.79,43.31,22.15,1.0
10,[b'MIGUEL ORTIZ PINTOR'],5 Facil,8.0,17.0,4.25,1.62,4.12,0.39,0.12,1.12,0.11,0.62,1.0,0.62,1.25,0.35,0.37,1.49,0.21,0.69,37.06,18.22,0.62
10,[b'MIGUEL ORTIZ PINTOR'],6 Equips Cua,3.0,15.0,6.0,1.67,4.67,0.36,0.0,1.33,0.0,2.67,5.0,0.53,1.67,0.28,0.37,14.81,0.22,0.56,40.39,28.31,0.87
10,[b'MIGUEL ORTIZ PINTOR'],6 Equips Top,3.0,15.0,6.0,1.67,4.67,0.36,0.0,1.33,0.0,2.67,5.0,0.53,1.67,0.28,0.37,14.81,0.22,0.56,40.39,28.31,0.87
11,[b'ALEX LOPEZ ALVES'],2 Victoria,4.0,26.0,7.75,3.25,5.75,0.57,0.25,0.5,0.5,0.5,0.75,0.67,1.5,0.58,0.59,2.0,0.08,1.16,57.51,12.64,4.08
11,[b'ALEX LOPEZ ALVES'],3 Local,4.0,24.75,5.25,2.0,5.0,0.4,0.25,0.75,0.33,0.5,1.25,0.4,1.25,0.41,0.42,2.17,0.13,0.83,41.12,13.35,1.32
11,[b'ALEX LOPEZ ALVES'],5 Facil,4.0,20.25,4.25,1.75,4.25,0.41,0.0,0.5,0.0,0.75,1.5,0.5,0.75,0.37,0.39,3.95,0.11,0.74,41.12,14.68,1.02
11,[b'ALEX LOPEZ ALVES'],6 Equips Cua,2.0,27.5,10.0,4.0,6.5,0.62,0.5,0.5,1.0,0.5,0.5,1.0,2.0,0.68,0.69,3.57,0.07,1.36,65.28,12.97,6.1
11,[b'ALEX LOPEZ ALVES'],6 Equips Top,2.0,27.5,10.0,4.0,6.5,0.62,0.5,0.5,1.0,0.5,0.5,1.0,2.0,0.68,0.69,3.57,0.07,1.36,65.28,12.97,6.1
12,[b'CESAR GMEZ ORELLANA'],1 Mitjana,20.0,22.95,9.95,2.3,4.15,0.55,1.1,3.75,0.29,2.05,2.75,0.75,3.1,0.5,0.55,1.3,0.47,1.0,49.21,21.55,4.26
12,[b'CESAR GMEZ ORELLANA'],2 Derrota,10.0,20.9,7.0,1.4,3.3,0.42,1.1,3.4,0.32,0.9,1.2,0.75,3.5,0.46,0.48,1.34,0.51,0.91,41.09,19.67,1.79
12,[b'CESAR GMEZ ORELLANA'],2 Victoria,10.0,25.0,12.9,3.2,5.0,0.64,1.1,4.1,0.27,3.2,4.3,0.74,2.7,0.53,0.59,3.52,0.45,1.07,54.6,22.84,6.73
12,[b'CESAR GMEZ ORELLANA'],3 Local,10.0,24.5,13.6,2.9,4.4,0.66,1.5,4.1,0.37,3.3,4.2,0.79,2.7,0.61,0.66,3.88,0.48,1.21,58.97,22.65,7.97
12,[b'CESAR GMEZ ORELLANA'],3 Visitant,10.0,21.4,6.3,1.7,3.9,0.44,0.7,3.4,0.21,0.8,1.3,0.62,3.5,0.38,0.4,1.1,0.47,0.75,36.36,20.23,0.55
12,[b'CESAR GMEZ ORELLANA'],4 Banqueta,20.0,22.95,9.95,2.3,4.15,0.55,1.1,3.75,0.29,2.05,2.75,0.75,3.1,0.5,0.55,1.3,0.47,1.0,49.21,21.55,4.26
12,[b'CESAR GMEZ ORELLANA'],5 Dificil,12.0,25.17,10.58,2.5,4.83,0.52,1.33,4.08,0.33,1.58,2.17,0.73,3.08,0.5,0.54,1.48,0.46,1.01,47.4,21.26,4.41
12,[b'CESAR GMEZ ORELLANA'],5 Facil,8.0,19.62,9.0,2.0,3.12,0.64,0.75,3.25,0.23,2.75,3.62,0.76,3.12,0.49,0.56,5.39,0.51,0.98,52.59,22.11,4.04
12,[b'CESAR GMEZ ORELLANA'],6 Equips Cua,4.0,25.0,12.75,3.0,4.25,0.71,2.0,4.5,0.44,0.75,1.25,0.6,3.75,0.69,0.69,2.14,0.51,1.37,58.59,19.8,6.92
12,[b'CESAR GMEZ ORELLANA'],6 Equips Top,4.0,25.0,12.75,3.0,4.25,0.71,2.0,4.5,0.44,0.75,1.25,0.6,3.75,0.69,0.69,2.14,0.51,1.37,58.59,19.8,6.92
