Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
1,[b'LAURA MENDEZ MUOZ'],1 Mitjana,13.0,15.38,1.54,0.62,2.15,0.29,0.0,0.69,0.0,0.31,0.62,0.5,1.54,0.22,0.25,0.83,0.24,0.43,25.87,12.42,-0.95
1,[b'LAURA MENDEZ MUOZ'],2 Derrota,6.0,17.67,2.33,0.83,3.17,0.26,0.0,1.17,0.0,0.67,1.33,0.5,2.0,0.19,0.24,2.56,0.27,0.38,25.34,17.44,-1.43
1,[b'LAURA MENDEZ MUOZ'],2 Victoria,7.0,13.43,0.86,0.43,1.29,0.33,0.0,0.29,0.0,0.0,0.0,0.0,1.14,0.27,0.27,0.0,0.18,0.55,27.27,7.04,-0.53
1,[b'LAURA MENDEZ MUOZ'],3 Local,7.0,17.43,1.86,0.71,2.29,0.31,0.0,1.0,0.0,0.43,0.86,0.5,1.43,0.22,0.25,1.86,0.3,0.43,26.77,12.99,-0.9
1,[b'LAURA MENDEZ MUOZ'],3 Visitant,6.0,13.0,1.17,0.5,2.0,0.25,0.0,0.33,0.0,0.17,0.33,0.5,1.67,0.21,0.24,1.19,0.14,0.43,24.32,11.58,-1.0
1,[b'LAURA MENDEZ MUOZ'],4 Banqueta,13.0,15.38,1.54,0.62,2.15,0.29,0.0,0.69,0.0,0.31,0.62,0.5,1.54,0.22,0.25,0.83,0.24,0.43,25.87,12.42,-0.95
1,[b'LAURA MENDEZ MUOZ'],5 Dificil,7.0,15.14,1.57,0.71,2.43,0.29,0.0,0.71,0.0,0.14,0.57,0.25,1.57,0.23,0.23,0.65,0.23,0.45,24.15,14.09,-1.14
1,[b'LAURA MENDEZ MUOZ'],5 Facil,6.0,15.67,1.5,0.5,1.83,0.27,0.0,0.67,0.0,0.5,0.67,0.75,1.5,0.2,0.27,3.33,0.27,0.4,27.11,10.62,-0.72
14,[b'ADRIANA DOMINGO MAAS'],1 Mitjana,10.0,7.8,0.2,0.0,0.3,0.0,0.0,0.8,0.0,0.2,0.6,0.33,1.0,0.0,0.07,1.82,0.73,0.0,9.95,10.93,-1.13
14,[b'ADRIANA DOMINGO MAAS'],2 Derrota,6.0,9.83,0.33,0.0,0.33,0.0,0.0,0.83,0.0,0.33,1.0,0.33,1.0,0.0,0.1,4.76,0.71,0.0,14.18,10.23,-1.15
