Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
00,[b'RUBEN FERNANDEZ DIAZ'],1 Mitjana,12.0,25.0,13.08,2.42,6.67,0.36,1.83,5.5,0.33,2.75,4.42,0.62,2.75,0.42,0.46,1.88,0.45,0.85,41.38,28.03,4.5
00,[b'RUBEN FERNANDEZ DIAZ'],2 Derrota,3.0,22.33,5.33,1.67,7.0,0.24,0.33,4.67,0.07,1.0,2.0,0.5,2.33,0.19,0.21,2.86,0.4,0.37,20.86,27.79,-3.37
00,[b'RUBEN FERNANDEZ DIAZ'],2 Victoria,9.0,25.89,15.67,2.67,6.56,0.41,2.33,5.78,0.4,3.33,5.22,0.64,2.89,0.5,0.54,3.0,0.47,1.0,47.26,28.1,7.12
00,[b'RUBEN FERNANDEZ DIAZ'],3 Local,7.0,25.86,14.29,2.43,6.86,0.35,2.14,6.43,0.33,3.0,4.57,0.66,3.71,0.42,0.47,3.23,0.48,0.85,40.91,29.1,4.7
00,[b'RUBEN FERNANDEZ DIAZ'],3 Visitant,5.0,23.8,11.4,2.4,6.4,0.38,1.4,4.2,0.33,2.4,4.2,0.57,1.4,0.42,0.46,4.53,0.4,0.85,42.11,26.33,4.22
00,[b'RUBEN FERNANDEZ DIAZ'],4 Banqueta,12.0,25.0,13.08,2.42,6.67,0.36,1.83,5.5,0.33,2.75,4.42,0.62,2.75,0.42,0.46,1.88,0.45,0.85,41.38,28.03,4.5
00,[b'RUBEN FERNANDEZ DIAZ'],5 Dificil,7.0,25.86,15.14,2.14,6.14,0.35,2.43,6.57,0.37,3.57,5.57,0.64,2.86,0.46,0.5,4.01,0.52,0.91,43.58,29.18,6.13
00,[b'RUBEN FERNANDEZ DIAZ'],5 Facil,5.0,23.8,10.2,2.8,7.4,0.38,1.0,4.0,0.25,1.6,2.8,0.57,2.6,0.38,0.4,2.81,0.35,0.75,37.65,26.29,2.22
11,[b'GERARD DALMAU PATIO'],1 Mitjana,14.0,22.5,5.64,2.14,4.86,0.44,0.07,0.29,0.25,1.14,2.5,0.46,2.93,0.44,0.45,1.59,0.06,0.88,47.53,14.11,1.21
11,[b'GERARD DALMAU PATIO'],2 Derrota,5.0,21.2,4.0,1.4,3.8,0.37,0.0,0.4,0.0,1.2,2.2,0.55,2.8,0.33,0.39,5.71,0.1,0.67,41.3,12.94,0.1
11,[b'GERARD DALMAU PATIO'],2 Victoria,9.0,23.22,6.56,2.56,5.44,0.47,0.11,0.22,0.5,1.11,2.67,0.42,3.0,0.48,0.48,2.18,0.04,0.96,50.06,14.65,1.83
11,[b'GERARD DALMAU PATIO'],3 Local,7.0,24.14,8.57,3.43,6.43,0.53,0.14,0.43,0.33,1.29,2.29,0.56,3.0,0.53,0.55,2.68,0.06,1.06,55.47,16.02,3.6
11,[b'GERARD DALMAU PATIO'],3 Visitant,7.0,20.86,2.71,0.86,3.29,0.26,0.0,0.14,0.0,1.0,2.71,0.37,2.86,0.25,0.29,4.17,0.04,0.5,33.44,11.67,-1.17
11,[b'GERARD DALMAU PATIO'],4 Banqueta,14.0,22.5,5.64,2.14,4.86,0.44,0.07,0.29,0.25,1.14,2.5,0.46,2.93,0.44,0.45,1.59,0.06,0.88,47.53,14.11,1.21
11,[b'GERARD DALMAU PATIO'],5 Dificil,8.0,22.75,6.25,2.38,5.12,0.46,0.0,0.38,0.0,1.5,3.38,0.44,3.75,0.43,0.45,3.41,0.07,0.86,48.3,15.34,1.1
11,[b'GERARD DALMAU PATIO'],5 Facil,6.0,22.17,4.83,1.83,4.5,0.41,0.17,0.17,1.0,0.67,1.33,0.5,1.83,0.45,0.46,2.38,0.04,0.89,46.15,12.36,1.37
12,[b'MARC FENS HERNNDEZ'],1 Mitjana,14.0,18.21,7.29,2.07,5.21,0.4,0.57,2.71,0.21,1.43,2.64,0.54,2.5,0.37,0.4,1.29,0.34,0.74,38.69,25.39,1.31
12,[b'MARC FENS HERNNDEZ'],2 Derrota,5.0,18.2,6.0,1.4,4.4,0.32,0.4,3.6,0.11,2.0,2.8,0.71,2.0,0.25,0.32,5.0,0.45,0.5,31.02,26.92,0.0
12,[b'MARC FENS HERNNDEZ'],2 Victoria,9.0,18.22,8.0,2.44,5.67,0.43,0.67,2.22,0.3,1.11,2.56,0.43,2.78,0.44,0.44,1.56,0.28,0.87,42.72,24.6,2.03
12,[b'MARC FENS HERNNDEZ'],3 Local,7.0,21.0,6.86,1.86,5.57,0.33,0.71,3.0,0.24,1.0,1.86,0.54,2.71,0.34,0.37,1.67,0.35,0.68,33.88,21.99,0.46
12,[b'MARC FENS HERNNDEZ'],3 Visitant,7.0,15.43,7.71,2.29,4.86,0.47,0.43,2.43,0.18,1.86,3.43,0.54,2.29,0.4,0.44,3.64,0.33,0.8,43.87,30.02,2.16
12,[b'MARC FENS HERNNDEZ'],4 Banqueta,14.0,18.21,7.29,2.07,5.21,0.4,0.57,2.71,0.21,1.43,2.64,0.54,2.5,0.37,0.4,1.29,0.34,0.74,38.69,25.39,1.31
12,[b'MARC FENS HERNNDEZ'],5 Dificil,8.0,21.12,9.0,2.25,6.38,0.35,0.75,3.38,0.22,2.25,3.25,0.69,2.5,0.35,0.4,2.88,0.35,0.69,37.8,26.44,1.98
12,[b'MARC FENS HERNNDEZ'],5 Facil,6.0,14.33,5.0,1.83,3.67,0.5,0.33,1.83,0.18,0.33,1.83,0.18,2.5,0.42,0.4,1.01,0.33,0.85,38.65,22.94,0.42
13,[b'DANIEL TORRALBA CAROZ'],1 Mitjana,14.0,14.14,2.86,0.93,2.64,0.35,0.07,0.93,0.08,0.79,1.5,0.52,1.79,0.29,0.34,1.57,0.26,0.58,35.09,15.22,-0.24
13,[b'DANIEL TORRALBA CAROZ'],2 Derrota,5.0,14.8,2.0,0.6,2.2,0.27,0.0,1.2,0.0,0.8,1.4,0.57,1.8,0.18,0.25,4.71,0.35,0.35,26.7,14.4,-1.1
13,[b'DANIEL TORRALBA CAROZ'],2 Victoria,9.0,13.78,3.33,1.11,2.89,0.38,0.11,0.78,0.14,0.78,1.56,0.5,1.78,0.35,0.38,2.36,0.21,0.7,39.38,15.7,0.23
13,[b'DANIEL TORRALBA CAROZ'],3 Local,7.0,13.0,2.86,1.0,2.71,0.37,0.14,1.0,0.14,0.43,0.86,0.5,2.29,0.33,0.35,1.65,0.27,0.65,34.51,15.48,-0.37
13,[b'DANIEL TORRALBA CAROZ'],3 Visitant,7.0,15.29,2.86,0.86,2.57,0.33,0.0,0.86,0.0,1.14,2.14,0.53,1.29,0.25,0.33,4.76,0.25,0.5,35.64,15.06,-0.11
13,[b'DANIEL TORRALBA CAROZ'],4 Banqueta,14.0,14.14,2.86,0.93,2.64,0.35,0.07,0.93,0.08,0.79,1.5,0.52,1.79,0.29,0.34,1.57,0.26,0.58,35.09,15.22,-0.24
13,[b'DANIEL TORRALBA CAROZ'],5 Dificil,8.0,15.0,3.62,1.25,3.0,0.42,0.12,0.88,0.14,0.75,1.25,0.6,2.0,0.37,0.41,2.42,0.23,0.74,41.03,14.74,0.46
13,[b'DANIEL TORRALBA CAROZ'],5 Facil,6.0,13.0,1.83,0.5,2.17,0.23,0.0,1.0,0.0,0.83,1.83,0.45,1.5,0.16,0.23,4.39,0.32,0.32,26.03,15.94,-1.18
14,[b'ALEX ANGULO VALDES'],1 Mitjana,13.0,21.92,8.85,3.15,8.15,0.39,0.31,1.23,0.25,1.62,2.54,0.64,1.46,0.39,0.42,1.32,0.13,0.77,41.76,24.6,2.71
14,[b'ALEX ANGULO VALDES'],2 Derrota,5.0,23.0,9.6,3.6,9.0,0.4,0.4,2.0,0.2,1.2,1.4,0.86,2.0,0.38,0.41,2.18,0.18,0.76,39.35,26.8,2.62
14,[b'ALEX ANGULO VALDES'],2 Victoria,8.0,21.25,8.38,2.88,7.62,0.38,0.25,0.75,0.33,1.88,3.25,0.58,1.12,0.39,0.43,2.8,0.09,0.78,43.33,23.22,2.76
14,[b'ALEX ANGULO VALDES'],3 Local,6.0,21.5,9.33,3.5,8.33,0.42,0.33,1.0,0.33,1.33,2.17,0.62,1.0,0.43,0.45,2.38,0.11,0.86,44.82,23.87,3.6
14,[b'ALEX ANGULO VALDES'],3 Visitant,7.0,22.29,8.43,2.86,8.0,0.36,0.29,1.43,0.2,1.86,2.86,0.65,1.86,0.35,0.39,2.81,0.15,0.7,39.22,25.25,1.94
14,[b'ALEX ANGULO VALDES'],4 Banqueta,13.0,21.92,8.85,3.15,8.15,0.39,0.31,1.23,0.25,1.62,2.54,0.64,1.46,0.39,0.42,1.32,0.13,0.77,41.76,24.6,2.71
14,[b'ALEX ANGULO VALDES'],5 Dificil,7.0,22.29,9.43,3.71,8.86,0.42,0.14,1.14,0.12,1.57,1.71,0.92,1.14,0.39,0.44,2.24,0.11,0.79,42.47,24.46,3.46
14,[b'ALEX ANGULO VALDES'],5 Facil,6.0,21.5,8.17,2.5,7.33,0.34,0.5,1.33,0.38,1.67,3.5,0.48,1.83,0.38,0.4,3.21,0.15,0.75,39.89,24.75,1.83
2,[b'AMAT RUEDA MENGBAR'],1 Mitjana,3.0,9.0,1.0,0.33,1.0,0.33,0.0,0.33,0.0,0.33,0.67,0.5,0.67,0.25,0.31,8.33,0.25,0.5,33.33,9.51,-0.2
2,[b'AMAT RUEDA MENGBAR'],2 Derrota,2.0,11.5,1.5,0.5,1.5,0.33,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.25,0.31,12.5,0.25,0.5,33.33,12.13,-0.1
2,[b'AMAT RUEDA MENGBAR'],2 Victoria,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
2,[b'AMAT RUEDA MENGBAR'],3 Local,2.0,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.0,0.0,9.33,-1.45
2,[b'AMAT RUEDA MENGBAR'],3 Visitant,1.0,12.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.8,100.0,0.0,2.0,88.89,11.1,2.3
2,[b'AMAT RUEDA MENGBAR'],4 Banqueta,3.0,9.0,1.0,0.33,1.0,0.33,0.0,0.33,0.0,0.33,0.67,0.5,0.67,0.25,0.31,8.33,0.25,0.5,33.33,9.51,-0.2
2,[b'AMAT RUEDA MENGBAR'],5 Dificil,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
2,[b'AMAT RUEDA MENGBAR'],5 Facil,2.0,11.5,1.5,0.5,1.5,0.33,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.25,0.31,12.5,0.25,0.5,33.33,12.13,-0.1
22,[b'ROGER SANTOS MORATO'],1 Mitjana,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,-1.1
22,[b'ROGER SANTOS MORATO'],2 Derrota,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,-1.1
22,[b'ROGER SANTOS MORATO'],3 Visitant,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,-1.1
22,[b'ROGER SANTOS MORATO'],4 Banqueta,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,-1.1
22,[b'ROGER SANTOS MORATO'],5 Facil,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,-1.1
23,[b'PABLO MONSALVE SANZ'],1 Mitjana,14.0,23.43,7.36,2.0,4.64,0.43,0.43,1.86,0.23,2.07,3.57,0.58,2.0,0.41,0.46,2.28,0.29,0.81,45.47,17.53,2.38
23,[b'PABLO MONSALVE SANZ'],2 Derrota,5.0,24.6,7.0,1.4,3.8,0.37,0.6,2.8,0.21,2.4,3.8,0.63,2.0,0.35,0.42,7.27,0.42,0.7,40.81,17.84,1.82
23,[b'PABLO MONSALVE SANZ'],2 Victoria,9.0,22.78,7.56,2.33,5.11,0.46,0.33,1.33,0.25,1.89,3.44,0.55,2.0,0.44,0.47,3.26,0.21,0.88,48.11,17.38,2.69
23,[b'PABLO MONSALVE SANZ'],3 Local,7.0,21.71,6.86,2.0,4.71,0.42,0.43,1.71,0.25,1.57,3.0,0.52,2.29,0.41,0.44,3.49,0.27,0.82,44.0,17.55,1.84
