Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
1,[b'MOHAMED AZIZ NEFZI'],1 Mitjana,4.0,8.0,3.5,1.0,2.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.75,0.7,0.6,0.0,0.2,1.4,51.72,20.7,1.25
1,[b'MOHAMED AZIZ NEFZI'],2 Derrota,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,[b'MOHAMED AZIZ NEFZI'],2 Victoria,3.0,9.67,4.67,1.33,2.67,0.5,0.67,0.67,1.0,0.0,1.33,0.0,2.33,0.7,0.6,0.0,0.2,1.4,51.72,22.89,1.67
1,[b'MOHAMED AZIZ NEFZI'],3 Local,2.0,7.5,3.5,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,2.0,1.17,0.9,0.0,0.33,2.33,78.95,15.25,1.85
1,[b'MOHAMED AZIZ NEFZI'],3 Visitant,2.0,8.5,3.5,1.0,3.0,0.33,0.5,0.5,1.0,0.0,1.0,0.0,1.5,0.5,0.44,0.0,0.14,1.0,38.46,24.99,0.65
1,[b'MOHAMED AZIZ NEFZI'],4 Banqueta,4.0,8.0,3.5,1.0,2.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.75,0.7,0.6,0.0,0.2,1.4,51.72,20.7,1.25
1,[b'MOHAMED AZIZ NEFZI'],5 Dificil,4.0,8.0,3.5,1.0,2.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.75,0.7,0.6,0.0,0.2,1.4,51.72,20.7,1.25
10,[b'SERGI ESTANY SANCHEZ'],1 Mitjana,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,[b'SERGI ESTANY SANCHEZ'],2 Victoria,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,[b'SERGI ESTANY SANCHEZ'],3 Local,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,[b'SERGI ESTANY SANCHEZ'],4 Banqueta,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,[b'SERGI ESTANY SANCHEZ'],5 Dificil,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
