Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
0,[b'OUMAR SOUMARE'],1 Mitjana,9.0,16.56,5.67,1.78,4.89,0.36,0.11,1.11,0.1,1.78,2.11,0.84,1.78,0.32,0.41,3.29,0.19,0.65,39.63,23.44,1.38
0,[b'OUMAR SOUMARE'],2 Derrota,6.0,18.17,5.5,1.83,5.33,0.34,0.17,1.33,0.12,1.33,1.33,1.0,2.0,0.31,0.38,3.33,0.2,0.62,35.19,22.21,0.83
0,[b'OUMAR SOUMARE'],2 Victoria,3.0,13.33,6.0,1.67,4.0,0.42,0.0,0.67,0.0,2.67,3.67,0.73,1.33,0.36,0.48,19.05,0.14,0.71,49.31,26.75,2.47
0,[b'OUMAR SOUMARE'],3 Local,5.0,13.8,4.4,1.2,4.8,0.25,0.0,0.6,0.0,2.0,2.6,0.77,1.8,0.22,0.34,7.41,0.11,0.44,33.92,25.37,0.14
0,[b'OUMAR SOUMARE'],3 Visitant,4.0,20.0,7.25,2.5,5.0,0.5,0.25,1.75,0.14,1.5,1.5,1.0,1.75,0.43,0.49,5.55,0.26,0.85,45.58,22.01,2.92
0,[b'OUMAR SOUMARE'],4 Banqueta,9.0,16.56,5.67,1.78,4.89,0.36,0.11,1.11,0.1,1.78,2.11,0.84,1.78,0.32,0.41,3.29,0.19,0.65,39.63,23.44,1.38
0,[b'OUMAR SOUMARE'],5 Dificil,6.0,14.17,4.0,1.0,3.67,0.27,0.0,0.83,0.0,2.0,2.5,0.8,2.0,0.22,0.36,7.41,0.19,0.44,35.64,22.0,0.25
0,[b'OUMAR SOUMARE'],5 Facil,3.0,21.33,9.0,3.33,7.33,0.45,0.33,1.67,0.2,1.33,1.33,1.0,1.33,0.43,0.47,4.94,0.19,0.85,44.06,25.52,3.63
0,[b'OUMAR SOUMARE'],6 Equips Cua,2.0,13.0,4.0,1.0,4.0,0.25,0.0,0.5,0.0,2.0,3.0,0.67,2.0,0.22,0.34,22.22,0.11,0.44,36.26,24.7,0.05
0,[b'OUMAR SOUMARE'],6 Equips Top,2.0,13.0,4.0,1.0,4.0,0.25,0.0,0.5,0.0,2.0,3.0,0.67,2.0,0.22,0.34,22.22,0.11,0.44,36.26,24.7,0.05
10,[b'POL CAMPENY LLOVERAS'],1 Mitjana,8.0,21.5,15.38,3.38,6.12,0.55,1.5,5.88,0.26,4.12,5.38,0.77,1.25,0.47,0.54,4.3,0.49,0.94,48.82,36.83,7.92
10,[b'POL CAMPENY LLOVERAS'],2 Derrota,5.0,22.2,15.4,3.4,6.4,0.53,1.6,6.8,0.24,3.8,5.6,0.68,1.6,0.44,0.49,5.76,0.52,0.88,45.39,38.19,6.8
10,[b'POL CAMPENY LLOVERAS'],2 Victoria,3.0,20.33,15.33,3.33,5.67,0.59,1.33,4.33,0.31,4.67,5.0,0.93,0.67,0.53,0.63,15.56,0.43,1.07,55.48,34.08,9.8
10,[b'POL CAMPENY LLOVERAS'],3 Local,5.0,22.2,20.2,4.4,7.8,0.56,2.0,7.0,0.29,5.4,6.2,0.87,1.2,0.5,0.58,7.3,0.47,1.0,51.15,42.24,11.6
10,[b'POL CAMPENY LLOVERAS'],3 Visitant,3.0,20.33,7.33,1.67,3.33,0.5,0.67,4.0,0.17,2.0,4.0,0.5,1.33,0.36,0.4,9.09,0.55,0.73,39.55,25.9,1.8
10,[b'POL CAMPENY LLOVERAS'],4 Banqueta,8.0,21.5,15.38,3.38,6.12,0.55,1.5,5.88,0.26,4.12,5.38,0.77,1.25,0.47,0.54,4.3,0.49,0.94,48.82,36.83,7.92
10,[b'POL CAMPENY LLOVERAS'],5 Dificil,5.0,22.0,18.4,4.4,7.4,0.59,1.8,6.0,0.3,4.2,4.8,0.88,0.8,0.53,0.59,6.27,0.45,1.06,52.81,38.21,10.94
10,[b'POL CAMPENY LLOVERAS'],5 Facil,3.0,20.67,10.33,1.67,4.0,0.42,1.0,5.67,0.18,4.0,6.33,0.63,2.0,0.33,0.41,13.79,0.59,0.66,39.8,34.22,2.9
10,[b'POL CAMPENY LLOVERAS'],6 Equips Cua,2.0,23.5,26.5,6.0,10.0,0.6,3.0,6.5,0.46,5.5,6.5,0.85,0.5,0.64,0.68,16.66,0.39,1.27,60.41,45.45,17.95
10,[b'POL CAMPENY LLOVERAS'],6 Equips Top,2.0,23.5,26.5,6.0,10.0,0.6,3.0,6.5,0.46,5.5,6.5,0.85,0.5,0.64,0.68,16.66,0.39,1.27,60.41,45.45,17.95
11,[b'JAN CAMPENY LLOVERAS'],1 Mitjana,8.0,24.5,7.12,2.38,5.0,0.47,0.5,2.5,0.2,0.88,2.38,0.37,2.5,0.42,0.42,1.46,0.33,0.83,40.78,19.23,1.43
11,[b'JAN CAMPENY LLOVERAS'],2 Derrota,5.0,22.4,6.2,2.0,4.4,0.45,0.6,2.6,0.23,0.4,0.8,0.5,2.6,0.41,0.42,1.14,0.37,0.83,38.8,17.76,1.14
11,[b'JAN CAMPENY LLOVERAS'],2 Victoria,3.0,28.0,8.67,3.0,6.0,0.5,0.33,2.33,0.14,1.67,5.0,0.33,2.33,0.42,0.41,6.67,0.28,0.84,43.01,21.37,1.9
11,[b'JAN CAMPENY LLOVERAS'],3 Local,5.0,25.4,7.0,2.4,4.8,0.5,0.4,2.2,0.18,1.0,2.2,0.45,3.0,0.43,0.44,2.86,0.31,0.86,43.38,16.78,1.54
11,[b'JAN CAMPENY LLOVERAS'],3 Visitant,3.0,23.0,7.33,2.33,5.33,0.44,0.67,3.0,0.22,0.67,2.67,0.25,1.67,0.4,0.39,2.67,0.36,0.8,36.88,23.94,1.23
11,[b'JAN CAMPENY LLOVERAS'],4 Banqueta,8.0,24.5,7.12,2.38,5.0,0.47,0.5,2.5,0.2,0.88,2.38,0.37,2.5,0.42,0.42,1.46,0.33,0.83,40.78,19.23,1.43
11,[b'JAN CAMPENY LLOVERAS'],5 Dificil,5.0,25.8,7.8,2.6,5.6,0.46,0.4,2.2,0.18,1.4,3.6,0.39,2.6,0.41,0.42,3.59,0.28,0.82,42.23,19.71,1.62
11,[b'JAN CAMPENY LLOVERAS'],5 Facil,3.0,22.33,6.0,2.0,4.0,0.5,0.67,3.0,0.22,0.0,0.33,0.0,2.33,0.43,0.42,0.0,0.43,0.86,37.38,18.17,1.1
11,[b'JAN CAMPENY LLOVERAS'],6 Equips Cua,2.0,26.0,8.5,2.5,4.0,0.62,0.5,2.5,0.2,2.0,4.5,0.44,3.0,0.5,0.5,15.38,0.38,1.0,51.14,17.99,2.95
11,[b'JAN CAMPENY LLOVERAS'],6 Equips Top,2.0,26.0,8.5,2.5,4.0,0.62,0.5,2.5,0.2,2.0,4.5,0.44,3.0,0.5,0.5,15.38,0.38,1.0,51.14,17.99,2.95
12,[b'ANDREU BATLLE I PERAFERRER'],1 Mitjana,7.0,18.0,3.14,1.43,2.29,0.62,0.0,1.43,0.0,0.29,0.57,0.5,2.29,0.38,0.4,1.1,0.38,0.77,40.58,12.47,0.09
