Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'ADAM ACERO AHMED'],1 Mitjana,4.0,17.5,6.5,2.0,3.5,0.57,0.25,1.25,0.2,1.75,2.0,0.88,0.75,0.5,0.58,9.21,0.26,1.0,54.73,16.51,3.67
10,[b'ADAM ACERO AHMED'],2 Derrota,2.0,19.0,7.0,2.0,4.0,0.5,0.0,0.5,0.0,3.0,3.0,1.0,0.5,0.44,0.6,33.34,0.11,0.89,56.14,16.29,4.45
10,[b'ADAM ACERO AHMED'],2 Victoria,2.0,16.0,6.0,2.0,3.0,0.67,0.5,2.0,0.25,0.5,1.0,0.5,1.0,0.55,0.55,5.0,0.4,1.1,51.85,16.86,2.9
10,[b'ADAM ACERO AHMED'],3 Visitant,4.0,17.5,6.5,2.0,3.5,0.57,0.25,1.25,0.2,1.75,2.0,0.88,0.75,0.5,0.58,9.21,0.26,1.0,54.73,16.51,3.67
10,[b'ADAM ACERO AHMED'],4 Banqueta,4.0,17.5,6.5,2.0,3.5,0.57,0.25,1.25,0.2,1.75,2.0,0.88,0.75,0.5,0.58,9.21,0.26,1.0,54.73,16.51,3.67
10,[b'ADAM ACERO AHMED'],5 Dificil,1.0,11.0,6.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,2.0,0.83,0.77,33.33,0.33,1.67,68.42,17.69,3.5
10,[b'ADAM ACERO AHMED'],5 Facil,3.0,19.67,6.67,2.33,4.0,0.58,0.0,1.33,0.0,2.0,2.0,1.0,0.33,0.44,0.54,12.5,0.25,0.88,51.09,16.34,3.73
11,[b'KIRIAN ZARCO MONTERO'],1 Mitjana,12.0,13.75,2.67,0.33,1.5,0.22,0.33,1.25,0.27,1.0,1.33,0.75,1.67,0.3,0.4,3.03,0.45,0.61,35.53,12.76,0.21
11,[b'KIRIAN ZARCO MONTERO'],2 Derrota,4.0,15.5,1.5,0.0,2.0,0.0,0.5,1.25,0.4,0.0,0.0,0.0,1.0,0.23,0.23,0.0,0.38,0.46,15.38,11.17,-0.97
11,[b'KIRIAN ZARCO MONTERO'],2 Victoria,8.0,12.88,3.25,0.5,1.25,0.4,0.25,1.25,0.2,1.5,2.0,0.75,2.0,0.35,0.48,7.5,0.5,0.7,45.45,13.72,0.8
11,[b'KIRIAN ZARCO MONTERO'],3 Local,7.0,13.86,2.71,0.57,2.0,0.29,0.14,0.71,0.2,1.14,1.43,0.8,1.57,0.29,0.41,6.02,0.26,0.58,38.43,12.9,0.36
11,[b'KIRIAN ZARCO MONTERO'],3 Visitant,5.0,13.6,2.6,0.0,0.8,0.0,0.6,2.0,0.3,0.8,1.2,0.67,1.8,0.32,0.39,5.71,0.71,0.64,31.3,12.58,0.0
11,[b'KIRIAN ZARCO MONTERO'],4 Banqueta,12.0,13.75,2.67,0.33,1.5,0.22,0.33,1.25,0.27,1.0,1.33,0.75,1.67,0.3,0.4,3.03,0.45,0.61,35.53,12.76,0.21
11,[b'KIRIAN ZARCO MONTERO'],5 Dificil,6.0,12.83,3.33,0.67,1.33,0.5,0.17,1.0,0.17,1.5,2.0,0.75,2.0,0.39,0.52,10.72,0.43,0.79,50.53,13.25,1.03
11,[b'KIRIAN ZARCO MONTERO'],5 Facil,6.0,14.67,2.0,0.0,1.67,0.0,0.5,1.5,0.33,0.5,0.67,0.75,1.33,0.24,0.29,2.63,0.47,0.47,21.84,12.33,-0.62
12,[b'ALEJANDRO PEREZ CLAR'],1 Mitjana,9.0,10.89,3.22,1.22,2.44,0.5,0.11,2.11,0.05,0.44,1.22,0.36,0.89,0.3,0.32,1.08,0.46,0.61,32.2,25.34,-0.1
12,[b'ALEJANDRO PEREZ CLAR'],2 Derrota,5.0,12.2,4.0,1.6,2.8,0.57,0.0,2.0,0.0,0.8,1.8,0.44,1.0,0.33,0.36,3.33,0.42,0.67,38.0,24.91,0.48
12,[b'ALEJANDRO PEREZ CLAR'],2 Victoria,4.0,9.25,2.25,0.75,2.0,0.38,0.25,2.25,0.11,0.0,0.5,0.0,0.75,0.26,0.25,0.0,0.53,0.53,22.47,26.08,-0.82
12,[b'ALEJANDRO PEREZ CLAR'],3 Local,6.0,11.33,2.67,0.83,2.5,0.33,0.17,2.83,0.06,0.5,0.83,0.6,1.0,0.2,0.23,1.56,0.53,0.41,22.59,27.04,-1.2
12,[b'ALEJANDRO PEREZ CLAR'],3 Visitant,3.0,10.0,4.33,2.0,2.33,0.86,0.0,0.67,0.0,0.33,2.0,0.17,0.67,0.67,0.56,3.7,0.22,1.33,59.06,21.35,2.1
12,[b'ALEJANDRO PEREZ CLAR'],4 Banqueta,9.0,10.89,3.22,1.22,2.44,0.5,0.11,2.11,0.05,0.44,1.22,0.36,0.89,0.3,0.32,1.08,0.46,0.61,32.2,25.34,-0.1
12,[b'ALEJANDRO PEREZ CLAR'],5 Dificil,5.0,12.2,4.0,1.6,2.6,0.62,0.2,1.8,0.11,0.2,1.6,0.12,1.0,0.43,0.39,0.91,0.41,0.86,38.69,23.05,0.68
12,[b'ALEJANDRO PEREZ CLAR'],5 Facil,4.0,9.25,2.25,0.75,2.25,0.33,0.0,2.5,0.0,0.75,0.75,1.0,0.75,0.16,0.22,3.95,0.53,0.32,20.79,29.14,-1.07
13,[b'RICARD RIBAS BLANCO'],1 Mitjana,14.0,24.21,8.0,1.86,4.29,0.43,0.93,3.71,0.25,1.5,2.79,0.54,1.5,0.41,0.43,1.34,0.46,0.81,40.19,20.23,2.4
13,[b'RICARD RIBAS BLANCO'],2 Derrota,6.0,23.0,4.33,1.5,4.17,0.36,0.17,4.0,0.04,0.83,2.5,0.33,1.83,0.21,0.23,1.7,0.49,0.43,24.24,21.87,-2.12
13,[b'RICARD RIBAS BLANCO'],2 Victoria,8.0,25.12,10.75,2.12,4.38,0.49,1.5,3.5,0.43,2.0,3.0,0.67,1.25,0.56,0.58,3.17,0.44,1.11,51.7,19.12,5.79
13,[b'RICARD RIBAS BLANCO'],3 Local,7.0,23.14,7.14,1.29,3.71,0.35,1.0,3.0,0.33,1.57,2.86,0.55,1.14,0.41,0.45,3.34,0.45,0.83,40.69,18.42,2.39
13,[b'RICARD RIBAS BLANCO'],3 Visitant,7.0,25.29,8.86,2.43,4.86,0.5,0.86,4.43,0.19,1.43,2.71,0.53,1.86,0.4,0.42,2.2,0.48,0.8,39.8,21.86,2.41
13,[b'RICARD RIBAS BLANCO'],4 Banqueta,14.0,24.21,8.0,1.86,4.29,0.43,0.93,3.71,0.25,1.5,2.79,0.54,1.5,0.41,0.43,1.34,0.46,0.81,40.19,20.23,2.4
13,[b'RICARD RIBAS BLANCO'],5 Dificil,7.0,26.86,10.71,2.0,4.71,0.42,1.43,3.57,0.4,2.43,4.14,0.59,1.14,0.5,0.53,4.19,0.43,1.0,48.3,20.27,5.14
