Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
0,[b'FRANCESC SALVAT CAPDEVILA'],1 Mitjana,12.0,14.42,4.0,1.42,3.25,0.44,0.25,1.58,0.16,0.42,1.0,0.42,2.08,0.37,0.38,0.72,0.33,0.74,36.89,19.44,0.22
0,[b'FRANCESC SALVAT CAPDEVILA'],2 Derrota,7.0,13.29,2.0,0.71,3.0,0.24,0.0,0.86,0.0,0.57,1.14,0.5,2.0,0.19,0.23,2.12,0.22,0.37,24.5,17.97,-1.44
0,[b'FRANCESC SALVAT CAPDEVILA'],2 Victoria,5.0,16.0,6.8,2.4,3.6,0.67,0.6,2.6,0.23,0.2,0.8,0.25,2.2,0.53,0.52,0.65,0.42,1.06,48.16,20.9,2.54
0,[b'FRANCESC SALVAT CAPDEVILA'],3 Local,6.0,14.0,2.83,0.67,3.17,0.21,0.33,1.33,0.25,0.5,1.17,0.43,2.17,0.26,0.28,1.85,0.3,0.52,26.46,19.46,-1.05
0,[b'FRANCESC SALVAT CAPDEVILA'],3 Visitant,6.0,14.83,5.17,2.17,3.33,0.65,0.17,1.83,0.09,0.33,0.83,0.4,2.0,0.47,0.47,1.07,0.35,0.94,46.3,19.4,1.48
0,[b'FRANCESC SALVAT CAPDEVILA'],4 Banqueta,12.0,14.42,4.0,1.42,3.25,0.44,0.25,1.58,0.16,0.42,1.0,0.42,2.08,0.37,0.38,0.72,0.33,0.74,36.89,19.44,0.22
0,[b'FRANCESC SALVAT CAPDEVILA'],5 Dificil,5.0,12.2,3.4,0.8,2.4,0.33,0.4,1.4,0.29,0.6,1.4,0.43,1.8,0.37,0.38,3.16,0.37,0.74,36.17,19.3,0.18
0,[b'FRANCESC SALVAT CAPDEVILA'],5 Facil,7.0,16.0,4.43,1.86,3.86,0.48,0.14,1.71,0.08,0.29,0.71,0.4,2.29,0.37,0.38,0.73,0.31,0.74,37.27,19.51,0.24
0,[b'FRANCESC SALVAT CAPDEVILA'],6 Equips Cua,1.0,15.0,4.0,1.0,3.0,0.33,0.0,1.0,0.0,2.0,4.0,0.5,3.0,0.25,0.35,50.0,0.25,0.5,39.29,21.33,-0.4
0,[b'FRANCESC SALVAT CAPDEVILA'],6 Equips Top,1.0,15.0,4.0,1.0,3.0,0.33,0.0,1.0,0.0,2.0,4.0,0.5,3.0,0.25,0.35,50.0,0.25,0.5,39.29,21.33,-0.4
1,[b'ALEJANDRO DE ANDRES CAAS'],1 Mitjana,11.0,17.91,4.91,1.27,3.55,0.36,0.36,1.73,0.21,1.27,2.27,0.56,2.27,0.34,0.39,2.19,0.33,0.69,38.33,18.38,0.56
1,[b'ALEJANDRO DE ANDRES CAAS'],2 Derrota,5.0,17.8,5.8,1.0,3.0,0.33,0.8,2.2,0.36,1.4,2.8,0.5,2.4,0.42,0.45,5.38,0.42,0.85,41.77,19.47,1.36
1,[b'ALEJANDRO DE ANDRES CAAS'],2 Victoria,6.0,18.0,4.17,1.5,4.0,0.38,0.0,1.33,0.0,1.17,1.83,0.64,2.17,0.28,0.34,3.65,0.25,0.56,35.21,17.53,-0.1
1,[b'ALEJANDRO DE ANDRES CAAS'],3 Local,5.0,17.2,5.0,1.0,3.2,0.31,0.6,2.2,0.27,1.2,2.0,0.6,2.8,0.35,0.4,4.44,0.41,0.7,36.65,19.37,0.42
1,[b'ALEJANDRO DE ANDRES CAAS'],3 Visitant,6.0,18.5,4.83,1.5,3.83,0.39,0.17,1.33,0.12,1.33,2.5,0.53,1.83,0.34,0.39,4.3,0.26,0.68,39.71,17.63,0.68
1,[b'ALEJANDRO DE ANDRES CAAS'],4 Banqueta,11.0,17.91,4.91,1.27,3.55,0.36,0.36,1.73,0.21,1.27,2.27,0.56,2.27,0.34,0.39,2.19,0.33,0.69,38.33,18.38,0.56
1,[b'ALEJANDRO DE ANDRES CAAS'],5 Dificil,4.0,18.0,5.5,1.75,3.75,0.47,0.25,2.25,0.11,1.25,2.25,0.56,2.25,0.35,0.39,5.21,0.38,0.71,39.45,20.74,0.8
1,[b'ALEJANDRO DE ANDRES CAAS'],5 Facil,7.0,17.86,4.57,1.0,3.43,0.29,0.43,1.43,0.3,1.29,2.29,0.56,2.29,0.34,0.39,3.78,0.29,0.68,37.56,17.07,0.43
1,[b'ALEJANDRO DE ANDRES CAAS'],6 Equips Cua,2.0,16.5,2.5,0.5,3.0,0.17,0.5,1.0,0.5,0.0,1.0,0.0,2.5,0.31,0.28,0.0,0.25,0.62,22.73,14.62,-1.3
1,[b'ALEJANDRO DE ANDRES CAAS'],6 Equips Top,2.0,16.5,2.5,0.5,3.0,0.17,0.5,1.0,0.5,0.0,1.0,0.0,2.5,0.31,0.28,0.0,0.25,0.62,22.73,14.62,-1.3
10,[b'ROBERTO MARTN BENTEZ'],1 Mitjana,12.0,19.83,9.17,4.08,6.75,0.6,0.08,1.08,0.08,0.75,1.25,0.6,0.83,0.54,0.55,0.8,0.14,1.07,55.04,22.47,4.82
10,[b'ROBERTO MARTN BENTEZ'],2 Derrota,6.0,18.5,6.33,3.0,5.67,0.53,0.0,0.5,0.0,0.33,0.83,0.4,1.0,0.49,0.48,0.9,0.08,0.97,49.44,19.45,2.62
10,[b'ROBERTO MARTN BENTEZ'],2 Victoria,6.0,21.17,12.0,5.17,7.83,0.66,0.17,1.67,0.1,1.17,1.67,0.7,0.67,0.57,0.59,2.05,0.18,1.14,58.43,24.84,7.02
10,[b'ROBERTO MARTN BENTEZ'],3 Local,5.0,20.0,7.6,3.8,6.0,0.63,0.0,1.0,0.0,0.0,0.6,0.0,1.0,0.54,0.52,0.0,0.14,1.09,52.49,19.84,3.58
10,[b'ROBERTO MARTN BENTEZ'],3 Visitant,7.0,19.71,10.29,4.29,7.29,0.59,0.14,1.14,0.12,1.29,1.71,0.75,0.71,0.53,0.56,2.18,0.14,1.07,55.64,24.3,5.7
10,[b'ROBERTO MARTN BENTEZ'],4 Banqueta,12.0,19.83,9.17,4.08,6.75,0.6,0.08,1.08,0.08,0.75,1.25,0.6,0.83,0.54,0.55,0.8,0.14,1.07,55.04,22.47,4.82
10,[b'ROBERTO MARTN BENTEZ'],5 Dificil,5.0,19.2,7.6,3.6,6.2,0.58,0.0,0.8,0.0,0.4,0.8,0.5,0.8,0.51,0.52,1.14,0.11,1.03,52.46,20.42,3.66
10,[b'ROBERTO MARTN BENTEZ'],5 Facil,7.0,20.29,10.29,4.43,7.14,0.62,0.14,1.29,0.11,1.0,1.57,0.64,0.86,0.55,0.56,1.69,0.15,1.1,56.5,23.85,5.64
